,0,1,2,3,4,5,6,7,8,9,10
1,Write-In cells: 185,,,,,,,,,,
2,Overvote cells: 291,,,,,,,,,,
3,Rita C. Joseph: 0,,,,,,,,,,
4,Kenya Handy-Hilliard: 1,,,,,,,,,,
5,Cecilia Cortez: 2,,,,,,,,,,
6,Victor Jordan: 3,,,,,,,,,,
7,Edwin K. Raymond: 4,,,,,,,,,,
8,Josue Pierre: 5,,,,,,,,,,
9,Maxi Eugene: 6,,,,,,,,,,
10,Vivia M. Morgan: 7,,,,,,,,,,
11,John Williams: 8,,,,,,,,,,
12,Harriet L. Hines: 9,,,,,,,,,,
13,Blake Morris: 10,,,,,,,,,,
158,0,1.0,2.0,3.0,4.0,,,,,,
159,1,5.0,,,,,,,,,
160,1,,,,,,,,,,
161,6,0.0,1.0,,,,,,,,
162,0,3.0,7.0,1.0,8.0,,,,,,
165,0,1.0,,,,,,,,,
166,2,1.0,5.0,,,,,,,,
167,1,0.0,5.0,4.0,,,,,,,
168,0,5.0,1.0,9.0,,,,,,,
169,5,1.0,0.0,9.0,7.0,,,,,,
170,0,1.0,10.0,,,,,,,,
171,1,,,,,,,,,,
172,0,,,,,,,,,,
173,1,5.0,10.0,0.0,,,,,,,
174,0,2.0,8.0,3.0,9.0,,,,,,
175,0,5.0,4.0,1.0,10.0,,,,,,
176,0,,,,,,,,,,
177,5,0.0,,,,,,,,,
179,10,1.0,0.0,,,,,,,,
180,0,,,,,,,,,,
181,1,,,,,,,,,,
182,1,,,,,,,,,,
183,1,,,,,,,,,,
523,1,9.0,0.0,7.0,3.0,,,,,,
525,10,3.0,,,,,,,,,
526,1,,,,,,,,,,
528,0,9.0,,,,,,,,,
529,4,10.0,0.0,2.0,9.0,,,,,,
530,7,2.0,6.0,9.0,0.0,,,,,,
531,0,1.0,2.0,,,,,,,,
533,0,1.0,2.0,7.0,5.0,,,,,,
534,4,7.0,3.0,0.0,8.0,,,,,,
535,0,3.0,2.0,10.0,4.0,,,,,,
536,0,1.0,4.0,,,,,,,,
537,1,,,,,,,,,,
538,2,1.0,0.0,5.0,8.0,,,,,,
669,5,0.0,6.0,3.0,7.0,,,,,,
670,0,1.0,,,,,,,,,
671,1,9.0,2.0,,,,,,,,
672,9,2.0,1.0,5.0,3.0,,,,,,
674,9,4.0,5.0,0.0,10.0,,,,,,
675,0,9.0,7.0,,,,,,,,
676,1,,,,,,,,,,
677,0,,,,,,,,,,
678,7,1.0,2.0,5.0,,,,,,,
679,1,0.0,9.0,,,,,,,,
680,1,0.0,9.0,,,,,,,,
681,0,5.0,1.0,,,,,,,,
682,0,2.0,1.0,9.0,4.0,,,,,,
683,9,4.0,0.0,,,,,,,,
684,1,0.0,,,,,,,,,
686,4,1.0,,,,,,,,,
687,0,7.0,1.0,2.0,5.0,,,,,,
688,1,,,,,,,,,,
689,8,6.0,4.0,5.0,2.0,,,,,,
690,1,4.0,3.0,8.0,5.0,,,,,,
691,5,,,,,,,,,,
692,1,0.0,,,,,,,,,
693,0,8.0,3.0,9.0,,,,,,,
694,4,5.0,0.0,1.0,,,,,,,
695,7,8.0,,,,,,,,,
696,0,7.0,1.0,2.0,5.0,,,,,,
697,0,7.0,9.0,8.0,3.0,,,,,,
892,1,0.0,,,,,,,,,
893,9,7.0,2.0,1.0,8.0,,,,,,
894,2,1.0,9.0,6.0,0.0,,,,,,
895,2,1.0,7.0,9.0,0.0,,,,,,
896,4,1.0,9.0,0.0,5.0,,,,,,
897,5,10.0,1.0,4.0,2.0,,,,,,
898,1,,,,,,,,,,
900,5,6.0,1.0,4.0,2.0,,,,,,
901,5,1.0,2.0,,,,,,,,
902,1,5.0,10.0,2.0,0.0,,,,,,
903,1,0.0,9.0,6.0,7.0,,,,,,
904,2,9.0,7.0,0.0,1.0,,,,,,
905,5,4.0,0.0,1.0,,,,,,,
906,1,,,,,,,,,,
908,0,4.0,9.0,3.0,2.0,,,,,,
909,4,6.0,1.0,2.0,0.0,,,,,,
910,0,4.0,2.0,10.0,1.0,,,,,,
911,5,0.0,1.0,6.0,8.0,,,,,,
912,4,0.0,7.0,2.0,1.0,,,,,,
913,0,1.0,5.0,,,,,,,,
914,7,8.0,4.0,5.0,3.0,,,,,,
916,0,2.0,1.0,,,,,,,,
917,1,,,,,,,,,,
918,0,5.0,4.0,,,,,,,,
919,5,0.0,,,,,,,,,
920,0,,,,,,,,,,
921,5,0.0,10.0,3.0,1.0,,,,,,
923,0,1.0,10.0,4.0,7.0,,,,,,
924,4,5.0,0.0,1.0,10.0,,,,,,
925,1,,,,,,,,,,
926,1,2.0,,,,,,,,,
927,0,4.0,5.0,2.0,1.0,,,,,,
928,9,0.0,2.0,,,,,,,,
930,1,,,,,,,,,,
931,1,0.0,5.0,,,,,,,,
932,4,5.0,0.0,1.0,10.0,,,,,,
933,0,,,,,,,,,,
934,1,,,,,,,,,,
936,1,,,,,,,,,,
937,2,4.0,,,,,,,,,
938,1,,,,,,,,,,
939,1,3.0,2.0,0.0,,,,,,,
940,0,4.0,5.0,2.0,1.0,,,,,,
941,1,0.0,5.0,,,,,,,,
942,0,1.0,5.0,4.0,,,,,,,
943,3,2.0,4.0,0.0,,,,,,,
944,5,0.0,4.0,,,,,,,,
945,4,0.0,1.0,5.0,9.0,,,,,,
1026,5,1.0,4.0,,,,,,,,
1027,5,4.0,1.0,10.0,9.0,,,,,,
1028,5,1.0,0.0,4.0,9.0,,,,,,
1029,0,6.0,7.0,8.0,9.0,,,,,,
1031,5,0.0,4.0,1.0,10.0,,,,,,
1032,1,8.0,10.0,9.0,4.0,,,,,,
1033,1,0.0,,,,,,,,,
1034,9,4.0,10.0,1.0,7.0,,,,,,
1035,0,9.0,5.0,,,,,,,,
1036,0,4.0,1.0,3.0,9.0,,,,,,
1037,7,9.0,3.0,6.0,2.0,,,,,,
1038,1,9.0,0.0,8.0,4.0,,,,,,
1039,4,8.0,7.0,6.0,0.0,,,,,,
1040,8,,,,,,,,,,
1041,5,9.0,3.0,8.0,,,,,,,
1042,9,7.0,5.0,0.0,4.0,,,,,,
1043,0,,,,,,,,,,
1044,1,10.0,7.0,0.0,5.0,,,,,,
1045,5,4.0,1.0,9.0,3.0,,,,,,
1046,6,,,,,,,,,,
1047,5,,,,,,,,,,
1048,5,6.0,2.0,8.0,3.0,,,,,,
1049,5,0.0,3.0,1.0,8.0,,,,,,
1051,5,1.0,0.0,4.0,9.0,,,,,,
1052,0,4.0,9.0,1.0,,,,,,,
1053,2,8.0,0.0,9.0,10.0,,,,,,
1054,3,,,,,,,,,,
1110,8,2.0,5.0,6.0,0.0,,,,,,
1111,0,1.0,4.0,7.0,8.0,,,,,,
1112,4,,,,,,,,,,
1114,9,7.0,0.0,5.0,4.0,,,,,,
1115,0,,,,,,,,,,
1116,5,4.0,0.0,1.0,8.0,,,,,,
1118,5,,,,,,,,,,
1119,0,,,,,,,,,,
1120,5,4.0,8.0,,,,,,,,
1121,4,,,,,,,,,,
1122,4,0.0,1.0,,,,,,,,
1123,6,2.0,1.0,9.0,0.0,,,,,,
1124,0,4.0,10.0,5.0,,,,,,,
1125,5,0.0,6.0,,,,,,,,
1126,4,,,,,,,,,,
1127,10,7.0,9.0,0.0,2.0,,,,,,
1128,0,7.0,2.0,9.0,6.0,,,,,,
1129,0,1.0,,,,,,,,,
1130,1,,,,,,,,,,
1131,2,5.0,1.0,,,,,,,,
1132,0,4.0,2.0,1.0,5.0,,,,,,
1133,0,3.0,4.0,,,,,,,,
1134,1,0.0,4.0,,,,,,,,
1783,0,1.0,,,,,,,,,
1784,0,2.0,1.0,,,,,,,,
1785,5,0.0,4.0,,,,,,,,
1786,9,0.0,2.0,4.0,7.0,,,,,,
1787,1,0.0,,,,,,,,,
1788,10,4.0,1.0,7.0,2.0,,,,,,
1790,2,,,,,,,,,,
1793,5,,,,,,,,,,
1794,1,5.0,,,,,,,,,
1795,0,1.0,,,,,,,,,
1796,0,9.0,6.0,1.0,3.0,,,,,,
1797,1,0.0,,,,,,,,,
1798,1,0.0,,,,,,,,,
1800,0,1.0,,,,,,,,,
1801,5,,,,,,,,,,
1802,0,1.0,10.0,,,,,,,,
1803,1,0.0,,,,,,,,,
1804,9,0.0,,,,,,,,,
1805,5,1.0,0.0,4.0,3.0,,,,,,
1806,5,,,,,,,,,,
1807,3,2.0,9.0,,,,,,,,
2655,4,1.0,0.0,,,,,,,,
2656,0,1.0,5.0,,,,,,,,
2657,1,4.0,8.0,5.0,9.0,,,,,,
2658,0,10.0,3.0,,,,,,,,
2659,1,5.0,4.0,0.0,,,,,,,
2660,0,5.0,4.0,,,,,,,,
2661,1,,,,,,,,,,
2662,0,2.0,9.0,4.0,,,,,,,
2663,0,4.0,5.0,2.0,3.0,,,,,,
2664,0,,,,,,,,,,
2665,5,1.0,0.0,2.0,4.0,,,,,,
2667,10,,,,,,,,,,
2668,9,0.0,7.0,5.0,4.0,,,,,,
2669,1,4.0,6.0,8.0,,,,,,,
2670,0,1.0,,,,,,,,,
2671,4,8.0,0.0,6.0,,,,,,,
2672,0,1.0,5.0,,,,,,,,
2673,0,1.0,10.0,,,,,,,,
3095,4,5.0,0.0,1.0,9.0,,,,,,
3096,6,,,,,,,,,,
3097,5,4.0,1.0,2.0,0.0,,,,,,
3098,1,5.0,,,,,,,,,
3099,3,5.0,4.0,1.0,10.0,,,,,,
3100,0,5.0,4.0,,,,,,,,
3101,1,0.0,10.0,,,,,,,,
3102,1,5.0,0.0,2.0,4.0,,,,,,
3103,1,0.0,2.0,4.0,5.0,,,,,,
3104,1,4.0,0.0,,,,,,,,
3105,0,4.0,9.0,7.0,1.0,,,,,,
3106,0,4.0,9.0,,,,,,,,
3107,0,4.0,9.0,,,,,,,,
3108,1,5.0,4.0,,,,,,,,
3109,0,1.0,4.0,5.0,2.0,,,,,,
3110,2,0.0,5.0,,,,,,,,
3111,1,,,,,,,,,,
3112,1,4.0,3.0,2.0,5.0,,,,,,
3113,4,1.0,0.0,2.0,5.0,,,,,,
3114,9,10.0,7.0,1.0,5.0,,,,,,
3115,0,4.0,9.0,7.0,1.0,,,,,,
3116,1,5.0,10.0,0.0,2.0,,,,,,
3117,9,3.0,0.0,4.0,5.0,,,,,,
3118,2,1.0,9.0,4.0,8.0,,,,,,
3929,3,4.0,0.0,10.0,,,,,,,
3930,1,,,,,,,,,,
3931,5,0.0,2.0,,,,,,,,
3932,0,,,,,,,,,,
3933,1,2.0,5.0,7.0,10.0,,,,,,
3934,4,7.0,,,,,,,,,
3935,4,1.0,0.0,7.0,5.0,,,,,,
3936,9,,,,,,,,,,
3937,4,0.0,10.0,8.0,3.0,,,,,,
3938,3,5.0,,,,,,,,,
3939,1,0.0,5.0,10.0,,,,,,,
3940,10,9.0,,,,,,,,,
3941,0,1.0,5.0,2.0,10.0,,,,,,
3942,4,10.0,0.0,,,,,,,,
3943,1,4.0,5.0,,,,,,,,
3944,1,,,,,,,,,,
3945,0,1.0,4.0,5.0,2.0,,,,,,
3946,1,5.0,0.0,4.0,10.0,,,,,,
3947,5,10.0,4.0,,,,,,,,
3948,5,1.0,10.0,2.0,4.0,,,,,,
3949,4,0.0,10.0,,,,,,,,
3950,4,0.0,10.0,,,,,,,,
3951,10,4.0,2.0,,,,,,,,
3952,0,1.0,5.0,,,,,,,,
3953,5,1.0,0.0,,,,,,,,
3954,4,,,,,,,,,,
3955,5,1.0,10.0,0.0,7.0,,,,,,
3956,0,,,,,,,,,,
3957,0,1.0,5.0,,,,,,,,
3958,2,6.0,,,,,,,,,
3959,1,0.0,,,,,,,,,
3960,5,1.0,,,,,,,,,
3961,4,0.0,2.0,5.0,10.0,,,,,,
3962,1,,,,,,,,,,
3963,4,1.0,,,,,,,,,
3964,1,0.0,5.0,10.0,,,,,,,
3965,0,1.0,5.0,4.0,2.0,,,,,,
4312,6,4.0,10.0,3.0,8.0,,,,,,
4313,9,3.0,0.0,4.0,5.0,,,,,,
4315,5,0.0,,,,,,,,,
4316,4,10.0,7.0,0.0,9.0,,,,,,
4317,0,3.0,1.0,8.0,6.0,,,,,,
4318,0,4.0,6.0,9.0,10.0,,,,,,
4320,1,2.0,,,,,,,,,
4322,5,0.0,,,,,,,,,
4323,0,6.0,,,,,,,,,
4325,1,7.0,8.0,0.0,2.0,,,,,,
4326,5,0.0,9.0,7.0,8.0,,,,,,
4327,4,1.0,8.0,7.0,6.0,,,,,,
4328,1,2.0,9.0,0.0,5.0,,,,,,
4329,5,,,,,,,,,,
4330,5,0.0,9.0,7.0,2.0,,,,,,
4331,5,0.0,,,,,,,,,
4332,0,1.0,9.0,7.0,2.0,,,,,,
4333,10,0.0,3.0,1.0,9.0,,,,,,
4334,1,5.0,0.0,2.0,8.0,,,,,,
4336,1,3.0,2.0,9.0,0.0,,,,,,
4337,10,8.0,1.0,3.0,0.0,,,,,,
4338,4,9.0,3.0,7.0,1.0,,,,,,
4339,3,9.0,4.0,1.0,5.0,,,,,,
4340,0,1.0,3.0,8.0,7.0,,,,,,
4751,5,10.0,9.0,3.0,4.0,,,,,,
4752,1,7.0,6.0,9.0,3.0,,,,,,
4753,1,9.0,7.0,0.0,10.0,,,,,,
4754,3,0.0,9.0,7.0,2.0,,,,,,
4755,1,4.0,0.0,5.0,,,,,,,
4756,8,3.0,,,,,,,,,
4757,6,,,,,,,,,,
4758,1,9.0,0.0,3.0,10.0,,,,,,
4759,1,0.0,4.0,9.0,,,,,,,
4760,4,3.0,9.0,7.0,0.0,,,,,,
4761,1,5.0,,,,,,,,,
4762,1,10.0,6.0,,,,,,,,
4763,7,2.0,6.0,8.0,1.0,,,,,,
4764,1,,,,,,,,,,
4765,3,4.0,8.0,9.0,10.0,,,,,,
4810,0,4.0,5.0,,,,,,,,
4811,8,1.0,10.0,9.0,0.0,,,,,,
4813,9,0.0,7.0,10.0,,,,,,,
4814,4,0.0,,,,,,,,,
4815,5,3.0,10.0,4.0,9.0,,,,,,
4816,2,,,,,,,,,,
4817,3,4.0,6.0,,,,,,,,
4818,5,4.0,,,,,,,,,
4819,1,,,,,,,,,,
4821,9,0.0,1.0,5.0,3.0,,,,,,
4822,10,,,,,,,,,,
4825,0,,,,,,,,,,
4826,1,5.0,0.0,6.0,7.0,,,,,,
4827,0,1.0,,,,,,,,,
