,0,1
1,Write-In cells: 485,
2,Overvote cells: 64,
3,Darlene Mealy: 0,
4,Alicka Tani Ampry-Samuel: 1,
949,0,
950,0,1.0
951,1,0.0
952,1,
953,0,1.0
954,1,0.0
955,0,
956,0,
957,1,
958,0,
959,1,
960,0,
961,0,1.0
962,1,0.0
963,1,
964,0,
966,0,1.0
967,0,1.0
969,0,
971,0,
972,0,
973,0,1.0
974,0,1.0
975,0,
976,0,1.0
977,0,
978,1,0.0
979,0,
980,0,1.0
981,1,
982,0,1.0
4554,1,
4555,0,1.0
4556,0,1.0
4557,0,
4558,0,1.0
4559,1,
4560,0,
4561,0,1.0
4562,1,0.0
4564,0,1.0
4565,0,1.0
4566,1,0.0
4567,0,1.0
4568,0,
5290,0,1.0
5291,1,0.0
5293,0,1.0
5294,0,1.0
5295,0,
5296,1,
5297,0,1.0
5298,0,
5299,1,
5300,1,
5301,0,
5302,0,1.0
5303,0,1.0
5304,1,0.0
5305,0,1.0
5306,0,
5308,0,1.0
5309,0,1.0
5310,1,
5311,1,0.0
5312,0,1.0
5313,0,
5314,0,1.0
5315,1,0.0
5316,1,0.0
6611,1,
6612,1,
6613,0,
6614,0,1.0
6615,1,
6616,0,
6617,1,
6618,0,1.0
6619,0,
6620,0,
6621,1,0.0
6622,0,
6623,1,0.0
6624,1,
7171,1,0.0
7172,1,0.0
7173,1,0.0
7174,0,1.0
7175,0,
7176,0,1.0
7177,1,
7178,1,
7179,1,0.0
7180,0,1.0
7181,1,
7182,0,1.0
7183,1,0.0
7184,1,
8111,0,1.0
8113,0,
8114,1,
8116,0,1.0
8117,1,
8118,1,
8149,0,1.0
8150,0,1.0
8151,1,0.0
8152,1,0.0
8154,0,1.0
8155,0,
8156,0,
8157,1,0.0
8386,1,0.0
8387,0,1.0
8388,0,1.0
8390,1,
8391,1,
8392,1,0.0
8393,1,0.0
8394,0,1.0
8395,0,1.0
8396,1,0.0
8397,0,
8398,1,
8399,0,
8401,0,
8403,0,1.0
8404,0,1.0
8405,1,
8406,0,1.0
8407,0,1.0
8408,0,1.0
8410,0,
8411,0,1.0
8412,0,1.0
8413,0,
8414,1,0.0
10194,1,0.0
10195,1,0.0
10197,1,
10198,0,1.0
10199,1,
10200,1,
10201,1,0.0
10202,0,
10203,1,
10505,1,0.0
10506,1,0.0
10507,0,1.0
10508,0,
10509,1,
10510,1,0.0
10511,1,0.0
10513,0,
10514,0,
10515,1,
10516,0,
10517,1,
10518,1,
11009,1,0.0
11010,1,0.0
11011,1,0.0
11012,1,0.0
11014,1,0.0
11016,0,1.0
11017,1,0.0
11018,1,0.0
11019,0,1.0
11020,1,
11021,1,
11022,0,1.0
11024,1,0.0
11025,0,1.0
11026,1,0.0
11027,1,
11028,0,
11029,1,0.0
11030,1,0.0
11031,1,0.0
11032,1,0.0
11187,1,0.0
11188,1,
11189,0,
11190,0,
