,0,1,2
1,Write-In cells: 598,,
2,Overvote cells: 133,,
3,Farah N. Louis: 0,,
4,Anthony Beckford: 1,,
5,Cyril F. Joseph: 2,,
35,0,1.0,2.0
36,0,,
37,1,0.0,2.0
38,1,0.0,
39,0,,
106,0,,
533,1,2.0,0.0
534,0,,
535,0,1.0,2.0
536,0,,
537,0,,
538,0,1.0,2.0
539,0,,
540,0,2.0,1.0
541,1,0.0,2.0
543,2,,
546,1,2.0,0.0
547,1,2.0,
548,0,1.0,
549,0,,
550,0,,
551,0,,
552,0,2.0,1.0
553,0,1.0,2.0
554,0,1.0,2.0
556,0,2.0,1.0
938,1,0.0,2.0
939,1,,
940,0,2.0,
1017,0,1.0,2.0
1210,0,1.0,2.0
1211,0,,
1212,0,,
1213,0,,
1214,0,2.0,1.0
1954,0,,
1955,0,2.0,1.0
1956,0,2.0,1.0
1957,1,0.0,
1958,0,,
1959,0,,
1960,0,,
1961,0,,
1962,0,1.0,2.0
1963,0,,
1964,0,,
1965,2,0.0,1.0
1966,0,1.0,2.0
1967,0,1.0,2.0
1969,1,,
2599,0,2.0,1.0
2710,0,,
2731,0,,
2732,0,,
2733,0,,
2734,0,,
2735,1,0.0,
2736,0,1.0,2.0
2737,0,1.0,2.0
2738,0,,
2739,1,0.0,
2740,0,,
2741,0,,
2742,1,2.0,0.0
2743,0,1.0,2.0
2744,0,,
2745,0,,
2746,0,,
2747,0,,
2748,1,2.0,0.0
2749,0,2.0,1.0
2750,0,,
2861,0,2.0,1.0
2862,0,2.0,1.0
2863,2,1.0,0.0
2864,0,,
2865,0,2.0,1.0
2866,0,1.0,
2867,0,,
2868,0,1.0,2.0
2870,0,2.0,1.0
2871,0,2.0,1.0
2872,0,1.0,2.0
2873,1,,
2874,0,1.0,2.0
2875,1,0.0,
2876,1,2.0,0.0
2879,0,,
2880,0,2.0,1.0
2881,0,1.0,
2882,1,0.0,2.0
2883,0,1.0,
2917,2,1.0,0.0
2918,0,,
2919,0,,
2920,1,2.0,0.0
2921,0,,
2922,0,,
2923,0,,
2924,0,,
2925,0,2.0,1.0
2926,0,,
2927,1,,
2928,0,,
2929,1,,
2930,0,1.0,
2931,0,1.0,
2932,0,1.0,
2933,0,,
2934,0,2.0,1.0
2935,0,,
3155,0,1.0,
3156,0,,
3157,0,1.0,2.0
3158,0,1.0,2.0
3159,1,0.0,
3160,1,2.0,0.0
3161,1,,
3162,0,,
3164,0,1.0,
3165,0,1.0,2.0
3166,0,1.0,2.0
3167,1,2.0,
3168,0,,
3169,0,2.0,1.0
3170,0,2.0,1.0
3171,0,,
3172,1,2.0,
3173,0,2.0,1.0
3174,0,,
3175,0,1.0,2.0
3176,0,2.0,1.0
