,0,1,2,3,4
1,Write-In cells: 245,,,,
2,Overvote cells: 112,,,,
3,Steven Saperstein: 0,,,,
4,Mariya Markh: 1,,,,
5,Amber L. Adler: 2,,,,
6,Binyomin Zev Bendet: 3,,,,
7,Heshy Tischler: 4,,,,
290,0,,,,
291,1,,,,
292,0,1.0,,,
293,1,2.0,3.0,0.0,
294,3,0.0,1.0,2.0,
295,3,1.0,2.0,,
296,1,0.0,4.0,,
297,1,2.0,0.0,,
298,0,,,,
299,0,1.0,,,
300,2,1.0,,,
301,3,1.0,,,
303,3,1.0,,,
304,0,3.0,2.0,1.0,
305,1,0.0,,,
507,1,0.0,2.0,3.0,
508,2,,,,
510,4,2.0,0.0,,
515,1,0.0,2.0,3.0,
1217,0,3.0,4.0,2.0,1.0
1218,0,,,,
1219,3,0.0,4.0,2.0,
1220,0,1.0,2.0,3.0,
1221,0,,,,
1222,0,2.0,,,
1223,0,2.0,1.0,,
1224,1,4.0,0.0,2.0,
1225,1,,,,
1226,0,3.0,2.0,1.0,4.0
1227,1,,,,
1228,0,,,,
1229,0,2.0,4.0,3.0,1.0
1230,0,,,,
1231,2,0.0,4.0,1.0,3.0
1232,3,0.0,,,
1233,1,,,,
1234,3,0.0,,,
1235,1,0.0,,,
1236,0,2.0,4.0,3.0,1.0
1237,0,,,,
1248,0,1.0,,,
1249,0,1.0,2.0,4.0,3.0
1250,1,2.0,0.0,4.0,3.0
1251,0,,,,
1253,0,,,,
1263,0,3.0,1.0,2.0,
1309,3,0.0,2.0,1.0,
1310,0,1.0,,,
1311,0,,,,
1312,0,,,,
1313,1,0.0,2.0,4.0,3.0
1314,2,1.0,,,
1315,4,2.0,1.0,0.0,3.0
1316,3,4.0,0.0,1.0,2.0
1317,4,0.0,2.0,1.0,3.0
1318,1,0.0,2.0,,
1319,0,4.0,3.0,1.0,
1320,1,0.0,3.0,4.0,2.0
1321,0,,,,
1322,4,2.0,0.0,1.0,3.0
1323,1,0.0,3.0,,
1324,4,1.0,2.0,3.0,0.0
1325,1,4.0,0.0,2.0,3.0
1326,0,,,,
1327,0,,,,
1328,0,,,,
1329,0,1.0,,,
1330,1,3.0,,,
1331,2,0.0,1.0,4.0,
1332,1,3.0,,,
1333,0,1.0,3.0,,
1334,0,2.0,1.0,3.0,4.0
1335,2,3.0,0.0,4.0,1.0
1337,0,,,,
1338,1,3.0,0.0,4.0,
1339,1,,,,
1340,0,2.0,1.0,4.0,3.0
1341,0,2.0,,,
1342,4,2.0,0.0,1.0,3.0
1343,2,3.0,0.0,4.0,1.0
1344,1,,,,
1345,3,0.0,2.0,1.0,4.0
1346,1,,,,
1347,0,1.0,,,
1348,0,2.0,,,
1541,1,0.0,,,
1542,3,0.0,4.0,1.0,
1543,0,1.0,4.0,3.0,2.0
1544,0,,,,
1545,0,4.0,2.0,,
1546,1,,,,
1547,1,0.0,,,
1548,0,,,,
1549,0,1.0,,,
1550,0,1.0,4.0,2.0,3.0
1551,1,,,,
1552,0,4.0,3.0,2.0,1.0
1553,3,0.0,4.0,1.0,2.0
1554,3,0.0,4.0,,
1555,1,,,,
1556,0,3.0,2.0,,
1557,2,3.0,0.0,4.0,1.0
1558,2,0.0,4.0,3.0,1.0
1559,1,0.0,,,
1560,2,,,,
1561,2,0.0,3.0,4.0,1.0
1562,0,2.0,,,
1563,0,3.0,4.0,1.0,
1565,1,2.0,0.0,4.0,3.0
1567,0,,,,
1633,3,0.0,2.0,,
1634,3,2.0,4.0,0.0,
1635,0,1.0,4.0,3.0,2.0
1636,1,,,,
1637,3,1.0,0.0,,
1638,1,,,,
1639,3,1.0,0.0,,
1640,3,0.0,1.0,,
1641,4,3.0,2.0,0.0,1.0
1642,4,3.0,0.0,2.0,1.0
1643,4,0.0,3.0,2.0,1.0
1644,0,1.0,3.0,,
1645,3,0.0,4.0,,
1646,3,0.0,4.0,,
1647,4,1.0,0.0,3.0,2.0
1648,1,0.0,,,
1649,2,4.0,1.0,3.0,
1650,1,0.0,3.0,4.0,2.0
1651,0,4.0,3.0,,
1652,3,0.0,2.0,,
1653,3,1.0,,,
1654,3,,,,
1655,3,1.0,,,
1656,0,3.0,2.0,,
1657,4,3.0,0.0,2.0,1.0
1658,2,1.0,0.0,4.0,
1659,3,2.0,4.0,1.0,0.0
1660,3,,,,
1661,3,0.0,1.0,,
2049,3,,,,
2050,1,,,,
2051,1,3.0,,,
2052,0,3.0,4.0,,
2053,0,,,,
2054,2,0.0,,,
2055,4,,,,
2056,0,3.0,,,
2057,0,2.0,,,
2058,0,,,,
2059,1,2.0,3.0,0.0,4.0
2346,0,1.0,3.0,,
2347,3,,,,
2348,2,3.0,,,
2349,0,,,,
2350,3,0.0,,,
2351,3,2.0,0.0,4.0,
2352,3,2.0,0.0,4.0,
2354,3,0.0,4.0,1.0,2.0
2355,0,2.0,,,
2356,3,2.0,0.0,4.0,
2357,0,,,,
2358,3,2.0,0.0,4.0,
2359,1,,,,
2360,3,,,,
2361,1,0.0,2.0,4.0,
2362,0,,,,
2363,1,2.0,0.0,3.0,4.0
2364,0,,,,
2365,1,0.0,2.0,4.0,
2366,1,0.0,2.0,4.0,3.0
2367,1,0.0,2.0,4.0,
2369,2,3.0,4.0,1.0,
2370,1,,,,
2371,2,1.0,,,
2372,1,,,,
2374,1,0.0,,,
2375,1,2.0,0.0,,
2376,2,,,,
2377,3,1.0,0.0,,
2378,1,,,,
2379,1,,,,
2380,0,2.0,,,
2381,0,3.0,2.0,,
2382,4,,,,
2384,0,1.0,,,
2385,0,,,,
2386,0,1.0,,,
2387,0,,,,
2388,4,,,,
2389,0,1.0,4.0,3.0,2.0
2390,1,,,,
2391,0,,,,
2392,0,,,,
2393,0,1.0,,,
2394,1,0.0,,,
2395,0,1.0,,,
2396,2,1.0,,,
2397,3,2.0,1.0,,
2398,1,2.0,,,
2444,0,1.0,,,
2445,0,2.0,3.0,4.0,
2446,0,3.0,2.0,,
2447,2,1.0,0.0,,
2448,1,,,,
2449,2,1.0,,,
2451,1,0.0,2.0,,
2452,2,0.0,3.0,4.0,1.0
2453,0,,,,
2454,1,0.0,,,
2455,0,4.0,3.0,,
2456,1,3.0,,,
2457,0,,,,
2458,1,,,,
2459,1,,,,
2460,4,1.0,2.0,,
3232,0,,,,
3233,1,0.0,3.0,,
3234,0,1.0,2.0,3.0,
3236,1,,,,
3237,1,2.0,0.0,3.0,4.0
3238,1,0.0,,,
3239,1,2.0,0.0,3.0,4.0
3240,0,1.0,2.0,,
3241,0,1.0,4.0,,
3242,3,0.0,,,
3243,1,2.0,3.0,0.0,
3244,1,,,,
3245,0,1.0,2.0,3.0,
3246,0,,,,
3247,0,1.0,4.0,2.0,3.0
3248,1,0.0,,,
3249,0,4.0,3.0,,
3250,4,0.0,,,
3251,0,,,,
3252,1,0.0,,,
3253,1,2.0,,,
3254,2,1.0,0.0,,
3255,0,,,,
3256,0,4.0,2.0,1.0,3.0
3257,0,4.0,1.0,,
3258,0,,,,
3259,3,,,,
3260,3,,,,
3261,0,4.0,2.0,3.0,1.0
3262,1,,,,
3263,3,,,,
3264,0,1.0,3.0,2.0,
3265,0,,,,
3266,3,,,,
3267,1,,,,
3268,3,,,,
3269,3,,,,
3270,3,,,,
3572,0,2.0,,,
3573,2,,,,
3574,4,,,,
