,0,1,2,3,4,5,6
1,Write-In cells: 294,,,,,,
2,Overvote cells: 131,,,,,,
3,Rebecca N. Lamorte: 0,,,,,,
4,Julie Menin: 1,,,,,,
5,Tricia M. Shimamura: 2,,,,,,
6,Marco A. Tamayo: 3,,,,,,
7,Billy Freeland: 4,,,,,,
8,Kim Moscaritolo: 5,,,,,,
9,Christopher  A. Sosa: 6,,,,,,
25010,0,,,,,,
25011,1,2.0,0.0,3.0,4.0,,
25012,0,5.0,2.0,,,,
25013,5,2.0,4.0,1.0,0.0,,
25014,2,0.0,5.0,4.0,6.0,,
25015,4,1.0,,,,,
25016,0,5.0,6.0,2.0,4.0,,
25017,0,5.0,2.0,,,,
25019,1,,,,,,
25020,5,2.0,1.0,0.0,3.0,,
25021,0,,,,,,
25023,5,2.0,1.0,4.0,,,
25024,1,2.0,,,,,
25025,0,1.0,2.0,5.0,4.0,,
25026,1,0.0,2.0,6.0,5.0,,
25027,2,0.0,,,,,
25028,2,4.0,1.0,0.0,6.0,,
25029,2,,,,,,
25030,1,,,,,,
25031,1,2.0,0.0,5.0,,,
25032,1,2.0,,,,,
25033,1,5.0,2.0,,,,
25034,1,,,,,,
25035,2,,,,,,
25036,1,0.0,4.0,6.0,5.0,,
25037,3,4.0,5.0,0.0,2.0,,
25039,0,1.0,5.0,2.0,4.0,,
25040,1,2.0,3.0,5.0,6.0,,
25041,1,2.0,4.0,5.0,6.0,,
25042,1,2.0,5.0,0.0,4.0,,
25043,1,,,,,,
25044,4,2.0,1.0,5.0,6.0,,
25045,0,5.0,4.0,2.0,3.0,,
25046,1,2.0,,,,,
25047,5,1.0,4.0,6.0,3.0,,
25048,1,2.0,,,,,
25049,2,1.0,,,,,
25050,1,,,,,,
25051,1,,,,,,
25052,1,2.0,,,,,
25053,1,,,,,,
25054,1,,,,,,
25055,1,2.0,5.0,0.0,,,
25056,0,4.0,6.0,5.0,2.0,,
25057,1,0.0,4.0,6.0,5.0,,
25058,1,,,,,,
25059,2,,,,,,
25060,1,4.0,5.0,2.0,6.0,,
25061,1,,,,,,
25062,1,0.0,2.0,5.0,6.0,,
25064,6,5.0,0.0,1.0,3.0,,
25065,4,1.0,,,,,
25066,1,3.0,,,,,
25067,2,,,,,,
25069,1,2.0,4.0,6.0,3.0,,
25071,1,4.0,6.0,,,,
25074,1,4.0,6.0,,,,
25075,2,5.0,,,,,
25076,2,,,,,,
25077,2,5.0,0.0,,,,
25078,4,1.0,5.0,6.0,,,
25079,2,5.0,,,,,
25080,1,,,,,,
25082,2,,,,,,
25083,1,4.0,5.0,2.0,3.0,,
25084,2,1.0,4.0,,,,
25085,5,2.0,,,,,
25086,0,4.0,2.0,5.0,1.0,,
25087,1,4.0,6.0,,,,
25088,1,2.0,6.0,,,,
25089,1,4.0,6.0,,,,
25090,2,1.0,4.0,,,,
25091,1,4.0,2.0,5.0,3.0,,
25093,1,2.0,0.0,5.0,6.0,,
25095,1,2.0,0.0,5.0,6.0,,
25096,1,3.0,2.0,,,,
25097,1,2.0,4.0,0.0,5.0,,
25106,0,2.0,1.0,,,,
25107,0,,,,,,
25108,3,4.0,5.0,2.0,1.0,,
25109,2,0.0,,,,,
25110,0,4.0,6.0,,,,
25111,2,,,,,,
25112,6,3.0,5.0,0.0,1.0,,
25114,5,2.0,1.0,4.0,6.0,,
25116,3,5.0,2.0,,,,
25117,5,6.0,3.0,0.0,2.0,,
25118,6,3.0,5.0,0.0,1.0,,
25119,1,2.0,5.0,4.0,0.0,,
25120,2,0.0,3.0,4.0,,,
25121,2,4.0,6.0,3.0,0.0,,
25123,5,6.0,3.0,0.0,2.0,,
25124,2,1.0,0.0,,,,
25125,5,,,,,,
25126,2,6.0,3.0,5.0,1.0,,
25128,2,0.0,1.0,,,,
25163,6,,,,,,
25165,1,2.0,5.0,,,,
25166,2,1.0,0.0,4.0,5.0,,
25167,4,,,,,,
25168,1,2.0,5.0,,,,
25170,0,2.0,,,,,
