,0,1,2,3,4,5,6,7,8,9,10,11,12
1,Write-In cells: 162,,,,,,,,,,,,
2,Overvote cells: 371,,,,,,,,,,,,
3,Bill Perkins: 0,,,,,,,,,,,,
4,William A. Allen: 1,,,,,,,,,,,,
5,Bernadette McNear: 2,,,,,,,,,,,,
6,Keith Taylor: 3,,,,,,,,,,,,
7,Athena Moore: 4,,,,,,,,,,,,
8,Billy Council: 5,,,,,,,,,,,,
9,Pierre A. Gooding: 6,,,,,,,,,,,,
10,Cordell Cleare: 7,,,,,,,,,,,,
11,Kristin Richardson Jordan: 8,,,,,,,,,,,,
12,Sheba T. Simpson-Amsterdam: 9,,,,,,,,,,,,
13,Ruth L. McDaniels: 10,,,,,,,,,,,,
14,Joshua Albert Clennon: 11,,,,,,,,,,,,
15,Mario Rosser: 12,,,,,,,,,,,,
16294,0,1.0,2.0,,,,,,,,,,
16295,0,3.0,4.0,5.0,,,,,,,,,
16296,6,3.0,7.0,4.0,8.0,,,,,,,,
16297,4,8.0,2.0,9.0,10.0,,,,,,,,
16298,11,9.0,12.0,4.0,10.0,,,,,,,,
16299,7,2.0,12.0,3.0,,,,,,,,,
16300,8,,,,,,,,,,,,
16301,1,0.0,,,,,,,,,,,
16302,8,7.0,4.0,9.0,10.0,,,,,,,,
16303,8,,,,,,,,,,,,
16304,8,12.0,,,,,,,,,,,
16305,6,10.0,8.0,3.0,0.0,,,,,,,,
16306,3,6.0,12.0,5.0,11.0,,,,,,,,
16461,0,12.0,3.0,5.0,8.0,,,,,,,,
16462,0,12.0,3.0,5.0,8.0,,,,,,,,
16463,3,10.0,2.0,1.0,4.0,,,,,,,,
16464,8,12.0,9.0,3.0,11.0,,,,,,,,
16465,3,12.0,,,,,,,,,,,
16467,9,8.0,4.0,2.0,10.0,,,,,,,,
16468,0,7.0,,,,,,,,,,,
16469,0,1.0,10.0,3.0,6.0,,,,,,,,
16470,0,10.0,,,,,,,,,,,
16471,3,10.0,1.0,4.0,7.0,,,,,,,,
16472,7,8.0,,,,,,,,,,,
16473,7,8.0,,,,,,,,,,,
16474,4,,,,,,,,,,,,
16475,12,,,,,,,,,,,,
16476,8,5.0,0.0,1.0,,,,,,,,,
16477,8,9.0,3.0,6.0,0.0,,,,,,,,
16478,4,12.0,0.0,11.0,7.0,,,,,,,,
16479,0,4.0,3.0,9.0,8.0,,,,,,,,
16480,0,4.0,10.0,3.0,,,,,,,,,
16550,0,9.0,3.0,,,,,,,,,,
16551,0,4.0,3.0,1.0,2.0,,,,,,,,
16552,0,10.0,8.0,3.0,6.0,,,,,,,,
16553,8,,,,,,,,,,,,
16554,6,,,,,,,,,,,,
16555,2,,,,,,,,,,,,
16556,1,4.0,10.0,6.0,3.0,,,,,,,,
16557,4,,,,,,,,,,,,
16558,9,4.0,6.0,3.0,11.0,,,,,,,,
16559,0,12.0,1.0,,,,,,,,,,
16560,0,1.0,,,,,,,,,,,
16561,8,11.0,12.0,9.0,5.0,,,,,,,,
16562,7,3.0,0.0,,,,,,,,,,
16564,7,11.0,2.0,6.0,4.0,,,,,,,,
16565,12,6.0,5.0,9.0,,,,,,,,,
16566,8,4.0,,,,,,,,,,,
16567,8,10.0,1.0,7.0,5.0,,,,,,,,
16568,11,,,,,,,,,,,,
16631,3,6.0,12.0,,,,,,,,,,
16632,1,3.0,,,,,,,,,,,
16633,0,9.0,,,,,,,,,,,
16634,7,8.0,4.0,12.0,11.0,,,,,,,,
16635,0,3.0,10.0,,,,,,,,,,
16636,0,,,,,,,,,,,,
16637,8,,,,,,,,,,,,
16638,4,0.0,8.0,10.0,3.0,,,,,,,,
16639,0,3.0,,,,,,,,,,,
16640,7,1.0,4.0,0.0,3.0,,,,,,,,
16641,8,11.0,0.0,,,,,,,,,,
16642,3,6.0,12.0,5.0,,,,,,,,,
16643,0,3.0,,,,,,,,,,,
16644,8,11.0,12.0,,,,,,,,,,
16645,7,12.0,8.0,11.0,1.0,,,,,,,,
16759,8,0.0,11.0,9.0,7.0,,,,,,,,
16760,12,8.0,10.0,3.0,4.0,,,,,,,,
16761,7,0.0,3.0,4.0,6.0,,,,,,,,
16762,4,0.0,,,,,,,,,,,
16763,3,0.0,2.0,4.0,11.0,,,,,,,,
16764,7,3.0,0.0,2.0,10.0,,,,,,,,
16765,8,11.0,10.0,2.0,12.0,,,,,,,,
16766,12,4.0,,,,,,,,,,,
16768,0,2.0,4.0,10.0,12.0,,,,,,,,
16769,2,10.0,7.0,9.0,4.0,,,,,,,,
16834,10,1.0,,,,,,,,,,,
17115,0,7.0,5.0,10.0,4.0,,,,,,,,
17231,0,9.0,3.0,6.0,4.0,,,,,,,,
17232,0,9.0,10.0,1.0,12.0,,,,,,,,
17233,7,4.0,1.0,10.0,12.0,,,,,,,,
17234,4,3.0,1.0,,,,,,,,,,
17235,4,12.0,0.0,7.0,11.0,,,,,,,,
17236,0,,,,,,,,,,,,
17237,12,6.0,8.0,4.0,5.0,,,,,,,,
