,0,1,2,3,4,5,6,7
1,Write-In cells: 99,,,,,,,
2,Overvote cells: 250,,,,,,,
3,Oswald Feliz: 0,,,,,,,
4,Latchmi Devi Gopal: 1,,,,,,,
5,Ischia J. Bravo: 2,,,,,,,
6,Bernadette Ferrara: 3,,,,,,,
7,Lillithe Lozano: 4,,,,,,,
8,Troy Blackwell: 5,,,,,,,
9,John E. Sanchez: 6,,,,,,,
10,Kenny G. Agosto: 7,,,,,,,
12,0,1.0,2.0,3.0,4.0,,,
16,0,1.0,5.0,6.0,3.0,,,
18,3,0.0,2.0,4.0,1.0,,,
22,0,,,,,,,
24,0,3.0,6.0,2.0,5.0,,,
26,0,5.0,2.0,,,,,
28,0,6.0,5.0,7.0,2.0,,,
30,2,4.0,1.0,7.0,6.0,,,
32,0,,,,,,,
36,6,0.0,3.0,4.0,7.0,,,
290,0,,,,,,,
292,4,7.0,0.0,2.0,3.0,,,
294,2,0.0,5.0,4.0,6.0,,,
296,3,6.0,4.0,1.0,0.0,,,
297,3,5.0,2.0,4.0,0.0,,,
300,3,0.0,2.0,5.0,4.0,,,
301,2,0.0,6.0,4.0,1.0,,,
304,0,,,,,,,
306,6,5.0,7.0,,,,,
310,2,,,,,,,
311,0,2.0,6.0,3.0,7.0,,,
314,2,0.0,6.0,3.0,7.0,,,
316,4,,,,,,,
318,0,2.0,4.0,3.0,6.0,,,
396,2,,,,,,,
398,5,2.0,3.0,4.0,6.0,,,
399,2,0.0,,,,,,
401,5,1.0,3.0,,,,,
403,2,5.0,,,,,,
406,3,6.0,0.0,7.0,4.0,,,
441,7,5.0,0.0,3.0,1.0,,,
442,7,6.0,3.0,0.0,5.0,,,
443,0,2.0,4.0,3.0,1.0,,,
444,0,,,,,,,
445,0,3.0,2.0,4.0,,,,
446,3,,,,,,,
447,0,1.0,6.0,,,,,
448,3,,,,,,,
449,3,0.0,6.0,7.0,2.0,,,
450,0,,,,,,,
452,3,,,,,,,
453,0,2.0,3.0,4.0,1.0,,,
606,0,3.0,5.0,6.0,2.0,,,
608,5,0.0,3.0,7.0,2.0,,,
610,0,2.0,,,,,,
612,5,6.0,7.0,0.0,3.0,,,
614,6,0.0,2.0,,,,,
616,5,0.0,6.0,,,,,
617,0,2.0,,,,,,
620,3,5.0,6.0,0.0,1.0,,,
622,0,,,,,,,
1035,3,,,,,,,
1037,0,6.0,1.0,3.0,5.0,,,
1039,0,3.0,5.0,6.0,7.0,,,
1041,0,3.0,2.0,6.0,5.0,,,
1043,2,7.0,6.0,0.0,3.0,,,
1045,3,4.0,6.0,5.0,1.0,,,
1049,3,5.0,7.0,2.0,0.0,,,
