,0,1,2,3,4
1,Write-In cells: 154,,,,
2,Overvote cells: 87,,,,
3,Francisco P. Moya: 0,,,,
4,David Aiken: 1,,,,
5,George Onuorah: 2,,,,
6,Ingrid P. Gomez: 3,,,,
7,Talea E. Wufka: 4,,,,
2478,0,1.0,2.0,3.0,4.0
2479,0,,,,
2481,1,0.0,2.0,,
2483,0,,,,
2484,1,,,,
2486,0,2.0,1.0,4.0,
2488,0,,,,
2490,0,1.0,4.0,3.0,2.0
2495,0,3.0,2.0,1.0,4.0
2497,4,,,,
2499,3,0.0,2.0,,
2500,3,,,,
2502,0,3.0,2.0,1.0,4.0
2504,0,3.0,2.0,1.0,4.0
2506,0,,,,
2508,0,3.0,1.0,2.0,4.0
2511,0,,,,
2515,0,,,,
2516,0,,,,
2517,3,0.0,1.0,4.0,2.0
2520,3,,,,
2522,2,3.0,0.0,4.0,1.0
2524,1,3.0,0.0,4.0,2.0
2526,0,,,,
2528,0,,,,
2530,3,4.0,,,
2532,3,,,,
2534,0,1.0,2.0,,
2536,0,,,,
2538,0,,,,
2540,0,3.0,4.0,1.0,2.0
2542,0,3.0,1.0,4.0,2.0
2544,1,3.0,0.0,2.0,
2546,0,1.0,3.0,4.0,2.0
2548,4,1.0,0.0,3.0,2.0
2550,3,2.0,0.0,4.0,1.0
2553,0,,,,
2555,4,3.0,0.0,2.0,1.0
2766,0,,,,
2767,0,,,,
2768,3,0.0,4.0,,
2769,0,,,,
2770,0,4.0,2.0,3.0,
2771,0,,,,
2772,0,,,,
2773,0,3.0,,,
2774,0,,,,
2775,0,,,,
2776,0,,,,
2777,0,1.0,,,
2778,0,4.0,1.0,3.0,
4110,0,,,,
4113,0,3.0,1.0,2.0,4.0
4115,3,0.0,1.0,2.0,4.0
4116,0,2.0,3.0,1.0,4.0
4119,0,,,,
5754,3,0.0,2.0,1.0,4.0
5756,1,,,,
5758,0,,,,
5760,4,0.0,3.0,1.0,
7072,0,4.0,3.0,2.0,1.0
7073,4,0.0,2.0,3.0,1.0
7074,3,,,,
7076,0,3.0,,,
7078,0,3.0,4.0,1.0,2.0
7088,0,4.0,3.0,2.0,
7089,0,2.0,3.0,,
7090,3,0.0,,,
7092,1,0.0,3.0,4.0,2.0
7093,0,,,,
7094,0,1.0,3.0,2.0,4.0
7102,0,3.0,1.0,2.0,4.0
7103,0,3.0,1.0,2.0,4.0
7106,3,0.0,,,
7107,0,1.0,2.0,,
7108,0,1.0,2.0,3.0,4.0
7109,0,3.0,2.0,1.0,4.0
7110,0,3.0,1.0,2.0,4.0
7111,3,0.0,,,
7112,0,3.0,2.0,4.0,1.0
7113,0,3.0,2.0,4.0,1.0
7114,3,1.0,0.0,,
7115,0,3.0,2.0,1.0,4.0
7116,0,3.0,,,
7134,0,,,,
7135,2,3.0,0.0,,
7136,1,4.0,0.0,2.0,3.0
7137,0,3.0,1.0,4.0,
7138,0,,,,
7139,0,,,,
7406,1,3.0,0.0,4.0,2.0
7407,4,,,,
7408,0,3.0,1.0,2.0,4.0
7409,1,3.0,4.0,,
7410,3,0.0,2.0,1.0,4.0
7411,3,,,,
9436,3,0.0,4.0,,
9437,3,,,,
9438,0,3.0,,,
9439,0,3.0,4.0,1.0,2.0
9440,3,0.0,1.0,4.0,2.0
9442,0,3.0,1.0,2.0,
9444,0,3.0,4.0,1.0,2.0
9445,0,3.0,4.0,1.0,2.0
9446,0,,,,
9447,2,0.0,,,
9546,3,,,,
9547,4,2.0,1.0,0.0,3.0
9548,0,4.0,1.0,2.0,3.0
9549,4,1.0,0.0,3.0,2.0
9550,3,1.0,2.0,,
9551,1,0.0,,,
9552,3,4.0,1.0,2.0,
9553,4,1.0,3.0,2.0,0.0
9554,2,,,,
9555,0,,,,
10914,3,0.0,,,
12865,2,,,,
12867,0,,,,
12869,3,,,,
12871,3,,,,
12875,3,4.0,2.0,0.0,1.0
12877,2,,,,
12879,0,3.0,1.0,2.0,4.0
12881,2,,,,
12883,0,,,,
12885,3,0.0,2.0,4.0,1.0
12887,0,,,,
12889,2,,,,
12891,2,,,,
12894,0,3.0,1.0,4.0,
12896,0,1.0,3.0,4.0,2.0
12898,0,,,,
12899,0,,,,
12901,4,0.0,2.0,,
12904,0,2.0,3.0,,
12906,1,4.0,0.0,2.0,3.0
12909,4,1.0,2.0,0.0,3.0
12911,0,3.0,1.0,4.0,
12913,2,0.0,3.0,,
12916,0,,,,
12917,0,3.0,1.0,4.0,
12919,0,3.0,1.0,4.0,2.0
12922,0,,,,
12923,0,,,,
12926,0,4.0,1.0,3.0,2.0
12929,0,,,,
12930,3,,,,
12932,1,,,,
12935,0,,,,
12938,0,1.0,3.0,2.0,4.0
12940,3,4.0,2.0,0.0,
12942,0,3.0,1.0,2.0,4.0
12944,4,0.0,3.0,,
12946,0,3.0,,,
13684,0,2.0,1.0,3.0,4.0
13685,0,3.0,,,
13687,0,,,,
13690,0,3.0,,,
13691,3,0.0,2.0,,
13694,3,0.0,4.0,2.0,1.0
13696,0,1.0,4.0,3.0,2.0
13697,3,,,,
13699,3,,,,
13702,1,,,,
13704,3,,,,
13706,3,0.0,,,
13708,3,0.0,,,
13710,0,3.0,4.0,2.0,1.0
13712,0,3.0,4.0,,
13714,2,1.0,3.0,,
13718,3,,,,
13720,3,,,,
13721,3,,,,
13724,0,,,,
13726,1,,,,
13728,0,,,,
13790,0,2.0,,,
23531,0,,,,
23533,0,3.0,1.0,4.0,2.0
23535,0,3.0,1.0,2.0,4.0
23537,3,1.0,2.0,0.0,4.0
23539,3,0.0,,,
23541,3,0.0,,,
23543,3,0.0,,,
23544,3,,,,
23547,0,,,,
23548,0,3.0,4.0,2.0,1.0
23551,0,4.0,1.0,3.0,2.0
23552,0,,,,
23554,0,,,,
25790,3,0.0,1.0,2.0,4.0
25791,0,,,,
27011,3,1.0,2.0,4.0,0.0
27907,0,2.0,3.0,1.0,
27908,0,2.0,3.0,,
27909,0,2.0,3.0,1.0,4.0
27910,0,,,,
27911,2,0.0,1.0,,
27912,1,0.0,2.0,3.0,4.0
27913,1,0.0,4.0,2.0,3.0
27914,2,0.0,1.0,,
27915,2,1.0,,,
27916,0,3.0,,,
27917,0,1.0,3.0,4.0,2.0
27918,0,,,,
27919,2,4.0,3.0,0.0,1.0
27920,2,4.0,0.0,3.0,1.0
27921,0,3.0,1.0,2.0,
27922,3,,,,
27923,0,2.0,1.0,3.0,4.0
28782,0,3.0,1.0,4.0,2.0
28783,1,0.0,,,
28784,1,0.0,,,
28785,0,2.0,4.0,1.0,
28786,1,0.0,,,
28787,2,,,,
28788,0,3.0,,,
28789,0,3.0,,,
28790,2,,,,
28924,0,3.0,1.0,4.0,2.0
28925,4,3.0,2.0,0.0,1.0
28926,0,1.0,4.0,2.0,3.0
28927,0,1.0,3.0,2.0,4.0
28928,0,,,,
28929,1,,,,
28930,0,4.0,2.0,3.0,1.0
28931,0,,,,
28932,0,,,,
28934,3,2.0,1.0,0.0,
28935,3,,,,
28936,0,,,,
28937,3,1.0,0.0,4.0,
28938,0,,,,
28939,0,,,,
29414,2,1.0,4.0,0.0,3.0
29416,0,,,,
29417,4,1.0,0.0,,
29418,1,3.0,0.0,2.0,
29419,0,,,,
29420,0,1.0,3.0,2.0,
29421,0,,,,
29422,1,3.0,2.0,4.0,0.0
29423,3,0.0,1.0,4.0,2.0
29424,1,3.0,2.0,0.0,
29425,1,3.0,0.0,2.0,4.0
29426,1,4.0,,,
29427,1,4.0,,,
29428,3,4.0,0.0,2.0,1.0
29429,0,4.0,1.0,3.0,2.0
29430,0,3.0,1.0,,
29431,0,1.0,3.0,,
29432,0,3.0,1.0,2.0,4.0
29433,0,3.0,1.0,2.0,4.0
29434,2,1.0,3.0,0.0,4.0
29435,0,4.0,1.0,3.0,2.0
29436,3,0.0,4.0,2.0,1.0
29483,0,2.0,3.0,1.0,
29484,0,,,,
29485,0,1.0,3.0,2.0,4.0
29486,2,0.0,3.0,1.0,
29487,0,2.0,3.0,4.0,1.0
29488,4,2.0,1.0,3.0,0.0
29489,4,2.0,1.0,3.0,0.0
29490,0,2.0,3.0,1.0,
29491,1,,,,
29492,0,4.0,2.0,3.0,1.0
29493,0,1.0,2.0,3.0,4.0
29494,3,,,,
29495,2,0.0,,,
29497,0,3.0,2.0,1.0,4.0
29498,2,0.0,3.0,4.0,1.0
29499,0,,,,
29500,1,3.0,4.0,0.0,2.0
29501,0,3.0,2.0,1.0,
29503,0,1.0,3.0,4.0,
29504,2,4.0,0.0,3.0,1.0
29505,0,,,,
30055,0,3.0,1.0,4.0,2.0
30056,0,1.0,3.0,2.0,4.0
30057,4,2.0,3.0,1.0,0.0
30058,3,0.0,1.0,2.0,4.0
30059,1,2.0,0.0,4.0,
30060,0,,,,
30061,1,,,,
30062,0,4.0,2.0,,
30063,1,0.0,,,
30065,1,0.0,3.0,,
30066,0,,,,
30067,3,,,,
30068,0,,,,
30069,3,,,,
30070,0,,,,
30071,3,,,,
30072,2,0.0,1.0,3.0,4.0
30073,3,,,,
30074,0,4.0,3.0,2.0,
30075,3,0.0,4.0,1.0,2.0
30076,0,2.0,,,
30077,2,0.0,3.0,4.0,1.0
30078,0,3.0,1.0,2.0,4.0
30079,1,0.0,3.0,2.0,4.0
30080,2,,,,
30081,0,1.0,3.0,2.0,4.0
30082,3,0.0,,,
30083,3,0.0,1.0,2.0,4.0
30084,3,4.0,1.0,2.0,
30085,1,0.0,3.0,4.0,2.0
30086,0,2.0,,,
30087,3,,,,
30088,4,2.0,3.0,1.0,0.0
30089,0,4.0,1.0,2.0,
30090,0,3.0,2.0,1.0,4.0
31162,1,0.0,3.0,,
31163,0,,,,
31164,1,0.0,,,
31165,0,1.0,4.0,,
31166,1,0.0,2.0,3.0,4.0
31167,0,,,,
31168,0,,,,
31169,1,3.0,4.0,2.0,0.0
31170,3,0.0,4.0,2.0,1.0
31171,1,0.0,,,
31172,0,3.0,1.0,2.0,4.0
31173,0,1.0,3.0,2.0,4.0
31174,1,3.0,2.0,4.0,0.0
31175,0,1.0,,,
31176,1,,,,
31177,0,4.0,3.0,1.0,2.0
31178,0,,,,
31179,1,3.0,4.0,2.0,0.0
31180,1,0.0,3.0,,
31181,0,1.0,,,
31182,4,1.0,0.0,3.0,2.0
31183,4,2.0,1.0,3.0,0.0
31184,0,,,,
31185,0,3.0,,,
31186,3,4.0,2.0,0.0,1.0
31187,0,2.0,,,
31192,1,,,,
31193,0,3.0,1.0,2.0,4.0
33715,4,0.0,3.0,2.0,1.0
33717,2,,,,
33718,3,4.0,2.0,1.0,0.0
33719,1,0.0,,,
33721,4,3.0,0.0,2.0,1.0
35294,0,1.0,4.0,3.0,2.0
35295,4,,,,
35296,2,0.0,1.0,4.0,3.0
35298,4,1.0,3.0,2.0,0.0
35299,0,1.0,3.0,,
35300,3,0.0,1.0,,
35302,3,,,,
35303,2,4.0,0.0,,
35304,0,1.0,2.0,,
35305,0,1.0,2.0,3.0,4.0
35306,0,1.0,2.0,,
35307,0,1.0,2.0,3.0,
35308,0,3.0,2.0,,
35309,0,1.0,,,
35310,1,3.0,2.0,0.0,4.0
35311,3,4.0,1.0,2.0,0.0
35312,3,4.0,1.0,2.0,0.0
35313,0,,,,
35325,4,3.0,1.0,2.0,0.0
35326,0,1.0,,,
35328,1,,,,
35329,0,1.0,3.0,4.0,2.0
35330,2,,,,
35331,0,1.0,2.0,4.0,3.0
35935,0,1.0,,,
35936,3,0.0,1.0,4.0,2.0
35937,3,4.0,0.0,2.0,1.0
35938,3,4.0,1.0,0.0,2.0
35939,3,4.0,0.0,2.0,1.0
35940,1,0.0,4.0,3.0,2.0
35941,3,4.0,0.0,1.0,2.0
35942,1,,,,
35944,0,4.0,2.0,3.0,1.0
35945,0,2.0,3.0,4.0,1.0
35946,0,2.0,3.0,4.0,1.0
35947,1,4.0,3.0,2.0,0.0
35948,1,4.0,2.0,0.0,3.0
35949,1,4.0,2.0,0.0,3.0
37394,1,0.0,3.0,4.0,
37395,3,0.0,,,
37396,2,1.0,,,
37397,1,0.0,,,
37398,0,1.0,,,
37399,1,,,,
38626,2,1.0,4.0,0.0,
38627,0,3.0,1.0,2.0,4.0
38628,0,2.0,,,
38629,0,3.0,1.0,4.0,2.0
38630,1,,,,
38633,0,2.0,,,
38712,4,1.0,0.0,3.0,2.0
38713,0,,,,
38714,0,3.0,4.0,2.0,1.0
38715,1,3.0,,,
38716,0,1.0,3.0,,
38717,4,1.0,,,
38718,0,3.0,1.0,4.0,2.0
38719,3,4.0,,,
38720,1,2.0,0.0,3.0,
38722,1,0.0,,,
38723,0,,,,
38724,4,1.0,0.0,3.0,2.0
38725,4,1.0,0.0,3.0,2.0
38726,4,1.0,0.0,3.0,2.0
38727,1,,,,
38980,0,,,,
38981,0,1.0,3.0,2.0,4.0
38982,1,0.0,,,
38983,1,0.0,3.0,,
38984,0,3.0,1.0,2.0,4.0
38985,1,0.0,3.0,,
38986,0,1.0,3.0,2.0,4.0
38987,0,1.0,,,
38988,0,,,,
38989,0,1.0,4.0,2.0,3.0
38990,0,1.0,3.0,,
38991,0,3.0,,,
38993,0,2.0,1.0,,
38994,1,,,,
38995,1,0.0,,,
39731,0,3.0,1.0,2.0,4.0
39732,1,0.0,,,
39733,3,0.0,,,
40753,0,,,,
40754,0,,,,
40755,0,4.0,1.0,3.0,2.0
40756,2,3.0,0.0,,
40757,3,,,,
40758,3,0.0,2.0,1.0,
40759,0,2.0,3.0,1.0,4.0
40760,1,,,,
40761,0,1.0,4.0,3.0,2.0
40762,0,1.0,3.0,2.0,4.0
40763,3,,,,
40764,4,1.0,0.0,3.0,2.0
40765,4,3.0,1.0,2.0,0.0
43124,0,,,,
43125,0,,,,
43126,0,1.0,3.0,,
43127,0,,,,
43128,0,,,,
43129,0,1.0,,,
43130,0,1.0,3.0,2.0,4.0
43131,0,,,,
43132,1,3.0,4.0,0.0,2.0
43133,0,3.0,1.0,2.0,4.0
43134,0,,,,
43135,0,3.0,1.0,2.0,4.0
43136,0,1.0,,,
43137,0,1.0,2.0,,
43138,0,,,,
43139,3,0.0,,,
43140,4,0.0,,,
43141,0,3.0,1.0,4.0,2.0
43142,0,,,,
43143,1,0.0,3.0,4.0,
44325,1,0.0,3.0,2.0,4.0
44326,3,1.0,,,
44327,0,1.0,3.0,,
44328,1,0.0,3.0,,
44329,0,,,,
44330,0,,,,
44331,0,3.0,2.0,1.0,4.0
44332,4,3.0,1.0,0.0,2.0
44333,0,3.0,2.0,1.0,4.0
44334,4,,,,
44335,2,3.0,4.0,0.0,1.0
47561,0,3.0,1.0,2.0,4.0
47563,1,0.0,,,
48513,0,3.0,1.0,2.0,
48514,0,1.0,3.0,,
48515,3,0.0,2.0,1.0,4.0
48516,0,3.0,4.0,2.0,1.0
48517,0,,,,
48518,0,,,,
48519,0,,,,
48520,0,3.0,,,
49856,1,0.0,,,
