,0,1,2,3,4,5
1,Write-In cells: 195,,,,,
2,Overvote cells: 106,,,,,
3,John J. Ciafone: 0,,,,,
4,Tiffany Caban: 1,,,,,
5,Leonardo T. Bullaro: 2,,,,,
6,Catherina Gioino: 3,,,,,
7,Evie Hantzopoulos: 4,,,,,
8,Nick Velkov: 5,,,,,
129454,0,,,,,
129455,1,,,,,
129456,2,3.0,,,,
129457,1,0.0,,,,
129458,4,0.0,,,,
129459,1,4.0,,,,
129460,2,0.0,1.0,4.0,,
129461,4,,,,,
129462,0,,,,,
129463,2,4.0,3.0,5.0,,
129464,4,2.0,3.0,5.0,,
129465,4,2.0,3.0,5.0,,
129466,1,4.0,3.0,2.0,5.0,
129467,2,3.0,,,,
129468,1,,,,,
129469,1,4.0,3.0,2.0,,
129470,1,4.0,,,,
129471,1,4.0,5.0,,,
129472,1,4.0,3.0,2.0,5.0,
129473,1,,,,,
129481,1,4.0,,,,
129482,4,1.0,2.0,,,
129483,1,4.0,2.0,3.0,0.0,
129484,4,1.0,5.0,,,
129485,1,4.0,2.0,3.0,0.0,
129486,1,4.0,3.0,,,
129487,1,4.0,,,,
129488,5,0.0,2.0,,,
129489,1,4.0,,,,
129490,1,4.0,2.0,3.0,5.0,
129491,1,4.0,2.0,3.0,5.0,
129518,1,4.0,,,,
129542,2,4.0,3.0,5.0,,
129543,4,1.0,5.0,3.0,0.0,
129544,1,0.0,4.0,,,
129545,3,4.0,1.0,5.0,,
129546,1,3.0,,,,
129547,3,5.0,4.0,1.0,2.0,
129548,2,0.0,,,,
129549,0,,,,,
129550,1,,,,,
129551,1,,,,,
129552,2,1.0,4.0,,,
129562,4,1.0,0.0,5.0,3.0,
129563,1,0.0,4.0,5.0,3.0,
129564,1,4.0,,,,
129565,1,4.0,,,,
129566,1,4.0,3.0,5.0,,
129567,0,,,,,
129568,0,5.0,2.0,3.0,,
129570,0,,,,,
129573,0,1.0,,,,
129574,1,5.0,3.0,4.0,0.0,
129575,1,4.0,3.0,,,
129576,1,0.0,,,,
129577,1,3.0,0.0,4.0,2.0,
129578,1,3.0,4.0,2.0,,
129579,0,1.0,,,,
129580,1,,,,,
129581,1,,,,,
129582,0,3.0,4.0,,,
129583,0,3.0,4.0,,,
129584,1,3.0,4.0,2.0,,
129585,4,1.0,2.0,3.0,5.0,
129586,1,5.0,,,,
129587,1,4.0,,,,
129588,1,4.0,,,,
129589,4,0.0,2.0,,,
129590,2,0.0,3.0,,,
129591,1,4.0,5.0,3.0,2.0,
129592,1,4.0,2.0,3.0,5.0,
129593,5,3.0,1.0,0.0,4.0,
129594,1,3.0,0.0,4.0,,
129607,1,2.0,3.0,4.0,5.0,
129608,1,4.0,2.0,3.0,5.0,
129609,1,4.0,3.0,5.0,2.0,
129610,1,4.0,5.0,,,
129611,1,4.0,,,,
129612,3,5.0,,,,
129613,2,0.0,3.0,,,
129614,4,3.0,0.0,1.0,,
129615,2,0.0,3.0,,,
129616,3,1.0,,,,
129617,1,4.0,3.0,2.0,5.0,
129631,1,4.0,3.0,,,
129632,1,4.0,2.0,3.0,5.0,
129633,1,4.0,,,,
129634,3,1.0,2.0,5.0,4.0,
129638,4,0.0,1.0,5.0,2.0,
