,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Write-In cells: 137,,,,,,,,,,,,,,
2,Overvote cells: 256,,,,,,,,,,,,,,
3,Steven B. Raga: 0,,,,,,,,,,,,,,
4,Ebony R. Young: 1,,,,,,,,,,,,,,
5,Julie Won: 2,,,,,,,,,,,,,,
6,Denise M. Keehan-Smith: 3,,,,,,,,,,,,,,
7,Badrun Khan: 4,,,,,,,,,,,,,,
8,Glennis E. Gomez: 5,,,,,,,,,,,,,,
9,Brent O'Leary: 6,,,,,,,,,,,,,,
10,Emily E. Sharpe: 7,,,,,,,,,,,,,,
11,Julia L. Forman: 8,,,,,,,,,,,,,,
12,Amit S. Bagga: 9,,,,,,,,,,,,,,
13,Sultan Al Maruf: 10,,,,,,,,,,,,,,
14,Hailie Kim: 11,,,,,,,,,,,,,,
15,Jesse Laymon: 12,,,,,,,,,,,,,,
16,Jonathan Bailey: 13,,,,,,,,,,,,,,
17,Lorenzo Brea: 14,,,,,,,,,,,,,,
3105,0,1.0,2.0,,,,,,,,,,,,
3107,0,1.0,2.0,,,,,,,,,,,,
3109,0,3.0,,,,,,,,,,,,,
3112,3,4.0,2.0,1.0,5.0,,,,,,,,,,
3114,3,4.0,2.0,1.0,5.0,,,,,,,,,,
3117,0,6.0,7.0,8.0,,,,,,,,,,,
3118,4,9.0,10.0,11.0,2.0,,,,,,,,,,
3120,2,11.0,8.0,9.0,6.0,,,,,,,,,,
3123,11,2.0,0.0,12.0,1.0,,,,,,,,,,
3125,11,7.0,8.0,13.0,10.0,,,,,,,,,,
3127,9,12.0,13.0,11.0,1.0,,,,,,,,,,
3129,2,11.0,1.0,12.0,,,,,,,,,,,
3130,6,4.0,0.0,9.0,2.0,,,,,,,,,,
3133,3,7.0,1.0,4.0,0.0,,,,,,,,,,
3134,5,14.0,9.0,13.0,0.0,,,,,,,,,,
3137,5,14.0,13.0,0.0,11.0,,,,,,,,,,
3139,13,8.0,12.0,,,,,,,,,,,,
3140,11,2.0,1.0,,,,,,,,,,,,
3143,11,2.0,3.0,,,,,,,,,,,,
3145,9,11.0,1.0,8.0,4.0,,,,,,,,,,
3147,0,2.0,4.0,6.0,12.0,,,,,,,,,,
3149,11,2.0,6.0,4.0,,,,,,,,,,,
3151,8,,,,,,,,,,,,,,
3155,10,8.0,4.0,2.0,9.0,,,,,,,,,,
3156,0,6.0,5.0,,,,,,,,,,,,
3159,0,14.0,,,,,,,,,,,,,
3161,0,5.0,2.0,1.0,11.0,,,,,,,,,,
3163,2,,,,,,,,,,,,,,
3164,5,12.0,11.0,2.0,,,,,,,,,,,
3166,0,9.0,11.0,2.0,7.0,,,,,,,,,,
3168,0,2.0,11.0,8.0,12.0,,,,,,,,,,
3170,2,0.0,,,,,,,,,,,,,
3173,12,8.0,11.0,3.0,13.0,,,,,,,,,,
3176,8,9.0,12.0,1.0,7.0,,,,,,,,,,
3178,6,11.0,4.0,,,,,,,,,,,,
3179,2,9.0,6.0,14.0,11.0,,,,,,,,,,
3182,2,9.0,6.0,14.0,11.0,,,,,,,,,,
3183,3,,,,,,,,,,,,,,
3186,12,8.0,,,,,,,,,,,,,
3187,6,12.0,11.0,3.0,,,,,,,,,,,
5653,4,9.0,10.0,11.0,2.0,,,,,,,,,,
5655,3,6.0,8.0,7.0,,,,,,,,,,,
5656,2,13.0,8.0,11.0,7.0,,,,,,,,,,
5658,11,2.0,13.0,8.0,,,,,,,,,,,
5660,10,4.0,9.0,0.0,2.0,,,,,,,,,,
5662,8,1.0,7.0,3.0,9.0,,,,,,,,,,
6643,3,5.0,2.0,8.0,1.0,,,,,,,,,,
11238,2,11.0,,,,,,,,,,,,,
11240,2,6.0,7.0,12.0,9.0,,,,,,,,,,
11242,2,11.0,,,,,,,,,,,,,
11244,2,11.0,,,,,,,,,,,,,
11246,2,11.0,1.0,10.0,8.0,,,,,,,,,,
11248,6,0.0,9.0,3.0,4.0,,,,,,,,,,
11249,5,0.0,14.0,2.0,1.0,,,,,,,,,,
11251,5,0.0,14.0,2.0,1.0,,,,,,,,,,
11254,8,14.0,5.0,3.0,11.0,,,,,,,,,,
11262,3,6.0,1.0,,,,,,,,,,,,
11264,5,8.0,7.0,3.0,12.0,,,,,,,,,,
11266,12,7.0,5.0,3.0,,,,,,,,,,,
11268,3,6.0,1.0,,,,,,,,,,,,
11270,0,9.0,2.0,8.0,7.0,,,,,,,,,,
11272,0,9.0,2.0,8.0,7.0,,,,,,,,,,
11274,2,12.0,7.0,9.0,11.0,,,,,,,,,,
11276,4,,,,,,,,,,,,,,
11278,2,11.0,5.0,1.0,9.0,,,,,,,,,,
11280,2,11.0,1.0,5.0,9.0,,,,,,,,,,
11281,4,10.0,9.0,11.0,,,,,,,,,,,
11284,2,9.0,11.0,12.0,6.0,,,,,,,,,,
11286,3,2.0,8.0,10.0,7.0,,,,,,,,,,
11287,2,9.0,11.0,12.0,6.0,,,,,,,,,,
11289,11,,,,,,,,,,,,,,
11292,12,13.0,9.0,11.0,2.0,,,,,,,,,,
11293,11,,,,,,,,,,,,,,
11296,13,2.0,0.0,4.0,10.0,,,,,,,,,,
11299,2,11.0,7.0,8.0,4.0,,,,,,,,,,
11300,7,9.0,2.0,,,,,,,,,,,,
11302,9,,,,,,,,,,,,,,
11304,9,2.0,,,,,,,,,,,,,
11306,3,6.0,13.0,7.0,1.0,,,,,,,,,,
11308,8,10.0,12.0,9.0,4.0,,,,,,,,,,
11310,3,,,,,,,,,,,,,,
11312,9,8.0,2.0,11.0,6.0,,,,,,,,,,
11314,13,7.0,,,,,,,,,,,,,
11316,3,,,,,,,,,,,,,,
11318,2,11.0,1.0,4.0,5.0,,,,,,,,,,
11320,12,8.0,2.0,13.0,11.0,,,,,,,,,,
11322,12,8.0,13.0,11.0,2.0,,,,,,,,,,
11324,9,2.0,13.0,12.0,6.0,,,,,,,,,,
11326,9,3.0,,,,,,,,,,,,,
11328,9,3.0,,,,,,,,,,,,,
11330,3,9.0,,,,,,,,,,,,,
11332,2,9.0,13.0,10.0,3.0,,,,,,,,,,
11334,9,12.0,6.0,11.0,2.0,,,,,,,,,,
11336,9,12.0,6.0,11.0,2.0,,,,,,,,,,
11338,2,11.0,1.0,,,,,,,,,,,,
11340,2,11.0,1.0,8.0,7.0,,,,,,,,,,
11342,4,10.0,,,,,,,,,,,,,
11344,4,10.0,,,,,,,,,,,,,
11345,7,8.0,2.0,11.0,12.0,,,,,,,,,,
11347,9,6.0,4.0,13.0,10.0,,,,,,,,,,
11349,9,12.0,6.0,11.0,2.0,,,,,,,,,,
11351,9,12.0,6.0,11.0,2.0,,,,,,,,,,
11353,1,7.0,11.0,2.0,,,,,,,,,,,
12221,5,3.0,12.0,1.0,,,,,,,,,,,
12222,2,,,,,,,,,,,,,,
12223,2,13.0,9.0,8.0,12.0,,,,,,,,,,
12224,8,3.0,,,,,,,,,,,,,
12225,2,9.0,0.0,8.0,6.0,,,,,,,,,,
12226,11,2.0,4.0,,,,,,,,,,,,
12227,2,5.0,6.0,9.0,0.0,,,,,,,,,,
12228,2,3.0,6.0,12.0,9.0,,,,,,,,,,
12229,2,,,,,,,,,,,,,,
12230,4,1.0,12.0,6.0,,,,,,,,,,,
12231,8,4.0,5.0,11.0,,,,,,,,,,,
12232,5,4.0,0.0,1.0,10.0,,,,,,,,,,
12233,9,2.0,0.0,6.0,5.0,,,,,,,,,,
12234,8,3.0,6.0,9.0,0.0,,,,,,,,,,
12235,6,,,,,,,,,,,,,,
12236,2,8.0,4.0,0.0,1.0,,,,,,,,,,
12237,8,7.0,3.0,2.0,14.0,,,,,,,,,,
12238,9,2.0,11.0,7.0,8.0,,,,,,,,,,
12239,8,1.0,7.0,3.0,6.0,,,,,,,,,,
12240,0,3.0,7.0,8.0,6.0,,,,,,,,,,
12241,11,3.0,9.0,1.0,8.0,,,,,,,,,,
12242,12,13.0,9.0,,,,,,,,,,,,
12243,9,2.0,6.0,,,,,,,,,,,,
12244,3,,,,,,,,,,,,,,
12245,8,12.0,,,,,,,,,,,,,
12247,6,7.0,2.0,11.0,,,,,,,,,,,
15292,5,3.0,,,,,,,,,,,,,
15293,12,8.0,11.0,4.0,6.0,,,,,,,,,,
15294,3,,,,,,,,,,,,,,
15296,12,6.0,11.0,13.0,,,,,,,,,,,
