,0,1,2
1,Write-In cells: 526,,
2,Overvote cells: 96,,
3,Nancy J. Martinez: 0,,
4,Selvena N. Brooks-Powers: 1,,
5,Nicole S. Lee: 2,,
395,0,,
396,1,0.0,2.0
397,1,2.0,0.0
398,0,1.0,2.0
399,1,,
400,1,,
427,1,0.0,2.0
428,1,,
429,1,,
430,1,2.0,0.0
431,1,,
432,1,,
433,1,0.0,2.0
434,1,,
436,1,0.0,2.0
437,1,,
438,1,,
439,1,0.0,2.0
440,1,2.0,0.0
441,1,,
442,1,2.0,0.0
443,1,,
444,1,,
445,1,,
446,1,2.0,0.0
447,1,,
449,1,0.0,2.0
450,1,0.0,2.0
451,1,,
452,1,2.0,0.0
453,0,,
454,1,2.0,0.0
461,1,,
462,1,,
467,1,,
468,1,0.0,2.0
469,1,0.0,
473,1,0.0,2.0
475,0,2.0,1.0
477,1,,
479,1,,
481,0,1.0,2.0
485,1,2.0,0.0
487,1,,
489,2,0.0,1.0
493,2,0.0,1.0
495,1,,
497,1,0.0,2.0
499,1,0.0,2.0
501,1,0.0,2.0
503,1,0.0,2.0
505,1,,
507,1,2.0,0.0
509,1,2.0,0.0
511,1,2.0,
513,1,,
515,0,2.0,1.0
519,1,,
521,2,,
523,1,2.0,0.0
525,1,0.0,
527,1,,
529,0,,
535,1,,
537,1,,
539,0,2.0,1.0
540,0,,
543,1,,
545,1,0.0,2.0
547,1,0.0,
549,2,1.0,
551,1,0.0,2.0
553,1,0.0,2.0
555,0,2.0,
557,1,,
559,2,0.0,1.0
561,1,2.0,0.0
565,0,2.0,1.0
567,1,0.0,2.0
568,1,0.0,2.0
570,2,1.0,0.0
574,1,,
576,1,,
578,2,1.0,0.0
580,1,2.0,0.0
582,1,2.0,0.0
584,1,,
586,1,0.0,2.0
588,1,0.0,2.0
590,0,1.0,
592,0,2.0,1.0
594,2,1.0,0.0
596,1,0.0,2.0
598,0,2.0,1.0
600,1,0.0,2.0
604,1,2.0,0.0
606,1,0.0,2.0
608,1,2.0,0.0
610,1,2.0,0.0
612,1,,
614,1,0.0,2.0
616,1,0.0,2.0
5971,2,,
5973,0,1.0,2.0
5977,1,2.0,0.0
5979,1,,
5981,1,,
5985,1,,
5987,2,,
5989,2,0.0,1.0
5991,2,0.0,1.0
5993,1,2.0,0.0
5995,2,,
5997,1,2.0,0.0
5999,0,1.0,2.0
6001,2,1.0,0.0
6003,1,,
6005,1,,
6007,1,2.0,0.0
6009,2,1.0,0.0
6011,0,2.0,1.0
6013,1,,
6015,1,,
6017,0,,
6019,0,,
6021,1,0.0,2.0
6023,0,1.0,2.0
6025,0,1.0,2.0
6027,0,1.0,
6029,0,1.0,2.0
6031,1,,
6033,1,0.0,2.0
6035,2,,
6037,1,,
6039,1,0.0,2.0
6041,1,2.0,0.0
6043,1,,
6045,1,,
6047,1,,
6049,1,,
6051,1,0.0,2.0
6053,1,0.0,2.0
