,0,1,2,3,4,5,6
1,Write-In cells: 399,,,,,,
2,Overvote cells: 252,,,,,,
3,Renee T. Collymore: 0,,,,,,
4,Curtis M. Harris: 1,,,,,,
5,Michael Hollingsworth: 2,,,,,,
6,Deirdre M. Levy: 3,,,,,,
7,Crystal Hudson: 4,,,,,,
8,Hector Robertson: 5,,,,,,
9,Regina A. Kinsey: 6,,,,,,
1351,0,1.0,2.0,,,,
1352,3,,,,,,
1353,4,5.0,0.0,1.0,,,
1354,4,5.0,0.0,1.0,,,
1355,2,3.0,1.0,6.0,4.0,,
1356,4,5.0,0.0,1.0,,,
1357,4,0.0,1.0,,,,
1358,4,5.0,1.0,0.0,,,
1359,4,5.0,0.0,1.0,,,
1360,4,5.0,0.0,1.0,,,
1361,4,5.0,0.0,1.0,,,
1362,4,5.0,0.0,1.0,,,
1363,4,5.0,0.0,1.0,,,
2306,4,5.0,0.0,1.0,,,
2307,4,5.0,0.0,1.0,,,
2308,3,1.0,2.0,6.0,,,
2309,4,3.0,,,,,
2310,0,1.0,,,,,
2311,4,,,,,,
2312,4,5.0,0.0,1.0,,,
2313,2,4.0,5.0,3.0,,,
2314,4,5.0,0.0,1.0,,,
2315,4,5.0,0.0,1.0,,,
2316,1,0.0,3.0,2.0,5.0,,
2317,1,3.0,6.0,4.0,5.0,,
2318,0,3.0,4.0,5.0,1.0,,
2319,4,0.0,2.0,1.0,,,
2320,4,5.0,0.0,1.0,,,
2401,3,2.0,6.0,5.0,0.0,,
2402,4,6.0,1.0,5.0,0.0,,
2403,3,,,,,,
2404,4,,,,,,
2405,1,4.0,0.0,6.0,3.0,,
2406,2,5.0,4.0,6.0,,,
2407,4,6.0,0.0,3.0,2.0,,
2408,4,5.0,0.0,1.0,,,
2409,4,5.0,0.0,1.0,,,
2410,2,4.0,5.0,0.0,1.0,,
2411,4,5.0,0.0,1.0,,,
2412,2,4.0,3.0,1.0,0.0,,
2413,4,,,,,,
2414,4,2.0,5.0,1.0,3.0,,
2415,1,2.0,4.0,5.0,0.0,,
2670,3,6.0,1.0,,,,
2672,0,2.0,5.0,1.0,3.0,,
2673,4,,,,,,
2675,2,,,,,,
2676,6,5.0,,,,,
2677,4,2.0,,,,,
2679,4,2.0,1.0,0.0,,,
2680,4,0.0,6.0,3.0,2.0,,
2681,6,3.0,1.0,,,,
2682,0,6.0,5.0,3.0,2.0,,
2684,0,2.0,5.0,,,,
2685,4,1.0,0.0,2.0,3.0,,
2686,4,2.0,,,,,
2688,4,2.0,,,,,
2689,4,,,,,,
2690,0,,,,,,
2691,2,0.0,4.0,,,,
2692,4,,,,,,
2693,4,0.0,,,,,
2694,3,6.0,,,,,
2695,4,,,,,,
2696,4,,,,,,
2697,4,2.0,0.0,,,,
2698,0,1.0,4.0,6.0,2.0,,
2699,6,4.0,2.0,,,,
2700,4,2.0,,,,,
2701,4,1.0,,,,,
2702,4,2.0,,,,,
2703,2,,,,,,
2704,4,3.0,0.0,1.0,,,
2705,2,,,,,,
2706,2,4.0,1.0,5.0,0.0,,
2707,4,,,,,,
2709,4,2.0,,,,,
2710,4,2.0,,,,,
2711,4,,,,,,
2712,2,,,,,,
2713,4,2.0,,,,,
3216,2,,,,,,
3217,4,,,,,,
3218,2,4.0,1.0,,,,
3219,2,4.0,1.0,6.0,5.0,,
3220,0,2.0,5.0,1.0,,,
3221,5,2.0,,,,,
3222,2,4.0,3.0,6.0,1.0,,
3223,4,,,,,,
3224,2,4.0,3.0,6.0,1.0,,
3225,2,,,,,,
3227,3,,,,,,
3228,3,6.0,0.0,4.0,2.0,,
3229,1,5.0,0.0,4.0,2.0,,
3230,4,0.0,1.0,3.0,5.0,,
3231,1,5.0,0.0,2.0,4.0,,
3232,0,6.0,3.0,4.0,1.0,,
3233,4,0.0,2.0,3.0,5.0,,
3413,4,1.0,0.0,6.0,,,
3414,2,4.0,1.0,5.0,0.0,,
3415,4,5.0,0.0,1.0,,,
3416,4,6.0,3.0,0.0,,,
3417,4,5.0,6.0,1.0,2.0,,
3418,4,5.0,0.0,1.0,,,
3419,2,,,,,,
3420,0,1.0,,,,,
3421,6,4.0,3.0,0.0,,,
3422,4,1.0,0.0,5.0,6.0,,
3423,4,5.0,0.0,1.0,,,
3425,0,1.0,,,,,
3426,0,4.0,2.0,1.0,5.0,,
3427,2,,,,,,
3428,6,4.0,5.0,0.0,1.0,,
3429,4,5.0,0.0,1.0,,,
4307,6,2.0,4.0,0.0,,,
5458,4,6.0,3.0,5.0,,,
5459,4,,,,,,
5460,4,6.0,1.0,0.0,5.0,,
5461,4,3.0,1.0,6.0,5.0,,
5462,1,2.0,3.0,4.0,5.0,,
5463,1,5.0,2.0,0.0,4.0,,
5495,6,4.0,0.0,2.0,,,
5927,4,0.0,1.0,,,,
5928,4,5.0,0.0,1.0,,,
5929,2,0.0,1.0,,,,
5930,1,,,,,,
5931,1,,,,,,
5932,3,0.0,6.0,,,,
5933,4,5.0,0.0,1.0,,,
5934,1,2.0,6.0,4.0,5.0,,
5935,1,4.0,3.0,,,,
5936,4,0.0,1.0,,,,
5937,4,2.0,,,,,
5938,2,4.0,1.0,0.0,,,
5939,4,5.0,0.0,,,,
5940,4,5.0,1.0,,,,
5941,4,5.0,0.0,1.0,,,
5942,4,2.0,,,,,
5943,1,6.0,5.0,4.0,2.0,,
5944,4,5.0,0.0,,,,
5945,4,5.0,0.0,1.0,,,
5946,1,,,,,,
5947,4,1.0,2.0,5.0,6.0,,
5948,1,2.0,6.0,4.0,5.0,,
5949,0,2.0,3.0,4.0,5.0,,
5950,1,2.0,6.0,4.0,5.0,,
5951,4,,,,,,
5954,4,2.0,,,,,
5955,4,2.0,0.0,3.0,5.0,,
5956,2,,,,,,
5958,0,2.0,1.0,3.0,5.0,,
5959,0,1.0,2.0,6.0,5.0,,
5960,4,5.0,0.0,1.0,,,
5961,2,0.0,,,,,
5975,2,4.0,,,,,
5976,2,3.0,0.0,1.0,4.0,,
5977,4,2.0,,,,,
5978,4,2.0,0.0,1.0,6.0,,
5979,2,4.0,5.0,,,,
5980,2,4.0,5.0,,,,
5981,2,4.0,5.0,,,,
5983,4,0.0,5.0,,,,
5984,4,,,,,,
5986,2,,,,,,
5987,4,,,,,,
5988,2,,,,,,
6176,4,0.0,2.0,1.0,5.0,,
6177,4,1.0,2.0,6.0,,,
6178,0,4.0,2.0,1.0,3.0,,
6179,4,2.0,1.0,5.0,6.0,,
6180,2,,,,,,
6181,6,0.0,4.0,2.0,1.0,,
6182,0,4.0,2.0,1.0,3.0,,
6183,2,4.0,5.0,1.0,3.0,,
6184,4,,,,,,
6185,4,2.0,0.0,,,,
6186,0,2.0,3.0,1.0,6.0,,
6187,2,,,,,,
6188,2,4.0,1.0,0.0,5.0,,
6189,0,2.0,1.0,4.0,6.0,,
6190,1,2.0,6.0,4.0,5.0,,
6191,0,5.0,4.0,6.0,2.0,,
6192,4,5.0,1.0,0.0,3.0,,
6193,2,0.0,3.0,6.0,5.0,,
6194,0,6.0,4.0,5.0,1.0,,
6195,2,0.0,3.0,,,,
6196,5,4.0,,,,,
6197,0,4.0,2.0,,,,
6198,2,4.0,,,,,
6199,4,,,,,,
6200,4,,,,,,
6201,0,6.0,2.0,3.0,4.0,,
6202,0,6.0,3.0,2.0,5.0,,
6203,4,5.0,0.0,1.0,,,
6204,4,5.0,0.0,1.0,,,
6205,4,5.0,0.0,1.0,,,
6206,4,5.0,0.0,1.0,,,
6207,4,5.0,0.0,1.0,,,
6208,4,5.0,0.0,1.0,,,
6210,4,5.0,0.0,1.0,,,
6214,1,6.0,0.0,4.0,2.0,,
6215,4,2.0,0.0,,,,
6216,2,1.0,3.0,0.0,,,
6218,2,4.0,,,,,
6219,2,4.0,1.0,,,,
6221,0,2.0,6.0,5.0,,,
6222,2,4.0,,,,,
6223,0,,,,,,
6224,4,5.0,0.0,1.0,,,
6225,0,6.0,1.0,2.0,5.0,,
6226,2,4.0,0.0,,,,
6228,0,4.0,6.0,2.0,3.0,,
6229,6,1.0,4.0,3.0,5.0,,
6230,4,0.0,3.0,6.0,1.0,,
6231,4,,,,,,
6232,4,1.0,,,,,
6233,4,1.0,,,,,
6234,3,,,,,,
6235,2,0.0,6.0,5.0,1.0,,
6236,2,,,,,,
6237,0,1.0,,,,,
6238,4,1.0,,,,,
6239,2,0.0,4.0,,,,
6240,3,,,,,,
6241,2,4.0,0.0,,,,
6311,2,4.0,,,,,
6312,4,3.0,0.0,6.0,1.0,,
