,0,1,2,3,4
1,Write-In cells: 501,,,,
2,Overvote cells: 194,,,,
3,Tahirah A. Moore: 0,,,,
4,Henry L. Butler: 1,,,,
5,Robert Waterman: 2,,,,
6,Reginald Swiney: 3,,,,
7,Chi A. Osse: 4,,,,
575,0,1.0,2.0,3.0,4.0
576,1,,,,
577,4,,,,
578,1,0.0,2.0,3.0,4.0
579,4,0.0,,,
582,1,3.0,4.0,0.0,2.0
583,4,2.0,,,
584,2,1.0,,,
585,0,3.0,,,
586,4,,,,
755,1,0.0,,,
758,0,3.0,,,
759,2,1.0,0.0,3.0,4.0
760,4,2.0,0.0,,
762,1,0.0,4.0,2.0,
763,4,,,,
764,4,1.0,0.0,2.0,3.0
765,4,0.0,2.0,,
766,0,,,,
767,4,0.0,,,
768,4,0.0,,,
769,4,1.0,0.0,2.0,3.0
770,1,4.0,0.0,3.0,2.0
771,0,2.0,4.0,1.0,
772,1,0.0,2.0,,
773,4,0.0,2.0,,
774,4,0.0,,,
775,2,,,,
776,4,0.0,2.0,,
777,4,2.0,0.0,,
778,1,,,,
779,1,0.0,4.0,,
780,1,0.0,2.0,3.0,4.0
1662,1,4.0,2.0,3.0,0.0
1663,3,1.0,4.0,0.0,2.0
1664,0,4.0,3.0,1.0,2.0
1665,4,1.0,2.0,0.0,
1666,4,0.0,1.0,,
1667,1,0.0,2.0,4.0,
1668,4,0.0,2.0,,
3772,2,1.0,3.0,0.0,4.0
3773,1,0.0,2.0,,
3774,2,0.0,1.0,,
3775,3,,,,
3777,4,,,,
3778,1,,,,
3779,4,0.0,,,
3780,1,,,,
3781,0,,,,
3782,4,0.0,,,
3783,4,,,,
3784,1,3.0,0.0,,
3785,4,0.0,,,
3786,2,1.0,,,
3787,1,4.0,0.0,3.0,2.0
3788,1,,,,
3789,4,0.0,2.0,,
3790,2,0.0,,,
3791,1,,,,
3792,1,0.0,,,
4045,3,0.0,1.0,4.0,2.0
4046,4,0.0,,,
4047,2,1.0,,,
4049,4,2.0,1.0,,
4050,4,,,,
4051,4,1.0,,,
4053,2,4.0,0.0,3.0,1.0
4054,1,2.0,3.0,0.0,4.0
4055,2,1.0,,,
4056,1,2.0,4.0,,
4057,1,,,,
4058,1,,,,
4059,4,0.0,2.0,1.0,3.0
4060,0,2.0,4.0,3.0,1.0
4061,0,,,,
4062,0,,,,
4063,4,0.0,2.0,1.0,3.0
4066,4,0.0,2.0,1.0,
4067,1,0.0,2.0,3.0,
4068,4,,,,
4070,4,,,,
4072,4,0.0,,,
4073,1,4.0,0.0,2.0,3.0
