,0,1,2,3,4,5
1,Write-In cells: 167,,,,,
2,Overvote cells: 89,,,,,
3,Alexa Aviles: 0,,,,,
4,Cesar Zuniga: 1,,,,,
5,Yu Lin: 2,,,,,
6,Rodrigo G. Camarena: 3,,,,,
7,Jacqui Painter: 4,,,,,
8,Victor Swinton: 5,,,,,
377,0,1.0,,,,
378,2,,,,,
379,2,,,,,
380,2,,,,,
381,0,3.0,,,,
382,0,1.0,4.0,3.0,2.0,
383,2,,,,,
384,0,3.0,,,,
385,2,4.0,3.0,0.0,,
386,2,0.0,4.0,1.0,3.0,
387,2,0.0,3.0,4.0,,
388,2,,,,,
389,3,1.0,,,,
390,4,0.0,,,,
391,2,5.0,4.0,0.0,3.0,
392,2,0.0,4.0,1.0,3.0,
393,2,,,,,
394,2,3.0,1.0,4.0,5.0,
395,2,,,,,
396,2,0.0,4.0,1.0,3.0,
397,2,0.0,4.0,1.0,3.0,
398,2,1.0,,,,
399,0,,,,,
400,2,3.0,1.0,4.0,5.0,
401,2,,,,,
402,2,0.0,4.0,1.0,3.0,
534,2,,,,,
627,3,,,,,
728,3,1.0,4.0,5.0,0.0,
729,0,4.0,3.0,,,
730,1,4.0,3.0,,,
731,0,4.0,3.0,1.0,,
732,2,1.0,,,,
733,3,,,,,
734,3,0.0,,,,
735,2,,,,,
736,2,,,,,
737,2,,,,,
738,2,,,,,
739,0,3.0,,,,
740,2,,,,,
741,3,1.0,4.0,5.0,,
742,3,1.0,4.0,5.0,0.0,
743,3,1.0,4.0,,,
744,3,1.0,4.0,0.0,5.0,
745,5,,,,,
746,2,,,,,
747,2,,,,,
748,4,0.0,,,,
749,2,,,,,
750,2,4.0,3.0,0.0,,
751,0,1.0,3.0,5.0,,
752,0,3.0,,,,
753,3,1.0,4.0,0.0,5.0,
754,0,4.0,3.0,,,
1696,1,,,,,
1697,2,,,,,
1698,2,0.0,4.0,5.0,1.0,
1699,2,5.0,1.0,0.0,3.0,
1700,2,,,,,
1701,2,,,,,
1702,2,,,,,
1703,0,4.0,3.0,,,
1704,2,1.0,,,,
1705,2,1.0,,,,
1706,2,1.0,,,,
1707,2,1.0,,,,
1708,2,,,,,
1709,2,,,,,
1710,2,,,,,
1711,0,3.0,,,,
1712,0,3.0,,,,
1713,1,3.0,0.0,4.0,2.0,
1714,2,,,,,
1715,2,0.0,3.0,1.0,4.0,
1716,2,,,,,
1717,2,,,,,
1718,2,,,,,
1719,2,,,,,
1720,2,,,,,
1721,2,,,,,
1722,2,,,,,
1723,2,,,,,
1724,2,0.0,5.0,4.0,1.0,
1725,2,,,,,
1726,1,,,,,
1727,2,5.0,0.0,4.0,3.0,
1728,0,2.0,4.0,3.0,5.0,
1729,2,,,,,
1730,2,0.0,1.0,4.0,5.0,
1731,3,1.0,0.0,,,
1824,0,4.0,3.0,1.0,,
1825,0,4.0,3.0,1.0,,
2415,2,,,,,
2416,2,,,,,
2417,0,,,,,
2418,0,,,,,
2419,5,4.0,1.0,2.0,0.0,
2507,2,,,,,
2508,2,,,,,
2509,2,,,,,
2510,2,,,,,
2511,2,,,,,
2512,2,,,,,
2513,2,,,,,
2514,2,,,,,
2515,2,,,,,
2516,2,0.0,1.0,3.0,4.0,
2517,2,1.0,,,,
2518,2,3.0,0.0,4.0,1.0,
2519,2,,,,,
2520,2,1.0,,,,
2521,2,,,,,
2522,2,,,,,
2523,2,,,,,
2524,2,,,,,
2525,2,,,,,
2526,1,2.0,0.0,5.0,,
2527,2,,,,,
2528,2,,,,,
2529,2,,,,,
2530,0,3.0,,,,
2531,2,,,,,
2532,2,,,,,
2533,2,,,,,
2534,2,,,,,
2535,1,4.0,2.0,,,
2536,2,3.0,0.0,1.0,5.0,
2537,2,,,,,
2538,2,,,,,
2539,2,,,,,
2540,2,0.0,4.0,,,
2541,2,,,,,
2542,2,1.0,,,,
2543,2,1.0,,,,
2544,0,,,,,
2545,2,,,,,
2546,5,1.0,3.0,2.0,,
2547,2,1.0,,,,
2548,2,,,,,
2549,2,,,,,
2550,2,,,,,
2551,2,,,,,
2552,2,,,,,
2553,2,,,,,
2554,2,,,,,
2555,2,,,,,
2556,2,,,,,
2557,2,,,,,
2558,2,1.0,0.0,,,
2559,2,,,,,
2560,2,0.0,5.0,,,
2561,2,,,,,
2562,2,,,,,
2563,2,,,,,
2564,2,,,,,
2566,2,1.0,,,,
2567,2,5.0,1.0,4.0,0.0,
2568,2,0.0,,,,
2569,2,,,,,
2570,2,,,,,
2571,2,4.0,,,,
2572,2,,,,,
2573,2,,,,,
2574,2,1.0,,,,
2575,2,,,,,
2576,2,,,,,
2577,2,,,,,
2578,2,,,,,
2579,2,,,,,
2580,2,,,,,
2581,2,,,,,
2582,2,,,,,
2583,2,,,,,
2585,2,,,,,
2586,2,,,,,
2587,2,5.0,,,,
2588,2,,,,,
2589,2,,,,,
2590,2,,,,,
2591,2,,,,,
2592,2,1.0,,,,
2593,2,,,,,
2594,2,5.0,,,,
2595,2,,,,,
2596,2,,,,,
2597,2,,,,,
2598,2,,,,,
2599,2,,,,,
2600,2,,,,,
2853,2,3.0,0.0,4.0,1.0,
2854,2,,,,,
2855,0,3.0,,,,
2856,0,3.0,4.0,,,
2857,2,0.0,1.0,,,
2858,2,,,,,
2859,5,0.0,4.0,,,
2860,2,,,,,
2861,2,,,,,
2862,2,,,,,
2863,2,0.0,3.0,,,
2939,1,2.0,,,,
2940,2,1.0,4.0,,,
2941,3,1.0,0.0,4.0,2.0,
2942,0,3.0,4.0,,,
2943,0,3.0,4.0,,,
2944,4,0.0,,,,
2945,5,,,,,
2946,0,2.0,4.0,3.0,5.0,
2947,0,4.0,3.0,5.0,1.0,
2948,2,0.0,3.0,1.0,5.0,
2949,2,,,,,
3461,2,5.0,1.0,,,
3462,2,,,,,
3463,1,2.0,5.0,,,
3464,2,,,,,
3465,0,,,,,
3466,4,1.0,2.0,3.0,,
3467,2,,,,,
3468,2,,,,,
3469,2,,,,,
3470,0,,,,,
3472,0,,,,,
3473,2,,,,,
3474,2,0.0,1.0,4.0,3.0,
3708,2,,,,,
3709,2,,,,,
3710,2,,,,,
3711,2,5.0,0.0,4.0,3.0,
3712,2,,,,,
3713,2,,,,,
3715,0,4.0,1.0,3.0,,
3716,2,1.0,0.0,,,
3717,2,,,,,
3718,2,,,,,
3719,2,,,,,
3720,2,,,,,
3721,2,,,,,
3722,2,,,,,
3723,2,,,,,
3724,0,2.0,1.0,3.0,,
3725,0,2.0,1.0,3.0,5.0,
3794,2,,,,,
3795,2,1.0,,,,
3796,2,,,,,
3797,2,,,,,
3798,2,5.0,4.0,0.0,3.0,
3799,2,,,,,
3800,2,,,,,
3801,2,,,,,
3802,2,,,,,
3803,2,,,,,
3804,2,1.0,,,,
3805,2,,,,,
3806,2,,,,,
3807,2,0.0,,,,
3808,2,,,,,
3809,2,,,,,
3810,2,,,,,
3811,2,,,,,
3812,2,1.0,,,,
3813,2,,,,,
3814,2,,,,,
3815,2,,,,,
3816,0,3.0,4.0,,,
3817,2,,,,,
3818,2,,,,,
3819,2,,,,,
3820,2,,,,,
3821,2,,,,,
3822,2,1.0,,,,
3823,2,,,,,
3824,2,,,,,
3825,2,,,,,
3826,2,,,,,
3827,2,,,,,
3828,2,,,,,
3829,0,4.0,2.0,1.0,3.0,
3830,2,,,,,
3831,0,3.0,,,,
3832,2,,,,,
3833,2,,,,,
3834,2,3.0,0.0,5.0,1.0,
3835,2,,,,,
3836,2,,,,,
3837,2,1.0,3.0,0.0,,
3838,2,,,,,
3839,2,,,,,
3840,2,,,,,
3841,2,,,,,
3842,1,2.0,5.0,3.0,0.0,
3843,2,,,,,
3844,2,,,,,
3845,2,,,,,
3846,2,,,,,
3847,2,,,,,
3848,2,,,,,
3849,2,,,,,
3850,2,,,,,
3851,2,,,,,
3852,2,,,,,
3853,2,,,,,
3854,2,,,,,
4831,2,,,,,
4832,2,,,,,
4833,2,,,,,
4834,2,,,,,
4835,2,,,,,
4836,0,,,,,
4837,0,,,,,
4838,2,,,,,
4912,2,,,,,
4913,2,,,,,
4914,2,,,,,
4915,2,0.0,3.0,5.0,4.0,
4916,2,,,,,
4917,2,,,,,
