,0,1,2,3
1,Write-In cells: 587,,,
2,Overvote cells: 201,,,
3,Charles Barron: 0,,,
4,Wilfredo Florentino: 1,,,
5,Nikki Lucas: 2,,,
6,Gena M. Watson: 3,,,
11567,0,1.0,2.0,3.0
11568,0,1.0,2.0,3.0
11569,1,2.0,0.0,
11650,0,,,
11651,1,3.0,2.0,0.0
11653,1,3.0,2.0,0.0
11654,0,2.0,,
11655,0,,,
11656,0,,,
11657,2,0.0,,
11885,1,3.0,2.0,0.0
11886,0,3.0,1.0,2.0
11887,2,0.0,1.0,3.0
11888,2,0.0,1.0,3.0
11889,0,,,
11890,0,2.0,1.0,3.0
11891,0,,,
11892,0,1.0,3.0,2.0
11893,3,,,
12116,2,,,
12117,2,,,
12118,2,,,
12119,2,,,
13531,2,,,
14193,2,,,
14194,2,,,
17715,1,2.0,0.0,
17716,1,2.0,0.0,
18800,0,,,
18801,2,,,
18802,3,1.0,2.0,0.0
18803,0,2.0,,
18804,0,2.0,3.0,1.0
18805,0,2.0,1.0,3.0
18807,1,0.0,2.0,3.0
18808,2,,,
18809,2,,,
18810,0,1.0,,
18813,0,1.0,2.0,3.0
18977,0,2.0,3.0,1.0
18978,0,2.0,3.0,1.0
18979,2,1.0,3.0,0.0
18980,0,2.0,3.0,1.0
18981,1,3.0,2.0,0.0
18982,2,0.0,1.0,3.0
18983,2,0.0,3.0,1.0
19738,0,2.0,1.0,3.0
19739,0,2.0,1.0,
19740,0,1.0,2.0,3.0
19741,0,3.0,,
19742,0,3.0,1.0,2.0
19743,1,3.0,2.0,
20985,2,3.0,,
20986,0,3.0,2.0,1.0
20987,0,3.0,1.0,2.0
20988,2,0.0,3.0,1.0
20989,0,,,
21542,2,3.0,1.0,0.0
21543,2,1.0,0.0,3.0
21544,0,,,
21545,2,0.0,1.0,3.0
21546,2,0.0,,
21547,2,0.0,1.0,3.0
21548,2,1.0,3.0,
21549,0,2.0,3.0,1.0
21550,0,2.0,3.0,1.0
21551,0,,,
21552,2,0.0,1.0,
21553,0,,,
21603,0,2.0,3.0,1.0
21604,3,1.0,2.0,0.0
21605,0,3.0,1.0,2.0
21606,3,0.0,1.0,2.0
21607,0,2.0,1.0,3.0
21608,2,,,
21609,3,1.0,2.0,0.0
21610,3,2.0,0.0,1.0
21613,0,3.0,2.0,1.0
21614,2,,,
21615,0,3.0,2.0,1.0
21616,1,3.0,2.0,0.0
21617,0,3.0,1.0,2.0
21849,0,2.0,3.0,1.0
21850,2,0.0,1.0,3.0
21851,0,2.0,3.0,1.0
21852,0,2.0,3.0,1.0
21853,0,,,
21854,0,3.0,2.0,1.0
21855,1,,,
21856,3,0.0,,
21857,0,2.0,3.0,1.0
21858,0,1.0,2.0,3.0
21859,2,0.0,3.0,1.0
21860,2,,,
21861,2,,,
21948,0,,,
22046,2,3.0,1.0,0.0
22048,0,1.0,3.0,2.0
22049,1,2.0,3.0,
22050,2,0.0,1.0,3.0
22051,2,0.0,1.0,3.0
22052,0,1.0,2.0,3.0
22053,0,2.0,,
22054,0,2.0,1.0,
22055,2,1.0,,
22056,2,0.0,,
22058,0,2.0,,
22059,1,,,
22060,1,,,
22061,0,1.0,3.0,
22137,1,3.0,2.0,0.0
22138,0,,,
22139,2,,,
22140,0,,,
22141,0,,,
22142,0,,,
22143,2,3.0,0.0,1.0
22144,2,0.0,1.0,3.0
22145,0,,,
22146,2,,,
22193,0,,,
22194,2,3.0,0.0,1.0
22195,2,0.0,,
22196,2,3.0,1.0,
22197,2,,,
22198,3,1.0,2.0,
22199,0,,,
22200,2,0.0,,
22201,0,,,
22237,0,,,
22238,0,1.0,3.0,2.0
22294,0,2.0,3.0,1.0
22295,0,,,
22296,3,2.0,,
22297,2,,,
22298,0,2.0,,
22299,2,1.0,3.0,
22300,0,,,
22301,2,3.0,1.0,0.0
22302,0,2.0,,
22303,0,2.0,1.0,3.0
22304,2,0.0,3.0,
22305,0,2.0,3.0,1.0
22306,1,2.0,,
22307,0,,,
22308,2,,,
22309,2,1.0,3.0,0.0
22435,2,1.0,3.0,
22436,0,,,
22437,2,1.0,3.0,
22438,2,,,
22439,2,0.0,,
22440,0,2.0,3.0,1.0
22441,2,0.0,1.0,3.0
22442,1,0.0,,
22443,0,1.0,2.0,3.0
22444,2,1.0,3.0,0.0
22445,0,,,
22446,2,3.0,1.0,0.0
22447,0,1.0,,
22448,1,2.0,,
22449,1,0.0,2.0,3.0
22450,0,,,
22451,2,,,
22452,0,3.0,2.0,1.0
22453,2,3.0,0.0,1.0
22454,2,3.0,0.0,1.0
22455,1,2.0,,
22456,0,3.0,1.0,2.0
22457,1,3.0,,
22458,2,1.0,3.0,
22459,0,3.0,2.0,
22460,1,2.0,3.0,0.0
22461,2,3.0,1.0,
22462,3,0.0,1.0,2.0
22622,0,,,
22623,2,3.0,,
22624,2,0.0,,
22625,2,0.0,,
22626,0,,,
22696,2,0.0,,
22697,0,2.0,3.0,1.0
22698,2,1.0,,
22699,3,0.0,2.0,1.0
22700,2,0.0,1.0,3.0
22701,1,2.0,3.0,0.0
22702,0,2.0,,
22703,2,0.0,1.0,3.0
22704,0,2.0,3.0,1.0
22705,2,3.0,0.0,
22706,2,1.0,3.0,0.0
22707,0,2.0,1.0,3.0
22708,2,0.0,,
22709,0,1.0,3.0,2.0
22711,0,3.0,2.0,1.0
22726,2,,,
22727,2,0.0,3.0,1.0
22728,2,,,
22729,0,,,
22730,2,,,
22731,0,,,
22732,2,,,
22733,0,,,
22734,0,,,
22867,2,0.0,1.0,3.0
22870,2,0.0,3.0,1.0
22871,1,2.0,0.0,
22872,0,,,
22874,2,0.0,,
22875,0,2.0,3.0,1.0
22876,2,0.0,1.0,
22879,0,,,
22880,2,1.0,0.0,
22881,2,1.0,0.0,3.0
22882,0,2.0,,
22883,2,1.0,0.0,
22884,2,0.0,3.0,1.0
22885,2,1.0,0.0,
22886,0,1.0,2.0,
22887,3,1.0,0.0,2.0
22888,2,0.0,1.0,3.0
22889,2,,,
22890,0,2.0,,
22891,3,2.0,1.0,0.0
22946,0,2.0,,
22947,3,2.0,0.0,1.0
22948,0,1.0,3.0,2.0
22949,2,3.0,1.0,0.0
22950,3,2.0,0.0,1.0
22951,3,,,
22952,2,1.0,0.0,3.0
22953,0,2.0,,
22954,0,2.0,3.0,1.0
22955,2,,,
22956,0,2.0,,
22957,0,2.0,3.0,1.0
22958,2,1.0,0.0,3.0
22959,0,2.0,,
22960,2,0.0,3.0,1.0
22961,2,1.0,3.0,
22962,2,1.0,3.0,0.0
22963,2,0.0,1.0,
22964,3,2.0,0.0,1.0
22965,2,0.0,3.0,1.0
22966,1,3.0,2.0,0.0
22967,1,2.0,3.0,
22968,0,2.0,,
22969,2,0.0,3.0,1.0
22970,1,2.0,0.0,3.0
22971,2,1.0,,
22972,2,,,
22973,0,2.0,,
22974,0,2.0,,
22975,2,,,
22976,0,,,
22977,1,2.0,3.0,0.0
22978,2,1.0,,
22979,0,,,
22980,2,1.0,,
22981,0,2.0,3.0,1.0
22982,0,,,
22983,0,2.0,1.0,3.0
22984,1,2.0,3.0,0.0
22994,0,1.0,,
22995,2,3.0,1.0,
22996,0,2.0,,
22997,1,0.0,,
22998,1,0.0,,
22999,2,1.0,,
23000,0,,,
23001,0,,,
23002,2,,,
23003,0,,,
23004,0,,,
23005,2,1.0,0.0,3.0
23006,0,2.0,1.0,3.0
23007,2,,,
23008,2,3.0,1.0,0.0
23009,0,2.0,1.0,
23010,2,3.0,1.0,
23011,2,,,
23012,2,1.0,3.0,
23013,0,1.0,2.0,3.0
23014,0,2.0,1.0,
23015,0,,,
23016,2,1.0,0.0,3.0
23017,1,2.0,0.0,
23018,0,1.0,,
23019,2,3.0,1.0,0.0
23020,2,,,
23021,2,0.0,1.0,3.0
23022,2,1.0,0.0,
23023,0,2.0,1.0,
23024,0,2.0,,
23025,0,,,
23026,0,1.0,,
23027,2,1.0,0.0,
23028,2,0.0,3.0,1.0
