,0,1,2,3
1,Write-In cells: 290,,,
2,Overvote cells: 85,,,
3,Alec Brook-Krasny: 0,,,
4,Joseph Packer: 1,,,
5,Ari Kagan: 2,,,
6,Steven D. Patzer: 3,,,
178,0,1.0,2.0,3.0
180,1,,,
181,1,,,
182,3,1.0,2.0,0.0
183,2,3.0,,
184,2,0.0,,
185,2,1.0,3.0,0.0
186,2,,,
187,2,1.0,0.0,3.0
188,3,,,
192,3,1.0,2.0,
193,3,2.0,1.0,
195,3,2.0,0.0,1.0
196,3,,,
197,3,,,
199,3,2.0,1.0,0.0
200,1,2.0,,
201,2,3.0,,
202,3,,,
203,2,,,
204,3,,,
315,3,,,
316,3,,,
317,3,1.0,2.0,0.0
318,3,,,
319,3,,,
321,2,0.0,3.0,1.0
323,1,,,
324,1,3.0,0.0,2.0
325,3,2.0,,
326,2,3.0,1.0,0.0
327,3,,,
328,1,,,
329,3,1.0,0.0,2.0
330,3,2.0,,
331,2,3.0,1.0,0.0
332,0,3.0,2.0,1.0
334,1,2.0,3.0,0.0
335,2,3.0,,
336,2,3.0,1.0,0.0
558,3,2.0,,
559,0,2.0,1.0,3.0
560,2,3.0,0.0,1.0
561,2,0.0,,
562,2,3.0,,
563,2,0.0,,
564,2,0.0,,
565,0,2.0,,
780,3,,,
781,1,0.0,2.0,3.0
782,3,2.0,0.0,1.0
783,3,2.0,,
784,3,,,
786,2,,,
787,1,0.0,2.0,3.0
788,3,2.0,0.0,1.0
789,2,,,
790,3,,,
791,0,1.0,3.0,2.0
792,3,,,
793,0,,,
794,3,1.0,2.0,0.0
795,2,3.0,0.0,1.0
796,3,2.0,0.0,
797,3,0.0,2.0,1.0
799,1,2.0,0.0,
800,2,,,
801,3,0.0,2.0,1.0
802,2,,,
803,2,,,
804,3,0.0,,
848,1,3.0,2.0,0.0
849,2,3.0,,
850,2,3.0,,
851,0,1.0,3.0,
852,2,,,
853,3,2.0,,
854,3,2.0,,
855,3,0.0,2.0,1.0
857,3,2.0,1.0,0.0
858,2,0.0,1.0,3.0
859,3,,,
860,2,0.0,,
861,2,3.0,1.0,
862,2,0.0,,
1087,2,0.0,1.0,3.0
1089,3,1.0,2.0,0.0
1090,2,0.0,1.0,3.0
1091,2,0.0,1.0,3.0
1092,2,0.0,,
1093,3,1.0,2.0,
