,0,1,2,3,4,5,6,7,8
1,Write-In cells: 206,,,,,,,,
2,Overvote cells: 191,,,,,,,,
3,Michael P. Schnall: 0,,,,,,,,
4,Kamillah Hanks: 1,,,,,,,,
5,David Hernandez: 2,,,,,,,,
6,Selina Grey: 3,,,,,,,,
7,Kelvin Richards: 4,,,,,,,,
8,John F. McBeth Sr.: 5,,,,,,,,
9,Troy McGhie: 6,,,,,,,,
10,Amoy Barnes: 7,,,,,,,,
11,Ranti Ogunleye: 8,,,,,,,,
12,0,1.0,2.0,,,,,,
13,2,,,,,,,,
14,3,4.0,,,,,,,
16,2,4.0,5.0,6.0,1.0,,,,
17,6,5.0,1.0,2.0,7.0,,,,
18,6,1.0,4.0,0.0,2.0,,,,
19,2,1.0,3.0,0.0,4.0,,,,
20,8,3.0,7.0,,,,,,
21,7,,,,,,,,
22,1,,,,,,,,
23,3,,,,,,,,
24,2,1.0,3.0,0.0,4.0,,,,
25,4,0.0,5.0,2.0,6.0,,,,
26,7,1.0,6.0,0.0,8.0,,,,
27,3,8.0,,,,,,,
28,1,,,,,,,,
29,3,1.0,0.0,,,,,,
30,1,2.0,0.0,4.0,3.0,,,,
31,3,2.0,5.0,1.0,7.0,,,,
32,7,2.0,,,,,,,
33,2,7.0,,,,,,,
34,5,6.0,2.0,4.0,0.0,,,,
35,0,,,,,,,,
36,0,,,,,,,,
37,4,,,,,,,,
38,3,1.0,,,,,,,
39,6,,,,,,,,
40,7,1.0,4.0,3.0,0.0,,,,
41,3,5.0,2.0,,,,,,
42,3,,,,,,,,
43,1,,,,,,,,
44,1,8.0,6.0,4.0,0.0,,,,
45,2,,,,,,,,
46,1,8.0,,,,,,,
47,8,,,,,,,,
48,5,,,,,,,,
49,1,,,,,,,,
50,7,8.0,1.0,,,,,,
51,0,,,,,,,,
52,8,4.0,0.0,3.0,1.0,,,,
53,0,5.0,2.0,3.0,8.0,,,,
54,6,1.0,,,,,,,
55,7,1.0,3.0,4.0,,,,,
56,3,1.0,7.0,2.0,8.0,,,,
57,1,5.0,8.0,4.0,,,,,
58,3,7.0,1.0,2.0,4.0,,,,
59,8,4.0,3.0,6.0,7.0,,,,
60,0,3.0,6.0,2.0,5.0,,,,
63,1,8.0,5.0,3.0,2.0,,,,
65,7,8.0,1.0,,,,,,
66,1,2.0,3.0,,,,,,
67,7,8.0,1.0,,,,,,
68,1,,,,,,,,
69,1,7.0,,,,,,,
72,1,8.0,,,,,,,
73,3,1.0,,,,,,,
74,1,7.0,8.0,4.0,2.0,,,,
75,8,1.0,3.0,4.0,7.0,,,,
76,7,1.0,2.0,6.0,3.0,,,,
77,1,7.0,4.0,6.0,8.0,,,,
78,2,1.0,3.0,,,,,,
79,1,,,,,,,,
80,2,,,,,,,,
81,1,,,,,,,,
82,1,8.0,3.0,2.0,7.0,,,,
83,1,8.0,,,,,,,
84,3,,,,,,,,
85,1,8.0,4.0,2.0,7.0,,,,
86,6,7.0,1.0,0.0,4.0,,,,
87,4,6.0,5.0,1.0,7.0,,,,
88,3,7.0,8.0,,,,,,
89,6,,,,,,,,
90,1,,,,,,,,
91,2,7.0,1.0,3.0,4.0,,,,
93,7,1.0,3.0,8.0,2.0,,,,
94,2,1.0,4.0,7.0,0.0,,,,
95,7,3.0,1.0,2.0,8.0,,,,
96,2,5.0,0.0,,,,,,
100,0,,,,,,,,
101,1,2.0,7.0,6.0,5.0,,,,
103,6,1.0,4.0,8.0,7.0,,,,
104,8,,,,,,,,
