,0,1,2,3,4,5,6,7,8,9,10,11
1,Write-In cells: 254,,,,,,,,,,,
2,Overvote cells: 231,,,,,,,,,,,
3,Luis Tejada: 0,,,,,,,,,,,
4,Carmen R. Quinones: 1,,,,,,,,,,,
5,Stacy R. Lynch: 2,,,,,,,,,,,
6,Keith L. Harris: 3,,,,,,,,,,,
7,Maria Ordonez: 4,,,,,,,,,,,
8,Daniel M. Cohen: 5,,,,,,,,,,,
9,Raymond Sanchez Jr.: 6,,,,,,,,,,,
10,Miguel Estrella: 7,,,,,,,,,,,
11,Corey Ortega: 8,,,,,,,,,,,
12,Shaun Abreu: 9,,,,,,,,,,,
13,Lena Melendez: 10,,,,,,,,,,,
14,Marti Gould  Allen-Cummings: 11,,,,,,,,,,,
16284,0,,,,,,,,,,,
16285,1,,,,,,,,,,,
16286,2,3.0,4.0,5.0,6.0,,,,,,,
16287,1,,,,,,,,,,,
16289,1,7.0,8.0,,,,,,,,,
16290,2,3.0,5.0,0.0,1.0,,,,,,,
16291,8,7.0,4.0,,,,,,,,,
16292,2,,,,,,,,,,,
16307,9,2.0,,,,,,,,,,
16311,4,5.0,8.0,2.0,9.0,,,,,,,
16312,4,5.0,8.0,2.0,9.0,,,,,,,
16332,9,,,,,,,,,,,
16333,1,5.0,,,,,,,,,,
16334,4,10.0,5.0,2.0,8.0,,,,,,,
16336,10,8.0,4.0,5.0,11.0,,,,,,,
16337,4,11.0,9.0,2.0,0.0,,,,,,,
16338,9,5.0,3.0,2.0,6.0,,,,,,,
16339,2,5.0,,,,,,,,,,
16340,9,3.0,2.0,4.0,8.0,,,,,,,
16341,2,,,,,,,,,,,
16342,4,,,,,,,,,,,
16343,9,4.0,11.0,5.0,6.0,,,,,,,
16344,9,5.0,4.0,,,,,,,,,
16345,9,,,,,,,,,,,
16346,11,,,,,,,,,,,
16347,1,4.0,,,,,,,,,,
16348,9,,,,,,,,,,,
16349,9,,,,,,,,,,,
16402,9,0.0,5.0,2.0,4.0,,,,,,,
16403,9,0.0,5.0,2.0,4.0,,,,,,,
16404,9,3.0,,,,,,,,,,
16405,9,0.0,6.0,,,,,,,,,
16407,5,4.0,,,,,,,,,,
16408,9,5.0,11.0,4.0,2.0,,,,,,,
16409,8,5.0,2.0,1.0,,,,,,,,
16410,11,,,,,,,,,,,
16411,9,,,,,,,,,,,
16412,11,4.0,5.0,8.0,2.0,,,,,,,
16413,9,,,,,,,,,,,
16414,2,3.0,,,,,,,,,,
16415,2,3.0,,,,,,,,,,
16416,2,,,,,,,,,,,
16417,9,,,,,,,,,,,
16418,2,,,,,,,,,,,
16419,5,9.0,8.0,,,,,,,,,
16420,2,3.0,10.0,1.0,5.0,,,,,,,
16421,5,,,,,,,,,,,
16422,4,10.0,11.0,1.0,8.0,,,,,,,
16423,9,,,,,,,,,,,
16424,2,8.0,3.0,4.0,9.0,,,,,,,
16425,11,9.0,5.0,4.0,,,,,,,,
16427,9,,,,,,,,,,,
16429,5,0.0,2.0,8.0,1.0,,,,,,,
16430,9,5.0,8.0,2.0,,,,,,,,
16431,9,5.0,2.0,,,,,,,,,
16434,8,4.0,,,,,,,,,,
16435,1,9.0,2.0,10.0,5.0,,,,,,,
16436,2,9.0,3.0,,,,,,,,,
16437,9,0.0,5.0,6.0,,,,,,,,
16440,2,9.0,,,,,,,,,,
16441,9,,,,,,,,,,,
16442,9,2.0,,,,,,,,,,
16443,6,4.0,10.0,7.0,1.0,,,,,,,
