,0,1,2,3,4,5,6
1,Write-In cells: 399,,,,,,
2,Overvote cells: 134,,,,,,
3,LIBBY SCHAAF: 0,,,,,,
4,CLINTON KILLIAN: 1,,,,,,
5,RALPH KANZ: 2,,,,,,
6,JASON GILLEN: 3,,,,,,
7,DANIEL SWAFFORD: 4,,,,,,
8,JILL BROADHURST: 5,,,,,,
9,MELANIE SHELBY: 6,,,,,,
10,0,1.0,2.0,,,,
11,3,0.0,4.0,,,,
12,0,4.0,,,,,
13,2,4.0,3.0,,,,
14,0,4.0,2.0,,,,
15,4,1.0,,,,,
17,0,,,,,,
18,4,1.0,,,,,
19,0,2.0,4.0,,,,
20,2,,,,,,
21,0,5.0,4.0,,,,
22,1,6.0,3.0,,,,
23,0,4.0,,,,,
24,0,5.0,,,,,
25,0,5.0,4.0,,,,
26,0,,,,,,
27,0,5.0,1.0,,,,
28,0,,,,,,
30,3,5.0,4.0,,,,
31,0,5.0,6.0,,,,
32,0,1.0,6.0,,,,
33,0,4.0,5.0,,,,
34,0,,,,,,
35,0,1.0,5.0,,,,
37,5,0.0,4.0,,,,
38,5,3.0,4.0,,,,
39,5,4.0,3.0,,,,
40,0,4.0,3.0,,,,
41,5,6.0,0.0,,,,
42,5,3.0,2.0,,,,
43,0,5.0,3.0,,,,
44,1,,,,,,
45,0,5.0,2.0,,,,
46,0,,,,,,
48,0,6.0,1.0,,,,
49,6,,,,,,
50,4,5.0,,,,,
51,0,6.0,4.0,,,,
52,2,3.0,,,,,
53,0,,,,,,
54,3,2.0,5.0,,,,
55,0,,,,,,
56,0,1.0,5.0,,,,
57,2,5.0,0.0,,,,
58,0,,,,,,
59,1,0.0,5.0,,,,
60,5,1.0,4.0,,,,
61,0,,,,,,
62,0,5.0,6.0,,,,
63,0,,,,,,
64,0,4.0,3.0,,,,
65,3,1.0,,,,,
66,0,,,,,,
67,0,6.0,1.0,,,,
68,2,5.0,0.0,,,,
70,0,5.0,,,,,
71,0,4.0,6.0,,,,
72,4,6.0,1.0,,,,
73,1,6.0,3.0,,,,
