,0,1,2
1,Write-In cells: 1078,,
2,Overvote cells: 207,,
3,STEPH DOMINGUEZ WALTON: 0,,
4,DAN KALB: 1,,
5,TRI NGO: 2,,
6,0,1.0,2.0
7,0,,
8,1,,
9,0,1.0,
10,2,0.0,1.0
11,1,0.0,2.0
12,2,0.0,1.0
13,0,1.0,2.0
14,1,2.0,0.0
15,1,2.0,0.0
16,0,1.0,
17,1,,
18,1,,
19,1,2.0,
20,1,,
21,1,,
23,0,1.0,2.0
24,2,0.0,1.0
25,1,2.0,0.0
26,1,0.0,2.0
27,0,,
28,0,1.0,2.0
29,1,0.0,
30,2,1.0,0.0
31,0,1.0,2.0
32,1,,
33,1,,
34,2,0.0,1.0
35,1,0.0,2.0
36,1,,
37,1,0.0,2.0
38,2,1.0,0.0
39,1,2.0,
40,1,2.0,
41,1,0.0,2.0
42,2,0.0,
43,0,2.0,1.0
44,1,,
45,0,1.0,
46,0,2.0,1.0
47,1,2.0,0.0
48,0,1.0,
49,2,1.0,
50,0,1.0,2.0
51,2,,
52,2,1.0,0.0
53,1,0.0,2.0
54,1,0.0,2.0
55,0,1.0,
56,1,2.0,
57,1,2.0,
58,1,0.0,
59,0,,
60,2,1.0,0.0
61,2,1.0,
62,0,,
63,0,1.0,2.0
64,1,2.0,0.0
65,1,0.0,2.0
66,0,1.0,
67,1,2.0,0.0
68,1,0.0,2.0
69,1,2.0,0.0
70,1,0.0,
71,2,1.0,
72,1,2.0,0.0
73,0,2.0,1.0
74,0,1.0,2.0
75,1,0.0,
76,2,0.0,1.0
77,1,,
78,1,0.0,2.0
79,1,,
80,0,2.0,1.0
81,0,2.0,
82,2,1.0,
83,1,,
84,0,2.0,1.0
85,0,1.0,2.0
86,2,1.0,
87,0,1.0,2.0
88,1,,
89,1,0.0,
91,0,2.0,1.0
92,2,1.0,0.0
93,1,2.0,
94,1,0.0,
95,1,0.0,2.0
96,1,2.0,0.0
97,0,2.0,1.0
98,1,2.0,0.0
99,1,,
100,0,1.0,2.0
101,1,0.0,
102,0,2.0,1.0
103,1,2.0,0.0
104,0,1.0,2.0
105,0,,
106,2,0.0,1.0
107,0,1.0,2.0
108,1,2.0,
109,1,2.0,
110,1,0.0,
113,2,1.0,0.0
114,1,,
115,2,,
116,2,0.0,
118,0,,
119,1,,
120,2,,
121,2,,
122,1,2.0,0.0
123,1,0.0,
125,1,2.0,0.0
126,0,2.0,
127,1,2.0,0.0
128,0,1.0,
129,1,0.0,
131,2,,
132,1,2.0,
133,0,1.0,2.0
134,1,0.0,2.0
135,1,2.0,0.0
136,1,0.0,2.0
137,1,0.0,
138,0,1.0,2.0
139,1,,
140,0,,
141,1,0.0,2.0
142,1,0.0,2.0
143,1,0.0,2.0
144,1,2.0,0.0
145,2,,
146,0,2.0,1.0
147,1,0.0,2.0
148,1,0.0,2.0
149,0,2.0,1.0
150,1,2.0,0.0
151,0,2.0,1.0
152,0,1.0,2.0
153,0,,
154,1,0.0,2.0
155,0,2.0,1.0
156,1,,
157,2,1.0,0.0
158,1,,
159,1,0.0,2.0
160,0,1.0,2.0
161,1,2.0,0.0
162,1,0.0,
163,1,,
164,0,1.0,2.0
165,1,0.0,2.0
166,0,1.0,2.0
167,1,0.0,2.0
168,1,,
169,1,0.0,2.0
170,1,,
171,1,,
172,1,,
173,1,0.0,2.0
174,1,2.0,0.0
175,1,2.0,0.0
176,0,1.0,2.0
177,0,1.0,2.0
178,2,0.0,
179,1,,
180,1,0.0,2.0
182,0,1.0,2.0
183,1,,
184,0,1.0,2.0
185,2,1.0,0.0
186,1,0.0,2.0
187,1,2.0,0.0
188,1,0.0,2.0
189,1,0.0,2.0
190,1,0.0,2.0
191,2,0.0,1.0
193,1,2.0,0.0
194,2,0.0,1.0
195,0,2.0,1.0
196,1,0.0,
197,1,,
198,1,0.0,2.0
199,1,2.0,
200,1,2.0,0.0
201,1,2.0,0.0
202,1,0.0,2.0
203,1,0.0,2.0
204,1,,
205,0,2.0,1.0
206,1,,
207,0,,
208,1,0.0,2.0
209,2,0.0,1.0
210,1,0.0,2.0
211,1,0.0,
212,1,,
213,0,1.0,2.0
214,1,0.0,2.0
215,1,2.0,0.0
216,1,2.0,0.0
217,0,2.0,1.0
218,1,,
219,0,1.0,2.0
