,0,1,2,3,4,5
1,Write-In cells: 644,,,,,
2,Overvote cells: 1387,,,,,
3,LYNETTE GIBSON MCELHANEY: 0,,,,,
4,CARROLL FIFE: 1,,,,,
5,MERON SEMEDAR: 2,,,,,
6,SENECA SCOTT: 3,,,,,
7,ALEXUS TAYLOR: 4,,,,,
8,FAYE TAYLOR: 5,,,,,
9,0,1.0,2.0,3.0,4.0,
10,4,,,,,
11,5,3.0,0.0,4.0,2.0,
12,4,0.0,5.0,1.0,3.0,
13,5,2.0,0.0,4.0,3.0,
14,3,0.0,5.0,4.0,,
15,0,1.0,4.0,3.0,5.0,
16,0,1.0,3.0,,,
17,0,,,,,
18,1,3.0,2.0,4.0,0.0,
19,0,1.0,2.0,4.0,3.0,
20,1,,,,,
21,1,4.0,0.0,5.0,2.0,
22,1,,,,,
23,1,0.0,2.0,5.0,3.0,
24,1,0.0,2.0,,,
25,1,2.0,3.0,5.0,0.0,
26,2,3.0,0.0,1.0,,
27,1,,,,,
28,1,,,,,
29,4,2.0,1.0,0.0,3.0,
30,1,,,,,
31,0,,,,,
33,0,3.0,2.0,5.0,4.0,
34,1,,,,,
36,2,1.0,4.0,3.0,0.0,
37,2,3.0,1.0,0.0,5.0,
39,2,,,,,
40,1,0.0,2.0,,,
41,3,,,,,
42,0,,,,,
43,2,0.0,1.0,3.0,5.0,
44,1,,,,,
45,0,5.0,1.0,4.0,2.0,
46,0,1.0,4.0,3.0,2.0,
47,2,0.0,1.0,,,
48,1,2.0,,,,
49,1,4.0,0.0,5.0,2.0,
50,1,2.0,4.0,5.0,3.0,
51,5,3.0,0.0,1.0,2.0,
52,1,3.0,,,,
53,0,1.0,3.0,,,
54,1,2.0,4.0,5.0,3.0,
55,0,1.0,3.0,4.0,2.0,
56,2,,,,,
57,1,,,,,
58,0,,,,,
59,0,,,,,
60,0,,,,,
61,1,,,,,
62,3,1.0,2.0,4.0,,
63,1,,,,,
64,0,2.0,4.0,1.0,3.0,
65,0,,,,,
66,0,1.0,3.0,,,
67,0,3.0,1.0,2.0,4.0,
68,0,1.0,4.0,2.0,5.0,
69,1,,,,,
70,1,2.0,,,,
71,0,,,,,
72,1,3.0,,,,
73,0,2.0,3.0,4.0,1.0,
74,4,3.0,5.0,2.0,1.0,
75,1,0.0,3.0,2.0,,
76,1,3.0,,,,
77,0,,,,,
78,1,3.0,2.0,5.0,0.0,
79,1,5.0,2.0,4.0,0.0,
80,3,1.0,2.0,4.0,0.0,
81,1,2.0,0.0,3.0,5.0,
82,0,,,,,
84,1,,,,,
85,1,2.0,3.0,,,
86,0,5.0,,,,
87,3,2.0,5.0,4.0,1.0,
88,1,,,,,
89,1,,,,,
90,0,,,,,
91,0,,,,,
92,0,,,,,
93,2,4.0,0.0,3.0,1.0,
94,1,,,,,
95,1,0.0,,,,
96,2,,,,,
97,1,0.0,3.0,2.0,5.0,
98,0,1.0,,,,
99,0,1.0,5.0,,,
100,1,,,,,
101,0,,,,,
102,0,1.0,5.0,,,
103,0,1.0,3.0,5.0,2.0,
104,2,3.0,,,,
105,0,,,,,
106,1,3.0,0.0,2.0,4.0,
107,1,2.0,5.0,3.0,,
108,1,0.0,2.0,4.0,,
110,2,0.0,5.0,,,
111,1,,,,,
112,1,3.0,,,,
114,1,5.0,3.0,2.0,4.0,
115,1,,,,,
119,2,4.0,0.0,1.0,5.0,
121,0,2.0,4.0,3.0,,
122,1,0.0,2.0,3.0,5.0,
123,4,2.0,1.0,,,
124,5,3.0,1.0,2.0,,
125,0,1.0,3.0,2.0,4.0,
126,0,,,,,
128,4,0.0,1.0,2.0,3.0,
129,3,5.0,1.0,0.0,,
130,1,3.0,2.0,4.0,5.0,
131,3,5.0,2.0,4.0,,
132,1,0.0,4.0,5.0,3.0,
133,1,5.0,0.0,2.0,4.0,
137,0,5.0,4.0,2.0,1.0,
138,3,4.0,2.0,0.0,5.0,
139,0,2.0,4.0,1.0,3.0,
140,1,0.0,4.0,3.0,,
