,0,1,2,3,4
1,Write-In cells: 895,,,,
2,Overvote cells: 797,,,,
3,"ROBERT ""BOB"" JACKSON: 0",,,,
4,MARCIE HODGE: 1,,,,
5,AARON CLAY: 2,,,,
6,MARCHON TATMON: 3,,,,
7,TREVA REID: 4,,,,
8,0,1.0,2.0,3.0,4.0
9,4,0.0,2.0,,
10,0,,,,
11,3,4.0,1.0,2.0,0.0
12,0,,,,
13,2,3.0,4.0,,
14,4,1.0,0.0,2.0,3.0
15,1,4.0,2.0,3.0,0.0
16,3,1.0,,,
17,0,4.0,1.0,,
18,4,1.0,0.0,3.0,2.0
19,0,2.0,4.0,1.0,3.0
20,3,1.0,0.0,4.0,2.0
21,0,,,,
22,4,0.0,1.0,2.0,3.0
23,4,2.0,1.0,3.0,0.0
24,4,1.0,0.0,2.0,3.0
25,4,3.0,0.0,1.0,2.0
26,3,,,,
27,1,4.0,2.0,3.0,0.0
28,0,4.0,1.0,,
30,1,4.0,3.0,0.0,2.0
31,4,2.0,,,
32,3,0.0,2.0,1.0,4.0
33,4,1.0,2.0,3.0,0.0
34,4,1.0,0.0,2.0,3.0
35,0,4.0,1.0,,
36,4,0.0,2.0,,
37,4,0.0,,,
38,4,,,,
39,2,0.0,4.0,3.0,1.0
40,0,1.0,,,
41,0,1.0,3.0,2.0,4.0
42,2,1.0,3.0,4.0,
43,4,,,,
44,0,2.0,3.0,,
45,4,,,,
46,0,1.0,4.0,2.0,3.0
47,4,0.0,1.0,2.0,3.0
48,3,,,,
49,2,3.0,0.0,1.0,4.0
50,4,1.0,0.0,2.0,3.0
51,4,0.0,2.0,3.0,1.0
52,2,,,,
53,3,4.0,,,
54,4,3.0,,,
55,4,1.0,2.0,3.0,0.0
56,4,1.0,3.0,2.0,0.0
57,2,4.0,0.0,3.0,1.0
58,0,,,,
59,4,1.0,3.0,,
60,0,,,,
61,4,1.0,2.0,3.0,0.0
62,2,3.0,0.0,1.0,4.0
63,1,4.0,2.0,3.0,0.0
64,4,3.0,2.0,1.0,
65,4,,,,
66,0,4.0,,,
67,4,2.0,,,
68,1,3.0,2.0,4.0,0.0
69,4,,,,
70,1,0.0,,,
71,4,1.0,2.0,3.0,0.0
72,0,4.0,1.0,3.0,2.0
73,4,,,,
74,3,1.0,,,
75,0,,,,
76,4,1.0,3.0,2.0,
77,4,,,,
78,4,2.0,,,
79,0,,,,
80,0,2.0,3.0,,
81,1,4.0,,,
82,2,3.0,4.0,,
83,2,4.0,0.0,3.0,1.0
84,1,3.0,2.0,4.0,
85,1,,,,
86,4,1.0,0.0,2.0,3.0
87,4,1.0,3.0,2.0,0.0
88,0,1.0,,,
89,2,0.0,4.0,3.0,
90,1,3.0,2.0,4.0,
91,4,3.0,,,
92,4,2.0,1.0,,
93,4,1.0,0.0,3.0,2.0
94,2,,,,
95,1,3.0,2.0,4.0,0.0
96,3,2.0,4.0,1.0,0.0
97,0,,,,
98,3,2.0,4.0,0.0,1.0
99,1,3.0,2.0,4.0,
100,0,4.0,,,
101,3,2.0,4.0,1.0,0.0
106,2,1.0,4.0,0.0,3.0
107,2,4.0,0.0,3.0,
108,0,2.0,,,
110,4,1.0,0.0,3.0,
111,4,,,,
112,4,1.0,0.0,3.0,2.0
113,4,0.0,2.0,3.0,
114,2,,,,
115,0,4.0,,,
116,2,4.0,0.0,1.0,
117,3,2.0,0.0,4.0,
118,0,4.0,,,
119,3,4.0,,,
121,4,0.0,1.0,2.0,
122,3,2.0,1.0,0.0,4.0
123,0,1.0,4.0,,
124,4,,,,
125,1,3.0,2.0,0.0,
126,4,0.0,3.0,2.0,
128,3,4.0,1.0,2.0,0.0
129,3,2.0,0.0,1.0,4.0
130,0,,,,
131,4,2.0,1.0,3.0,0.0
132,2,,,,
133,3,4.0,0.0,,
134,0,1.0,3.0,2.0,4.0
135,4,1.0,3.0,,
136,4,,,,
137,0,,,,
138,4,,,,
139,4,,,,
140,3,0.0,,,
141,4,,,,
142,0,,,,
143,3,4.0,1.0,,
144,2,3.0,0.0,1.0,4.0
145,0,2.0,3.0,4.0,1.0
146,3,2.0,4.0,1.0,0.0
147,4,1.0,0.0,3.0,
148,4,1.0,2.0,,
150,0,1.0,4.0,,
151,0,4.0,2.0,,
152,0,,,,
154,0,1.0,3.0,2.0,4.0
155,4,,,,
156,0,1.0,2.0,3.0,4.0
157,3,2.0,1.0,4.0,0.0
158,4,3.0,2.0,1.0,0.0
159,4,1.0,3.0,2.0,0.0
160,1,4.0,0.0,,
162,3,,,,
163,2,0.0,3.0,4.0,1.0
164,1,,,,
165,1,4.0,,,
166,3,0.0,,,
167,3,0.0,4.0,1.0,
168,3,2.0,4.0,0.0,1.0
169,2,0.0,3.0,4.0,1.0
170,0,3.0,,,
171,3,0.0,4.0,2.0,
172,4,1.0,2.0,3.0,0.0
173,4,2.0,3.0,0.0,1.0
174,4,2.0,3.0,0.0,1.0
175,0,4.0,2.0,3.0,1.0
176,4,2.0,1.0,3.0,0.0
177,4,0.0,,,
178,4,1.0,2.0,0.0,3.0
179,4,,,,
180,0,2.0,1.0,4.0,3.0
181,4,0.0,1.0,3.0,2.0
182,4,,,,
183,3,2.0,,,
184,1,,,,
185,3,0.0,1.0,4.0,2.0
186,4,,,,
187,0,4.0,1.0,2.0,3.0
188,0,4.0,,,
190,0,2.0,1.0,4.0,3.0
191,0,1.0,2.0,4.0,3.0
192,1,2.0,3.0,4.0,0.0
193,1,,,,
194,1,0.0,3.0,2.0,4.0
195,3,2.0,4.0,1.0,0.0
196,1,2.0,3.0,4.0,0.0
197,3,,,,
198,0,4.0,2.0,3.0,1.0
199,4,1.0,0.0,3.0,2.0
200,1,4.0,2.0,,
202,4,1.0,0.0,3.0,2.0
203,4,1.0,0.0,2.0,3.0
204,3,2.0,,,
205,1,,,,
206,2,,,,
207,4,,,,
208,4,1.0,3.0,2.0,0.0
209,4,2.0,1.0,3.0,0.0
210,0,1.0,2.0,3.0,4.0
211,2,1.0,,,
212,4,2.0,3.0,0.0,1.0
213,3,2.0,0.0,4.0,1.0
215,2,4.0,0.0,3.0,1.0
216,0,2.0,1.0,4.0,3.0
217,1,2.0,3.0,0.0,4.0
218,2,4.0,,,
219,1,3.0,2.0,4.0,0.0
220,4,1.0,0.0,2.0,3.0
221,2,0.0,1.0,4.0,
222,1,,,,
223,0,4.0,3.0,2.0,
225,4,,,,
228,1,2.0,4.0,3.0,0.0
229,0,4.0,,,
230,2,0.0,1.0,4.0,3.0
231,4,,,,
233,0,,,,
234,0,,,,
235,0,1.0,3.0,2.0,4.0
236,1,3.0,2.0,,
237,0,2.0,4.0,1.0,
238,3,2.0,0.0,1.0,4.0
239,4,1.0,0.0,2.0,3.0
240,3,2.0,4.0,1.0,0.0
241,1,,,,
243,0,1.0,,,
244,2,4.0,1.0,3.0,0.0
245,4,1.0,0.0,,
246,3,2.0,1.0,4.0,0.0
247,4,0.0,3.0,1.0,2.0
248,2,0.0,1.0,4.0,3.0
249,2,1.0,0.0,3.0,4.0
250,4,,,,
251,1,0.0,,,
252,1,,,,
253,0,4.0,,,
254,0,1.0,2.0,4.0,
255,3,2.0,4.0,0.0,
256,3,,,,
257,2,,,,
258,0,1.0,4.0,2.0,3.0
259,3,,,,
260,4,1.0,0.0,3.0,2.0
261,4,0.0,1.0,2.0,
262,0,2.0,1.0,3.0,4.0
263,4,1.0,2.0,0.0,3.0
264,3,1.0,4.0,2.0,0.0
265,2,0.0,3.0,1.0,4.0
266,1,2.0,0.0,4.0,3.0
267,0,,,,
268,1,4.0,3.0,2.0,0.0
269,4,,,,
270,2,4.0,,,
271,1,4.0,3.0,0.0,2.0
272,0,3.0,2.0,1.0,4.0
274,4,0.0,1.0,3.0,2.0
275,0,,,,
276,4,1.0,0.0,3.0,2.0
277,3,2.0,0.0,1.0,4.0
278,4,2.0,1.0,3.0,0.0
279,0,,,,
280,3,,,,
281,1,,,,
282,4,,,,
283,0,4.0,1.0,2.0,3.0
284,1,3.0,4.0,2.0,0.0
285,4,0.0,1.0,2.0,3.0
286,4,,,,
287,2,,,,
288,3,1.0,4.0,2.0,0.0
289,0,3.0,1.0,2.0,4.0
290,4,1.0,0.0,3.0,2.0
291,0,4.0,1.0,3.0,2.0
292,4,1.0,2.0,0.0,3.0
293,2,3.0,1.0,4.0,0.0
294,2,,,,
295,4,,,,
296,0,3.0,2.0,1.0,4.0
297,2,1.0,,,
298,4,0.0,1.0,2.0,3.0
299,4,0.0,2.0,3.0,1.0
300,2,3.0,1.0,0.0,4.0
302,4,,,,
303,0,,,,
304,4,3.0,0.0,1.0,
305,2,,,,
306,3,,,,
307,1,,,,
308,2,,,,
310,0,1.0,4.0,3.0,2.0
311,0,1.0,2.0,4.0,3.0
312,4,,,,
314,4,0.0,,,
315,0,3.0,2.0,1.0,4.0
316,4,2.0,0.0,1.0,3.0
318,0,1.0,2.0,3.0,4.0
319,1,4.0,3.0,2.0,0.0
320,4,,,,
321,4,2.0,0.0,1.0,3.0
323,3,,,,
324,4,2.0,1.0,3.0,0.0
325,2,4.0,1.0,3.0,
326,0,,,,
327,4,,,,
328,0,3.0,2.0,,
329,2,3.0,0.0,1.0,4.0
330,0,,,,
331,4,,,,
332,1,,,,
333,4,,,,
334,0,,,,
335,0,1.0,,,
337,0,1.0,2.0,3.0,4.0
338,1,3.0,0.0,2.0,
339,0,,,,
340,0,1.0,3.0,2.0,
341,2,3.0,0.0,1.0,4.0
342,3,1.0,4.0,2.0,0.0
343,4,,,,
344,0,2.0,3.0,1.0,4.0
345,4,,,,
346,2,1.0,0.0,,
347,1,4.0,,,
348,4,0.0,,,
349,1,,,,
350,4,1.0,0.0,2.0,3.0
351,0,1.0,2.0,3.0,
352,2,3.0,1.0,0.0,
353,4,2.0,0.0,1.0,
355,1,0.0,2.0,3.0,
356,1,3.0,2.0,0.0,
357,0,4.0,2.0,1.0,
358,4,0.0,1.0,2.0,3.0
359,4,0.0,1.0,2.0,3.0
360,3,1.0,4.0,,
362,4,,,,
363,4,,,,
364,4,3.0,2.0,0.0,1.0
365,4,2.0,1.0,3.0,0.0
366,2,3.0,1.0,4.0,0.0
367,4,2.0,1.0,0.0,3.0
368,1,,,,
369,3,,,,
370,2,0.0,3.0,4.0,
371,0,4.0,2.0,1.0,3.0
372,1,,,,
373,1,,,,
374,1,4.0,2.0,3.0,0.0
375,1,0.0,4.0,2.0,3.0
376,4,,,,
377,0,3.0,2.0,1.0,4.0
378,4,0.0,3.0,,
379,4,3.0,1.0,0.0,2.0
381,0,1.0,,,
382,4,3.0,1.0,2.0,0.0
383,1,,,,
384,4,2.0,3.0,1.0,0.0
385,2,4.0,3.0,0.0,1.0
386,1,2.0,3.0,0.0,4.0
387,4,,,,
388,4,1.0,0.0,3.0,2.0
389,4,1.0,2.0,3.0,0.0
390,4,3.0,1.0,0.0,2.0
391,1,4.0,3.0,2.0,0.0
392,4,,,,
393,2,,,,
394,4,1.0,2.0,3.0,0.0
395,0,2.0,1.0,4.0,
396,3,1.0,2.0,4.0,0.0
397,4,0.0,,,
398,1,4.0,0.0,3.0,2.0
399,0,2.0,1.0,4.0,
400,4,2.0,0.0,1.0,
401,4,2.0,1.0,0.0,3.0
402,2,4.0,0.0,,
403,0,2.0,3.0,1.0,4.0
404,4,,,,
405,4,1.0,0.0,3.0,2.0
406,1,0.0,4.0,3.0,2.0
407,1,3.0,4.0,,
408,2,3.0,0.0,1.0,4.0
409,4,2.0,1.0,0.0,3.0
410,4,3.0,2.0,0.0,1.0
411,3,0.0,,,
412,2,3.0,1.0,4.0,0.0
413,1,,,,
414,0,3.0,2.0,1.0,4.0
416,0,4.0,1.0,2.0,3.0
417,2,3.0,4.0,1.0,0.0
418,2,1.0,3.0,0.0,4.0
419,4,2.0,3.0,0.0,1.0
420,2,3.0,0.0,1.0,4.0
421,1,,,,
422,4,2.0,3.0,1.0,
423,3,,,,
424,4,2.0,1.0,,
425,1,4.0,3.0,2.0,0.0
426,4,3.0,2.0,0.0,1.0
427,3,2.0,1.0,4.0,0.0
428,3,,,,
429,4,0.0,3.0,,
430,4,0.0,,,
432,2,1.0,3.0,4.0,0.0
433,4,,,,
