,0,1,2,3,4,5
1,Write-In cells: 539,,,,,
2,Overvote cells: 278,,,,,
3,SEAN SULLIVAN: 0,,,,,
4,ALEX MILLER-COLE: 1,,,,,
5,"LARRY LIONEL YOUNG, JR.: 2",,,,,
6,NYEISHA DEWITT: 3,,,,,
7,DERRICK MUHAMMAD: 4,,,,,
8,LYNETTE GIBSON-MCELHANEY: 5,,,,,
9,0,1.0,2.0,,,
10,3,4.0,5.0,,,
11,0,1.0,2.0,,,
12,3,4.0,5.0,,,
13,2,0.0,4.0,,,
14,4,2.0,1.0,,,
15,3,4.0,1.0,,,
17,5,1.0,3.0,,,
19,2,3.0,5.0,,,
20,5,,,,,
21,1,3.0,0.0,,,
22,0,5.0,4.0,,,
23,0,4.0,2.0,,,
25,0,5.0,1.0,,,
26,4,0.0,2.0,,,
27,3,,,,,
28,3,1.0,5.0,,,
29,0,1.0,2.0,,,
30,0,1.0,,,,
31,4,0.0,2.0,,,
32,5,4.0,1.0,,,
33,4,0.0,,,,
35,0,1.0,4.0,,,
37,1,2.0,4.0,,,
38,0,5.0,2.0,,,
39,0,4.0,2.0,,,
40,1,3.0,2.0,,,
41,0,,,,,
42,2,4.0,5.0,,,
43,5,3.0,1.0,,,
44,3,,,,,
46,0,1.0,5.0,,,
47,0,1.0,3.0,,,
48,5,,,,,
49,0,3.0,5.0,,,
50,2,4.0,5.0,,,
51,1,3.0,,,,
52,5,0.0,3.0,,,
53,4,,,,,
54,2,0.0,,,,
55,4,0.0,2.0,,,
56,0,,,,,
57,5,2.0,3.0,,,
58,0,,,,,
59,0,1.0,5.0,,,
60,4,3.0,2.0,,,
61,1,5.0,0.0,,,
63,3,0.0,4.0,,,
64,0,1.0,,,,
65,3,,,,,
66,0,,,,,
67,4,,,,,
68,2,4.0,3.0,,,
69,5,,,,,
70,2,,,,,
71,4,3.0,5.0,,,
72,4,5.0,3.0,,,
73,1,0.0,3.0,,,
74,5,,,,,
75,1,,,,,
77,0,3.0,4.0,,,
78,5,4.0,2.0,,,
79,0,4.0,5.0,,,
81,0,1.0,,,,
