,0,1,2,3
1,Write-In cells: 377,,,
2,Overvote cells: 174,,,
3,DAWN MCMAHAN: 0,,,
4,NOEL GALLO: 1,,,
5,MARIO JUAREZ: 2,,,
6,ARACELY ''SHELLY'' GARZA: 3,,,
7,0,1.0,,
8,1,0.0,,
9,2,0.0,1.0,
10,1,0.0,2.0,
11,2,3.0,0.0,
12,0,,,
13,1,0.0,,
14,3,2.0,1.0,
15,1,,,
16,2,,,
17,1,,,
18,0,2.0,3.0,
19,1,2.0,3.0,
20,1,2.0,3.0,
21,1,2.0,3.0,
22,2,1.0,0.0,
24,0,3.0,1.0,
25,0,,,
26,2,,,
27,2,3.0,0.0,
29,0,3.0,,
30,1,2.0,0.0,
31,0,1.0,3.0,
32,2,3.0,1.0,
33,3,,,
34,1,0.0,3.0,
35,0,2.0,3.0,
36,0,2.0,3.0,
37,0,2.0,,
38,1,,,
39,0,2.0,,
40,0,3.0,1.0,
41,2,3.0,1.0,
42,1,0.0,3.0,
43,2,1.0,0.0,
44,0,1.0,,
45,2,3.0,0.0,
46,0,,,
47,2,3.0,1.0,
48,0,,,
49,0,3.0,1.0,
50,1,2.0,3.0,
51,0,2.0,,
52,2,1.0,0.0,
53,1,0.0,3.0,
54,1,2.0,3.0,
55,0,,,
56,1,,,
57,1,2.0,3.0,
58,0,3.0,1.0,
59,1,,,
60,1,3.0,2.0,
61,1,3.0,2.0,
62,1,0.0,2.0,
63,3,0.0,2.0,
64,1,,,
65,2,1.0,3.0,
66,0,3.0,,
67,1,2.0,3.0,
68,1,0.0,3.0,
69,3,2.0,1.0,
70,0,,,
71,2,,,
72,1,2.0,3.0,
73,1,2.0,0.0,
74,1,,,
75,0,,,
77,2,,,
78,1,,,
79,2,1.0,,
80,2,,,
81,0,2.0,1.0,
82,3,,,
83,2,3.0,1.0,
85,1,2.0,0.0,
86,1,2.0,0.0,
87,1,2.0,0.0,
88,0,3.0,2.0,
89,1,2.0,3.0,
90,1,2.0,3.0,
91,1,,,
92,1,,,
93,2,0.0,,
94,2,,,
96,0,3.0,2.0,
98,1,2.0,0.0,
99,2,0.0,3.0,
100,0,2.0,3.0,
101,2,,,
102,2,3.0,,
103,3,0.0,2.0,
104,2,3.0,1.0,
105,1,3.0,0.0,
107,2,3.0,1.0,
108,1,,,
109,0,1.0,3.0,
110,2,,,
111,3,,,
112,1,,,
113,0,2.0,3.0,
114,2,3.0,0.0,
115,1,2.0,,
116,3,,,
117,2,,,
118,2,0.0,1.0,
119,1,0.0,3.0,
120,2,0.0,1.0,
121,1,0.0,,
122,2,1.0,3.0,
123,1,,,
124,1,0.0,3.0,
125,3,2.0,0.0,
126,0,1.0,2.0,
127,2,,,
128,0,2.0,,
129,1,2.0,3.0,
130,0,2.0,,
131,1,2.0,,
132,1,0.0,3.0,
133,2,0.0,,
134,1,2.0,3.0,
135,1,,,
136,0,2.0,1.0,
137,2,1.0,3.0,
138,2,1.0,3.0,
139,2,1.0,0.0,
140,2,,,
141,2,,,
142,1,2.0,3.0,
143,2,1.0,3.0,
144,2,,,
145,2,,,
146,0,3.0,1.0,
147,1,,,
148,2,1.0,0.0,
149,3,2.0,1.0,
150,2,1.0,,
151,1,2.0,0.0,
153,1,,,
154,2,3.0,1.0,
155,2,1.0,3.0,
156,1,3.0,2.0,
157,0,1.0,2.0,
158,1,3.0,2.0,
159,1,2.0,3.0,
160,0,2.0,3.0,
161,1,3.0,0.0,
162,1,,,
163,1,2.0,0.0,
164,1,2.0,0.0,
165,1,3.0,,
166,2,3.0,1.0,
167,0,,,
168,1,3.0,2.0,
169,1,2.0,,
170,2,3.0,0.0,
171,1,2.0,0.0,
172,1,,,
173,0,1.0,3.0,
174,2,1.0,0.0,
175,1,,,
176,1,3.0,2.0,
177,1,,,
178,0,3.0,1.0,
179,2,1.0,3.0,
180,2,0.0,3.0,
181,1,,,
182,1,0.0,3.0,
183,1,2.0,3.0,
184,1,2.0,3.0,
185,0,,,
186,1,0.0,3.0,
187,1,2.0,3.0,
188,0,,,
189,2,1.0,,
190,2,,,
191,1,3.0,2.0,
192,1,2.0,3.0,
193,1,,,
194,1,2.0,3.0,
195,0,,,
196,2,,,
197,0,,,
198,1,0.0,3.0,
199,1,,,
200,1,,,
201,1,2.0,,
202,1,3.0,2.0,
203,1,0.0,2.0,
204,2,1.0,0.0,
205,2,0.0,1.0,
206,0,,,
207,0,2.0,1.0,
208,0,1.0,2.0,
209,1,3.0,2.0,
210,0,3.0,1.0,
211,2,3.0,0.0,
212,1,,,
213,1,,,
214,1,,,
215,0,,,
216,1,,,
217,1,0.0,2.0,
218,1,0.0,2.0,
219,0,3.0,1.0,
220,1,0.0,3.0,
221,1,,,
222,1,0.0,2.0,
223,1,,,
224,2,3.0,0.0,
225,1,2.0,0.0,
226,2,,,
227,1,0.0,2.0,
228,2,,,
229,1,2.0,,
230,1,0.0,3.0,
232,1,,,
233,1,2.0,0.0,
234,0,1.0,,
235,0,3.0,2.0,
236,1,,,
237,1,,,
238,2,,,
239,1,,,
240,0,,,
241,1,,,
242,3,0.0,1.0,
243,1,0.0,2.0,
244,0,2.0,1.0,
