,0,1,2,3,4
1,Write-In cells: 0,,,,
2,Overvote cells: 385,,,,
3,NATASHA MIDDLETON: 0,,,,
4,DESLEY BROOKS: 1,,,,
5,LOREN TAYLOR: 2,,,,
6,MYA WHITAKER: 3,,,,
7,MARLO RODRIGUEZ: 4,,,,
8,0,,,,
9,1,2.0,3.0,,
10,1,,,,
12,1,2.0,,,
13,1,,,,
14,4,3.0,1.0,,
15,1,,,,
16,1,0.0,3.0,,
17,2,0.0,3.0,,
18,1,0.0,4.0,,
19,2,0.0,4.0,,
20,0,,,,
21,4,,,,
22,1,0.0,4.0,,
23,2,4.0,3.0,,
24,2,4.0,,,
25,1,3.0,0.0,,
26,2,3.0,0.0,,
27,1,3.0,4.0,,
28,1,4.0,3.0,,
29,1,3.0,0.0,,
30,1,0.0,2.0,,
31,1,2.0,,,
32,1,2.0,,,
33,1,4.0,2.0,,
34,1,,,,
35,1,4.0,0.0,,
36,1,2.0,,,
37,1,2.0,0.0,,
38,1,2.0,3.0,,
39,2,3.0,,,
41,2,4.0,,,
42,2,,,,
43,2,0.0,3.0,,
44,1,,,,
45,1,2.0,3.0,,
46,0,,,,
47,2,1.0,3.0,,
48,0,,,,
49,1,,,,
50,4,,,,
51,1,0.0,4.0,,
52,2,1.0,,,
53,1,,,,
54,2,,,,
55,2,,,,
56,1,,,,
57,3,4.0,2.0,,
58,3,4.0,2.0,,
59,2,4.0,,,
60,1,2.0,4.0,,
61,2,0.0,3.0,,
62,2,0.0,3.0,,
63,2,4.0,0.0,,
64,2,1.0,,,
65,0,2.0,1.0,,
66,0,,,,
69,2,3.0,0.0,,
70,1,,,,
71,2,3.0,,,
72,1,,,,
73,2,,,,
74,1,,,,
75,1,2.0,3.0,,
76,1,,,,
77,1,,,,
78,1,,,,
79,2,3.0,1.0,,
80,3,,,,
81,2,,,,
82,0,2.0,3.0,,
83,2,,,,
84,4,3.0,2.0,,
85,0,1.0,2.0,,
86,0,3.0,4.0,,
87,2,,,,
88,2,,,,
89,2,,,,
90,1,0.0,2.0,,
91,0,,,,
92,4,,,,
93,2,,,,
94,0,1.0,3.0,,
95,1,,,,
96,1,3.0,2.0,,
97,1,2.0,,,
98,2,0.0,3.0,,
99,1,0.0,2.0,,
100,0,,,,
102,2,,,,
103,2,4.0,3.0,,
104,1,,,,
105,0,1.0,4.0,,
106,4,3.0,2.0,,
108,1,,,,
109,4,,,,
110,1,3.0,2.0,,
111,0,4.0,3.0,,
112,2,,,,
113,2,1.0,4.0,,
114,4,3.0,0.0,,
115,4,0.0,2.0,,
116,4,0.0,2.0,,
117,1,4.0,2.0,,
118,1,3.0,2.0,,
120,4,2.0,,,
121,4,0.0,1.0,,
122,2,1.0,0.0,,
123,2,,,,
124,1,3.0,2.0,,
125,2,1.0,0.0,,
126,3,2.0,4.0,,
127,1,4.0,2.0,,
129,4,,,,
131,2,,,,
132,3,1.0,4.0,,
133,1,,,,
134,2,0.0,3.0,,
135,3,1.0,4.0,,
136,3,2.0,4.0,,
137,1,,,,
138,3,0.0,2.0,,
139,1,,,,
140,2,,,,
141,1,3.0,0.0,,
143,1,,,,
144,2,3.0,0.0,,
145,2,,,,
146,3,0.0,2.0,,
148,1,4.0,3.0,,
149,0,3.0,,,
150,0,3.0,,,
151,1,3.0,2.0,,
152,1,4.0,0.0,,
153,2,,,,
154,4,2.0,3.0,,
155,1,2.0,3.0,,
156,0,3.0,1.0,,
157,2,,,,
158,0,3.0,2.0,,
159,1,,,,
160,2,1.0,4.0,,
161,3,0.0,1.0,,
162,0,2.0,3.0,,
163,2,,,,
164,1,,,,
165,1,,,,
166,1,,,,
167,1,,,,
168,1,2.0,4.0,,
169,4,1.0,3.0,,
170,1,,,,
171,2,,,,
172,1,4.0,,,
173,1,,,,
174,2,,,,
175,0,2.0,4.0,,
176,2,,,,
177,2,,,,
178,2,3.0,4.0,,
179,4,2.0,3.0,,
180,4,2.0,3.0,,
181,2,4.0,0.0,,
182,0,4.0,2.0,,
183,0,2.0,3.0,,
184,2,0.0,4.0,,
185,2,,,,
186,0,2.0,3.0,,
187,2,3.0,4.0,,
188,2,1.0,3.0,,
189,2,,,,
190,2,,,,
191,3,4.0,0.0,,
192,1,3.0,0.0,,
193,2,3.0,,,
194,2,,,,
195,2,,,,
196,2,,,,
197,2,,,,
198,4,0.0,3.0,,
199,2,0.0,3.0,,
200,1,,,,
201,0,4.0,3.0,,
202,4,,,,
203,2,,,,
204,4,,,,
205,4,,,,
206,4,1.0,0.0,,
207,4,2.0,3.0,,
208,2,,,,
209,2,0.0,3.0,,
210,2,0.0,3.0,,
211,2,0.0,3.0,,
212,4,2.0,3.0,,
213,4,2.0,3.0,,
214,3,4.0,2.0,,
215,3,4.0,1.0,,
216,2,,,,
217,2,1.0,,,
218,3,,,,
219,2,,,,
220,3,1.0,,,
221,1,2.0,0.0,,
222,2,4.0,3.0,,
223,2,3.0,1.0,,
225,1,0.0,4.0,,
226,2,0.0,3.0,,
227,2,0.0,3.0,,
228,0,4.0,3.0,,
229,3,2.0,0.0,,
230,2,,,,
231,1,0.0,4.0,,
232,2,,,,
233,4,2.0,3.0,,
234,2,3.0,4.0,,
235,2,0.0,3.0,,
236,1,0.0,2.0,,
238,2,3.0,0.0,,
239,1,4.0,3.0,,
240,3,2.0,0.0,,
241,3,2.0,0.0,,
242,1,0.0,4.0,,
243,2,0.0,3.0,,
244,1,,,,
245,2,4.0,3.0,,
246,2,4.0,3.0,,
247,2,1.0,0.0,,
248,0,1.0,3.0,,
249,0,4.0,2.0,,
251,0,4.0,3.0,,
252,0,,,,
253,0,2.0,4.0,,
254,1,2.0,3.0,,
255,2,4.0,3.0,,
256,1,2.0,3.0,,
257,0,2.0,,,
258,2,,,,
259,1,2.0,3.0,,
260,2,3.0,4.0,,
261,2,4.0,3.0,,
262,0,4.0,2.0,,
263,1,0.0,,,
264,1,2.0,3.0,,
265,2,0.0,3.0,,
266,3,1.0,2.0,,
267,0,3.0,4.0,,
268,1,4.0,,,
269,0,3.0,4.0,,
271,2,4.0,3.0,,
272,2,3.0,,,
273,4,1.0,2.0,,
274,2,3.0,0.0,,
275,1,4.0,2.0,,
276,0,2.0,,,
277,0,3.0,4.0,,
278,2,,,,
279,0,3.0,4.0,,
280,1,0.0,2.0,,
281,1,2.0,3.0,,
282,2,3.0,4.0,,
283,2,4.0,,,
284,3,4.0,,,
285,2,3.0,1.0,,
286,4,0.0,1.0,,
287,2,4.0,0.0,,
288,1,2.0,0.0,,
289,2,3.0,4.0,,
290,1,0.0,2.0,,
291,1,,,,
292,1,,,,
293,1,,,,
294,1,0.0,3.0,,
295,2,,,,
296,2,0.0,3.0,,
297,1,0.0,3.0,,
298,1,2.0,3.0,,
299,2,3.0,0.0,,
300,2,3.0,0.0,,
301,2,3.0,0.0,,
302,2,3.0,0.0,,
303,2,3.0,0.0,,
304,1,3.0,2.0,,
305,1,2.0,0.0,,
306,2,1.0,,,
307,3,,,,
308,1,2.0,,,
309,1,2.0,4.0,,
310,3,4.0,0.0,,
311,2,4.0,1.0,,
312,2,0.0,4.0,,
313,3,4.0,0.0,,
314,2,0.0,4.0,,
315,1,3.0,4.0,,
316,3,,,,
317,3,4.0,1.0,,
318,1,3.0,0.0,,
319,1,,,,
320,0,3.0,2.0,,
321,2,0.0,4.0,,
322,4,3.0,2.0,,
323,3,,,,
325,1,,,,
326,1,,,,
328,1,2.0,3.0,,
329,3,0.0,,,
330,1,2.0,3.0,,
331,0,,,,
332,1,2.0,3.0,,
333,2,3.0,4.0,,
334,1,3.0,4.0,,
335,2,1.0,,,
336,2,4.0,0.0,,
337,2,4.0,,,
338,2,3.0,,,
340,0,2.0,4.0,,
341,2,3.0,1.0,,
342,1,2.0,,,
343,2,0.0,4.0,,
344,2,0.0,3.0,,
345,1,3.0,2.0,,
346,0,1.0,,,
347,3,2.0,1.0,,
348,2,,,,
349,2,3.0,4.0,,
350,1,3.0,2.0,,
351,2,0.0,4.0,,
353,2,3.0,0.0,,
355,2,3.0,0.0,,
356,2,,,,
357,1,3.0,,,
358,0,3.0,2.0,,
359,4,3.0,0.0,,
360,1,0.0,2.0,,
361,2,,,,
362,3,2.0,4.0,,
363,2,0.0,3.0,,
364,4,0.0,2.0,,
365,2,1.0,,,
366,2,1.0,,,
367,2,,,,
369,2,0.0,3.0,,
370,3,2.0,4.0,,
372,0,1.0,4.0,,
373,1,2.0,3.0,,
374,1,3.0,0.0,,
375,1,3.0,2.0,,
376,2,0.0,3.0,,
377,2,,,,
378,3,0.0,2.0,,
379,0,3.0,4.0,,
380,4,3.0,0.0,,
381,0,3.0,4.0,,
382,3,2.0,0.0,,
383,2,,,,
384,1,3.0,2.0,,
385,2,4.0,0.0,,
386,0,1.0,4.0,,
387,2,3.0,1.0,,
388,0,2.0,4.0,,
389,1,2.0,3.0,,
390,4,,,,
393,0,2.0,4.0,,
394,1,3.0,4.0,,
395,2,0.0,4.0,,
396,2,0.0,,,
397,1,4.0,,,
398,2,,,,
399,0,2.0,3.0,,
400,4,3.0,0.0,,
401,2,0.0,3.0,,
402,3,,,,
403,4,0.0,1.0,,
404,2,3.0,0.0,,
405,1,,,,
406,0,2.0,3.0,,
407,1,2.0,4.0,,
408,1,,,,
409,2,0.0,3.0,,
410,3,,,,
411,0,3.0,4.0,,
412,2,3.0,0.0,,
413,0,2.0,3.0,,
414,1,4.0,2.0,,
415,1,2.0,,,
416,0,3.0,2.0,,
417,2,0.0,3.0,,
418,0,2.0,4.0,,
419,1,2.0,4.0,,
420,2,3.0,4.0,,
421,2,3.0,4.0,,
422,2,0.0,3.0,,
423,1,2.0,3.0,,
424,3,0.0,2.0,,
425,2,0.0,1.0,,
426,2,0.0,1.0,,
427,2,,,,
428,0,3.0,,,
429,2,0.0,1.0,,
430,4,,,,
431,0,2.0,3.0,,
432,0,3.0,4.0,,
433,2,3.0,4.0,,
434,2,3.0,0.0,,
435,3,2.0,0.0,,
436,2,0.0,3.0,,
438,2,0.0,1.0,,
439,1,,,,
440,0,4.0,2.0,,
441,0,4.0,3.0,,
442,2,0.0,3.0,,
443,2,1.0,4.0,,
444,2,,,,
445,2,1.0,,,
446,1,0.0,4.0,,
447,2,,,,
448,2,1.0,4.0,,
449,2,,,,
450,2,0.0,3.0,,
451,2,0.0,3.0,,
453,4,,,,
454,2,0.0,4.0,,
455,2,,,,
