,0,1
1,Write-In cells: 0,
2,Overvote cells: 120,
3,NOEL GALLO: 0,
4,VIOLA GONZALES: 1,
5,0,
6,0,
7,0,1.0
8,1,
9,0,1.0
11,1,0.0
12,0,
14,0,
15,0,1.0
16,0,
17,0,1.0
18,1,0.0
19,1,0.0
20,1,
21,1,0.0
22,0,
23,1,
24,1,0.0
25,0,
26,0,1.0
27,0,
28,0,1.0
29,1,
30,1,0.0
31,0,
32,0,
33,0,
34,0,1.0
35,0,
36,0,1.0
37,1,
38,1,
39,1,0.0
40,1,0.0
42,0,1.0
43,1,0.0
44,0,1.0
45,0,
46,0,1.0
47,0,1.0
48,0,1.0
50,0,
51,1,0.0
52,0,
53,1,
56,0,
57,1,0.0
58,0,
59,0,
60,0,1.0
61,0,1.0
62,0,
63,0,
64,1,
65,0,
66,1,0.0
67,0,
68,0,
69,0,
70,0,
71,1,
72,0,
74,0,1.0
75,0,
76,0,1.0
77,0,
78,1,
79,0,1.0
80,1,0.0
81,1,0.0
82,0,1.0
83,0,1.0
84,1,0.0
85,1,0.0
86,1,0.0
87,0,1.0
89,0,
90,0,
91,0,1.0
92,0,1.0
93,0,
94,1,
95,1,0.0
97,1,
98,0,
99,0,1.0
100,0,
101,0,
103,1,0.0
104,1,0.0
105,0,1.0
106,0,
107,0,1.0
108,0,1.0
109,0,
110,1,
111,1,0.0
112,1,
113,0,1.0
114,1,
116,1,0.0
117,0,1.0
118,0,
119,0,1.0
120,1,0.0
121,0,
122,1,
123,0,
124,0,1.0
125,0,
126,0,1.0
127,0,1.0
128,0,
129,0,
130,0,1.0
131,1,
132,1,
133,0,1.0
134,1,0.0
135,1,
136,0,
137,0,1.0
138,0,1.0
139,1,
140,1,
141,0,
142,1,0.0
143,0,
145,0,1.0
146,0,1.0
147,0,1.0
148,1,0.0
149,0,
150,1,0.0
151,0,
152,1,0.0
153,0,1.0
154,1,0.0
155,0,1.0
156,0,
157,1,0.0
158,1,0.0
160,0,1.0
161,0,
162,0,1.0
163,0,1.0
164,0,
165,0,1.0
166,1,0.0
168,1,0.0
169,1,
170,0,1.0
171,0,
172,0,
173,0,
174,0,1.0
175,1,
176,0,1.0
177,1,0.0
178,1,0.0
179,0,
180,1,
181,0,1.0
182,1,
183,1,
184,1,
185,0,
186,1,
187,1,
188,0,
189,0,
190,0,
191,0,1.0
192,1,0.0
194,0,
195,0,
196,0,
197,0,
198,1,0.0
199,1,0.0
200,1,
201,0,1.0
202,1,0.0
203,0,
204,1,
205,0,1.0
206,1,0.0
207,1,0.0
208,0,1.0
209,1,0.0
210,0,
211,0,1.0
212,0,
213,0,
214,0,
215,1,0.0
216,0,
217,1,
218,1,
219,1,
220,1,
221,0,1.0
222,0,1.0
225,0,1.0
226,1,0.0
227,1,0.0
228,0,
229,1,0.0
230,0,
231,0,1.0
232,1,0.0
233,1,0.0
234,0,
235,0,1.0
236,1,0.0
237,0,1.0
238,0,
239,1,
240,1,
241,0,1.0
242,0,1.0
243,0,
244,0,
245,0,1.0
246,0,
247,0,1.0
248,1,
249,1,
250,0,
251,1,0.0
252,0,
253,0,1.0
255,1,
256,0,
257,0,1.0
258,0,
259,1,0.0
260,0,1.0
261,0,1.0
262,0,1.0
263,0,1.0
264,0,1.0
265,0,
266,0,1.0
267,1,
268,0,1.0
269,1,0.0
270,1,0.0
271,0,1.0
272,0,
273,0,
274,1,0.0
275,1,0.0
276,0,
277,0,
279,1,0.0
280,1,
281,0,1.0
284,1,0.0
285,0,
286,1,0.0
287,1,
288,1,0.0
289,1,0.0
290,1,0.0
291,1,0.0
292,0,1.0
293,0,1.0
294,0,
295,1,
296,0,1.0
297,0,1.0
298,0,1.0
299,0,1.0
300,1,
301,0,1.0
303,1,0.0
304,1,0.0
305,1,0.0
306,1,0.0
307,0,
308,1,0.0
309,0,1.0
310,1,
312,0,
313,0,1.0
314,0,
317,0,1.0
318,0,1.0
319,1,
320,1,0.0
321,0,1.0
322,1,0.0
323,1,0.0
324,1,0.0
325,1,0.0
326,1,
327,0,1.0
328,1,
329,1,
330,1,0.0
331,1,0.0
332,0,1.0
333,1,0.0
334,1,0.0
335,1,0.0
337,1,
338,0,
339,0,1.0
340,0,1.0
341,1,
342,0,1.0
343,0,1.0
344,0,1.0
345,0,1.0
346,0,1.0
347,1,
348,0,
349,0,1.0
351,0,1.0
352,0,
353,0,
354,0,1.0
356,0,
357,1,
358,0,
359,1,0.0
360,1,0.0
361,0,1.0
362,0,
363,1,
364,0,1.0
365,0,
366,0,1.0
367,1,
368,0,1.0
370,1,0.0
371,1,
372,0,1.0
373,0,
374,0,
375,1,0.0
377,0,
378,0,
380,1,0.0
381,0,1.0
382,0,
383,1,
384,0,1.0
385,0,1.0
386,1,0.0
387,1,0.0
388,1,0.0
389,1,0.0
390,0,
391,0,
392,1,0.0
393,1,0.0
394,0,1.0
395,1,0.0
397,0,1.0
398,0,
