,0,1,2
1,Write-In cells: 0,,
2,Overvote cells: 193,,
3,NEHANDA IMARA: 0,,
4,MARCIE HODGE: 1,,
5,LARRY E. REID: 2,,
6,0,1.0,
7,2,,
8,2,1.0,0.0
9,2,1.0,0.0
10,2,,
12,2,0.0,1.0
13,1,0.0,2.0
14,2,,
15,2,0.0,
16,2,0.0,
17,0,1.0,
18,0,1.0,
19,2,1.0,0.0
20,1,0.0,2.0
21,2,1.0,0.0
22,1,0.0,2.0
23,2,,
24,1,2.0,0.0
25,1,2.0,0.0
27,2,,
28,2,1.0,
29,1,0.0,2.0
30,1,0.0,2.0
31,2,1.0,0.0
32,0,1.0,2.0
34,2,0.0,1.0
35,1,0.0,2.0
36,1,0.0,2.0
37,2,,
38,2,,
39,0,1.0,2.0
40,2,,
41,2,,
42,2,,
43,1,0.0,
44,2,,
45,2,,
46,2,,
47,2,0.0,1.0
48,2,,
50,1,0.0,2.0
52,1,0.0,2.0
53,0,1.0,2.0
54,0,,
55,2,1.0,0.0
56,0,1.0,2.0
57,1,0.0,2.0
58,2,,
59,2,,
60,2,,
61,0,1.0,2.0
62,2,0.0,1.0
63,2,,
64,2,1.0,0.0
65,2,,
66,2,,
67,0,2.0,1.0
68,2,0.0,1.0
69,2,0.0,1.0
70,2,1.0,0.0
71,1,0.0,2.0
72,1,2.0,0.0
73,1,2.0,0.0
74,2,,
75,2,1.0,0.0
76,2,1.0,
77,2,,
78,1,0.0,2.0
79,2,1.0,0.0
80,2,,
81,2,,
82,1,,
83,0,1.0,2.0
84,2,,
85,0,,
86,0,2.0,1.0
87,1,2.0,0.0
88,2,0.0,1.0
89,0,1.0,2.0
90,2,1.0,0.0
91,2,1.0,0.0
92,2,,
95,2,1.0,0.0
96,1,,
97,0,1.0,2.0
98,1,,
99,1,2.0,0.0
100,2,1.0,0.0
101,2,,
102,0,1.0,2.0
103,2,,
104,2,,
105,2,1.0,0.0
106,0,2.0,1.0
108,2,0.0,
109,2,,
110,2,0.0,1.0
111,1,2.0,0.0
112,1,,
113,2,,
114,1,,
115,1,2.0,
117,2,,
118,2,,
119,0,2.0,1.0
120,2,1.0,
121,2,1.0,0.0
122,2,1.0,0.0
123,0,,
124,1,,
126,2,0.0,1.0
127,0,,
128,0,,
129,1,0.0,2.0
130,1,2.0,0.0
131,2,0.0,1.0
132,2,0.0,1.0
133,2,1.0,0.0
134,2,1.0,0.0
135,2,1.0,
136,0,2.0,
137,0,,
138,2,1.0,0.0
139,2,0.0,1.0
140,1,2.0,
141,2,,
142,2,,
143,2,1.0,0.0
144,2,1.0,0.0
145,0,2.0,
146,2,0.0,1.0
147,2,0.0,
148,2,,
150,2,1.0,
151,2,1.0,0.0
152,1,,
153,1,0.0,2.0
154,1,0.0,2.0
155,0,1.0,
156,1,,
157,2,,
158,2,,
159,1,0.0,2.0
160,0,1.0,2.0
161,2,,
162,2,0.0,1.0
163,1,0.0,
165,1,,
166,0,,
167,1,0.0,2.0
168,2,,
169,0,1.0,2.0
170,2,,
171,2,1.0,0.0
172,2,,
173,0,,
174,2,1.0,0.0
175,1,0.0,
176,2,,
177,1,,
178,1,0.0,
179,0,,
180,0,,
181,2,1.0,0.0
182,2,1.0,0.0
