ballotID,precinctPortion,ballot_type,countingGroup,votingLocation,district,districtType,precinct,rank1,rank2,rank3,rank4,rank5
01011_00010_000614,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,"ROBERT ""BOB"" JACKSON",MARCIE HODGE,AARON CLAY,MARCHON TATMON,TREVA REID
01011_00010_000462,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,TREVA REID,"ROBERT ""BOB"" JACKSON",AARON CLAY,skipped,skipped
01011_00010_000456,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,"ROBERT ""BOB"" JACKSON",skipped,skipped,skipped,skipped
01011_00010_000373,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,MARCHON TATMON,TREVA REID,MARCIE HODGE,AARON CLAY,"ROBERT ""BOB"" JACKSON"
01011_00010_000372,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,"ROBERT ""BOB"" JACKSON",skipped,skipped,skipped,skipped
01011_00010_000323,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,AARON CLAY,MARCHON TATMON,TREVA REID,skipped,skipped
01011_00010_000245,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,TREVA REID,MARCIE HODGE,"ROBERT ""BOB"" JACKSON",AARON CLAY,MARCHON TATMON
01011_00010_000192,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,MARCIE HODGE,TREVA REID,AARON CLAY,MARCHON TATMON,"ROBERT ""BOB"" JACKSON"
01011_00010_000155,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,MARCHON TATMON,MARCIE HODGE,skipped,skipped,skipped
01011_00010_000095,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,"ROBERT ""BOB"" JACKSON",TREVA REID,MARCIE HODGE,skipped,skipped
01011_00010_000018,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,TREVA REID,MARCIE HODGE,"ROBERT ""BOB"" JACKSON",MARCHON TATMON,AARON CLAY
01011_00010_000701,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,"ROBERT ""BOB"" JACKSON",AARON CLAY,TREVA REID,MARCIE HODGE,MARCHON TATMON
01011_00010_000695,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,MARCHON TATMON,MARCIE HODGE,"ROBERT ""BOB"" JACKSON",TREVA REID,AARON CLAY
01011_00010_000269,400900,BT30,Vote by Mail,Election Office,AC Transit District,TRANSIT DISTRICTS 1,400900,"ROBERT ""BOB"" JACKSON",skipped,skipped,skipped,skipped
