precincts,tally_type,ballotID,rank1,rank2,rank3
245200,Vote by Mail - 400C,000027934,JOSEPH TANIOS,JOSEPH E. SIMMONS,skipped
245200,Vote by Mail - 400C,000027935,CHARLIE MICHELSON,NAYELI MAXSON,JOSEPH TANIOS
245200,Vote by Mail - 400C,000027936,SHENG THAO,PAM HARRIS,NAYELI MAXSON
245200,Vote by Mail - 400C,000027937,SHENG THAO,PAM HARRIS,MATT HUMMEL
245200,Vote by Mail - 400C,000027938,NAYELI MAXSON,NAYELI MAXSON,NAYELI MAXSON
245200,Vote by Mail - 400C,000027939,SHENG THAO,PAM HARRIS,NAYELI MAXSON
245200,Vote by Mail - 400C,000027940,CHARLIE MICHELSON,PAM HARRIS,SHENG THAO
245200,Vote by Mail - 400C,000027941,SHENG THAO,PAM HARRIS,skipped
245200,Vote by Mail - 400C,000027942,PAM HARRIS,PAM HARRIS,PAM HARRIS
245200,Vote by Mail - 400C,000027943,CHARLIE MICHELSON,skipped,skipped
245200,Vote by Mail - 400C,000027944,MATT HUMMEL,MATT HUMMEL,MATT HUMMEL
245200,Vote by Mail - 400C,000027945,CHARLIE MICHELSON,JOSEPH TANIOS,SHENG THAO
245200,Vote by Mail - 400C,000027946,SHENG THAO,NAYELI MAXSON,skipped
245200,Vote by Mail - 400C,000027947,PAM HARRIS,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000027948,PAM HARRIS,NAYELI MAXSON,SHENG THAO
245200,Vote by Mail - 400C,000027949,NAYELI MAXSON,MATT HUMMEL,PAM HARRIS
245200,Vote by Mail - 400C,000027950,PAM HARRIS,NAYELI MAXSON,skipped
245200,Vote by Mail - 400C,000027951,PAM HARRIS,NAYELI MAXSON,skipped
245200,Vote by Mail - 400C,000027952,SHENG THAO,PAM HARRIS,skipped
245200,Vote by Mail - 400C,000027953,PAM HARRIS,CHARLIE MICHELSON,NAYELI MAXSON
245200,Vote by Mail - 400C,000027954,skipped,skipped,skipped
245200,Vote by Mail - 400C,000027955,skipped,skipped,skipped
245200,Vote by Mail - 400C,000027956,skipped,skipped,skipped
245200,Vote by Mail - 400C,000027957,NAYELI MAXSON,PAM HARRIS,SHENG THAO
245200,Vote by Mail - 400C,000027958,SHENG THAO,NAYELI MAXSON,CHARLIE MICHELSON
245200,Vote by Mail - 400C,000027959,CHARLIE MICHELSON,JOSEPH E. SIMMONS,MATT HUMMEL
245200,Vote by Mail - 400C,000027960,NAYELI MAXSON,NAYELI MAXSON,NAYELI MAXSON
245200,Vote by Mail - 400C,000027961,MATT HUMMEL,NAYELI MAXSON,CHARLIE MICHELSON
245200,Vote by Mail - 400C,000027962,CHARLIE MICHELSON,JOSEPH TANIOS,skipped
245200,Vote by Mail - 400C,000027963,CHARLIE MICHELSON,skipped,skipped
245200,Vote by Mail - 400C,000027964,CHARLIE MICHELSON,PAM HARRIS,skipped
245200,Vote by Mail - 400C,000027965,JOSEPH TANIOS,CHARLIE MICHELSON,NAYELI MAXSON
245200,Vote by Mail - 400C,000027966,NAYELI MAXSON,skipped,skipped
245200,Vote by Mail - 400C,000027967,SHENG THAO,NAYELI MAXSON,PAM HARRIS
245200,Vote by Mail - 400C,000027968,CHARLIE MICHELSON,NAYELI MAXSON,SHENG THAO
245200,Vote by Mail - 400C,000027969,SHENG THAO,skipped,skipped
245200,Vote by Mail - 400C,000027970,CHARLIE MICHELSON,PAM HARRIS,NAYELI MAXSON
245200,Vote by Mail - 400C,000027971,SHENG THAO,skipped,skipped
245200,Vote by Mail - 400C,000027972,CHARLIE MICHELSON,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000027973,CHARLIE MICHELSON,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000027974,JOSEPH TANIOS,JOSEPH E. SIMMONS,skipped
245200,Vote by Mail - 400C,000027975,SHENG THAO,MATT HUMMEL,NAYELI MAXSON
245200,Vote by Mail - 400C,000027976,CHARLIE MICHELSON,CHARLIE MICHELSON,CHARLIE MICHELSON
245200,Vote by Mail - 400C,000027977,CHARLIE MICHELSON,MATT HUMMEL,JOSEPH TANIOS
245200,Vote by Mail - 400C,000027978,NAYELI MAXSON,SHENG THAO,PAM HARRIS
245200,Vote by Mail - 400C,000027979,CHARLIE MICHELSON,CHARLIE MICHELSON,CHARLIE MICHELSON
245200,Vote by Mail - 400C,000027980,CHARLIE MICHELSON,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000027981,CHARLIE MICHELSON,SHENG THAO,PAM HARRIS
245200,Vote by Mail - 400C,000027982,MATT HUMMEL,skipped,skipped
245200,Vote by Mail - 400C,000027983,SHENG THAO,skipped,SHENG THAO
245200,Vote by Mail - 400C,000027984,CHARLIE MICHELSON,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000027985,CHARLIE MICHELSON,SHENG THAO,NAYELI MAXSON
245200,Vote by Mail - 400C,000027986,SHENG THAO,PAM HARRIS,NAYELI MAXSON
245200,Vote by Mail - 400C,000027987,PAM HARRIS,JOSEPH TANIOS,NAYELI MAXSON
