ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,rank5
01014_00001_000531,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,KEVIN JENKINS,YAKPASUA MICHAEL GBAGBA ZAZABOI,KENNY SESSION,skipped,skipped
01014_00001_000525,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,KEVIN JENKINS,NANCY SIDEBOTHAM,YAKPASUA MICHAEL GBAGBA ZAZABOI,KENNY SESSION,skipped
01014_00001_000519,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,skipped,skipped,skipped,skipped,skipped
01014_00001_000409,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,KEVIN JENKINS,skipped,skipped,skipped,skipped
01014_00001_000321,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,YAKPASUA MICHAEL GBAGBA ZAZABOI,KEVIN JENKINS,KENNY SESSION,skipped,skipped
01014_00001_000047,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,NANCY SIDEBOTHAM,KEVIN JENKINS,skipped,skipped,skipped
01014_00001_000016,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,KEVIN JENKINS,NANCY SIDEBOTHAM,YAKPASUA MICHAEL GBAGBA ZAZABOI,KENNY SESSION,skipped
01014_00001_000498,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,overvote,skipped,skipped,skipped,skipped
01014_00001_000391,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,KEVIN JENKINS,skipped,skipped,skipped,skipped
01014_00001_000197,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,KEVIN JENKINS,KENNY SESSION,NANCY SIDEBOTHAM,skipped,skipped
01014_00001_000006,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,skipped,skipped,skipped,skipped,skipped
01014_00001_000585,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,KEVIN JENKINS,skipped,skipped,skipped,skipped
01014_00001_000388,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,skipped,skipped,skipped,skipped,skipped
01014_00001_000207,BT45,Vote by Mail,"AC Transit District, Ward #3",TRANSIT DISTRICTS 2,362600,362600,Election Office,skipped,skipped,skipped,skipped,skipped
