,0,1,2,3
1,Write-In cells: 406,,,
2,Overvote cells: 375,,,
3,MIKE HUTCHINSON: 0,,,
4,LEROY ROCHES GAINES: 1,,,
5,SHEILA POPE-LAWRENCE: 2,,,
6,JORGE C. LERMA: 3,,,
7,0,1.0,2.0,3.0
9,1,0.0,3.0,2.0
10,0,3.0,1.0,2.0
11,2,3.0,0.0,
12,1,2.0,,
13,1,,,
15,2,1.0,,
16,0,,,
17,1,0.0,2.0,3.0
18,1,0.0,2.0,3.0
19,1,0.0,2.0,3.0
20,0,,,
21,1,,,
22,1,0.0,2.0,3.0
23,0,,,
24,0,,,
25,1,0.0,2.0,3.0
26,2,,,
27,1,0.0,2.0,3.0
29,0,2.0,1.0,3.0
30,3,1.0,0.0,2.0
31,0,1.0,2.0,
32,3,1.0,0.0,2.0
33,1,0.0,3.0,2.0
34,1,2.0,,
35,1,0.0,3.0,2.0
36,0,,,
37,0,,,
38,0,1.0,2.0,3.0
39,1,3.0,2.0,0.0
40,1,2.0,3.0,0.0
41,1,0.0,2.0,
42,0,2.0,,
43,1,,,
44,3,0.0,2.0,1.0
45,0,2.0,,
46,2,1.0,3.0,
47,1,,,
48,1,0.0,2.0,3.0
49,1,0.0,2.0,3.0
50,1,0.0,2.0,3.0
51,0,,,
52,2,3.0,,
53,0,,,
55,1,0.0,,
56,1,,,
57,1,0.0,2.0,3.0
58,0,,,
59,0,2.0,1.0,
60,2,0.0,1.0,3.0
61,1,0.0,,
62,0,2.0,3.0,
63,1,2.0,3.0,0.0
64,1,2.0,3.0,
65,0,1.0,2.0,3.0
66,2,0.0,3.0,
67,1,,,
69,1,0.0,,
70,1,0.0,2.0,3.0
71,0,2.0,3.0,
72,0,2.0,3.0,
73,1,,,
74,1,,,
76,0,1.0,,
77,0,1.0,2.0,3.0
78,2,3.0,1.0,0.0
79,2,0.0,3.0,
80,1,0.0,2.0,3.0
81,1,2.0,3.0,
82,1,3.0,2.0,0.0
84,0,3.0,2.0,1.0
85,1,0.0,2.0,
87,1,,,
88,3,2.0,0.0,1.0
89,3,2.0,0.0,1.0
90,0,2.0,,
91,0,3.0,2.0,1.0
92,0,,,
93,3,2.0,0.0,
94,3,1.0,2.0,
95,1,3.0,2.0,0.0
96,2,3.0,1.0,0.0
97,0,1.0,2.0,
98,0,2.0,3.0,
100,0,,,
101,1,3.0,0.0,2.0
102,0,1.0,2.0,
103,0,1.0,,
104,2,0.0,,
105,0,2.0,3.0,1.0
106,1,3.0,0.0,2.0
107,1,,,
108,1,2.0,0.0,3.0
109,0,,,
110,1,0.0,,
111,1,0.0,2.0,3.0
112,1,0.0,2.0,3.0
113,1,3.0,0.0,2.0
114,2,1.0,,
115,0,1.0,,
116,0,2.0,1.0,
117,0,1.0,2.0,3.0
119,1,2.0,3.0,0.0
123,0,2.0,3.0,1.0
124,0,1.0,2.0,3.0
125,0,1.0,,
127,1,2.0,3.0,0.0
128,1,,,
129,2,0.0,1.0,
130,0,3.0,2.0,1.0
132,1,0.0,,
134,1,2.0,0.0,3.0
135,0,1.0,2.0,3.0
136,1,2.0,0.0,3.0
137,1,,,
138,3,1.0,2.0,0.0
139,1,3.0,0.0,2.0
140,0,1.0,2.0,3.0
141,0,1.0,2.0,3.0
142,0,3.0,1.0,
143,3,1.0,0.0,
144,0,2.0,3.0,1.0
145,2,3.0,0.0,1.0
146,3,,,
147,1,,,
148,0,1.0,2.0,3.0
150,1,2.0,3.0,0.0
151,2,,,
152,3,0.0,1.0,2.0
153,1,2.0,3.0,0.0
154,0,1.0,,
155,2,,,
156,2,0.0,,
157,0,,,
158,0,,,
159,0,3.0,1.0,2.0
160,0,1.0,2.0,3.0
161,3,0.0,2.0,1.0
162,1,,,
163,2,1.0,0.0,3.0
164,0,,,
165,2,0.0,3.0,1.0
166,1,,,
167,1,0.0,3.0,2.0
168,2,,,
169,1,2.0,0.0,3.0
170,1,2.0,3.0,0.0
171,3,2.0,0.0,1.0
172,0,1.0,2.0,3.0
173,0,3.0,2.0,
174,2,1.0,0.0,3.0
175,0,2.0,3.0,1.0
176,3,,,
177,0,1.0,2.0,3.0
178,1,0.0,2.0,3.0
179,0,2.0,1.0,3.0
180,1,2.0,3.0,0.0
181,2,,,
182,0,3.0,2.0,
183,0,1.0,3.0,2.0
184,0,1.0,3.0,2.0
185,0,2.0,3.0,
186,3,0.0,1.0,2.0
187,3,2.0,1.0,0.0
188,1,,,
189,0,2.0,3.0,1.0
190,0,3.0,,
191,3,2.0,1.0,0.0
192,1,,,
193,0,3.0,1.0,2.0
194,0,,,
195,3,1.0,0.0,2.0
196,0,,,
197,0,,,
198,0,,,
199,3,2.0,0.0,1.0
200,2,1.0,0.0,3.0
201,3,0.0,2.0,1.0
202,1,,,
203,0,,,
205,1,0.0,2.0,3.0
206,3,,,
207,2,0.0,1.0,3.0
208,2,3.0,0.0,1.0
209,1,3.0,2.0,0.0
210,0,,,
211,0,3.0,1.0,2.0
212,1,,,
213,2,,,
214,2,,,
215,1,,,
216,2,,,
217,0,,,
218,0,2.0,3.0,1.0
222,2,,,
223,1,,,
224,3,0.0,2.0,1.0
226,0,1.0,2.0,3.0
228,3,0.0,1.0,2.0
229,1,0.0,2.0,3.0
230,3,2.0,1.0,0.0
231,1,0.0,,
234,1,,,
235,2,1.0,0.0,3.0
238,0,1.0,,
239,1,3.0,2.0,0.0
243,3,0.0,1.0,2.0
244,0,1.0,,
245,3,0.0,2.0,1.0
246,1,3.0,2.0,
247,2,1.0,0.0,3.0
248,3,0.0,2.0,
252,2,0.0,,
253,3,0.0,1.0,2.0
255,0,2.0,,
258,0,1.0,,
259,3,2.0,0.0,1.0
260,0,1.0,,
261,0,1.0,,
262,2,1.0,0.0,3.0
264,0,2.0,3.0,
265,1,3.0,2.0,0.0
266,1,2.0,3.0,0.0
267,0,,,
268,1,3.0,2.0,
269,1,,,
270,3,2.0,1.0,0.0
272,1,2.0,3.0,0.0
273,0,3.0,2.0,1.0
274,1,0.0,2.0,
275,0,2.0,3.0,1.0
276,1,0.0,2.0,3.0
277,2,1.0,3.0,0.0
278,1,0.0,2.0,
280,3,0.0,1.0,2.0
281,1,0.0,,
282,2,1.0,3.0,0.0
283,1,3.0,0.0,2.0
284,0,1.0,2.0,3.0
285,0,,,
286,0,2.0,1.0,3.0
288,0,,,
289,3,2.0,1.0,0.0
