,0,1
1,Write-In cells: 1590,
2,Overvote cells: 85,
3,ALICE A. SPEARMAN: 0,
4,JAMES HARRIS: 1,
5,0,
6,0,
7,1,
8,1,
9,0,
10,0,
11,1,0.0
12,1,0.0
13,0,
14,0,
15,0,1.0
16,0,1.0
17,0,
18,1,
19,0,1.0
20,0,1.0
21,1,
22,0,1.0
23,1,
24,1,
25,0,1.0
26,1,0.0
27,0,
28,0,
29,0,
30,1,0.0
31,0,
32,1,0.0
33,1,0.0
35,0,1.0
36,0,1.0
37,1,
38,0,
39,1,0.0
40,0,1.0
41,0,1.0
42,1,
43,1,
44,1,
45,0,
46,0,
47,1,0.0
48,1,
49,1,0.0
50,1,0.0
51,0,1.0
52,1,0.0
53,1,0.0
54,0,1.0
55,1,0.0
56,1,0.0
57,1,
58,0,1.0
59,0,
60,1,
61,0,
62,1,0.0
63,0,
64,1,0.0
65,1,0.0
66,1,
67,1,0.0
68,0,1.0
69,1,
70,0,1.0
71,0,
73,0,1.0
74,0,1.0
75,1,0.0
76,1,0.0
78,1,0.0
79,0,1.0
80,1,0.0
81,0,1.0
82,1,
83,1,0.0
85,0,
86,1,0.0
87,1,
88,1,0.0
90,0,1.0
91,1,
92,0,1.0
93,0,1.0
94,0,
95,0,1.0
96,0,1.0
97,0,
98,1,0.0
99,0,1.0
100,1,
101,0,
102,0,1.0
103,0,1.0
104,0,
105,0,
106,1,
107,0,
108,0,
109,0,1.0
110,1,
111,1,
112,1,
113,1,
114,0,
115,0,
116,1,0.0
117,0,1.0
118,1,
119,0,
120,1,0.0
121,1,0.0
122,0,1.0
123,0,
124,1,
125,1,
126,1,
127,0,1.0
128,1,0.0
129,0,
130,1,
131,0,
132,0,1.0
133,1,
134,0,1.0
135,0,1.0
137,0,
138,1,0.0
139,0,1.0
140,0,
141,1,0.0
142,1,0.0
143,1,0.0
144,0,1.0
145,0,1.0
146,0,1.0
147,0,
148,1,
149,1,
150,1,0.0
151,0,1.0
152,0,1.0
153,1,
155,0,1.0
156,0,
157,0,1.0
158,1,
159,1,0.0
160,1,0.0
161,0,
163,1,
164,1,
165,1,
166,1,0.0
167,0,1.0
168,0,1.0
169,1,
170,0,1.0
171,0,1.0
172,1,
173,1,0.0
174,0,
175,1,0.0
176,0,
177,0,1.0
178,1,
179,0,
180,1,
181,0,
182,0,
184,0,1.0
185,0,1.0
186,1,
187,1,
188,0,
189,1,
190,0,1.0
191,0,
192,0,1.0
194,0,
195,1,0.0
196,1,0.0
197,0,
198,1,
199,0,
200,0,1.0
201,1,
202,0,
203,0,1.0
204,1,0.0
205,1,0.0
206,0,
207,1,0.0
208,0,1.0
209,1,0.0
210,1,
211,1,
212,0,
213,0,1.0
214,0,
216,1,0.0
217,1,0.0
218,1,
219,0,
222,0,
223,0,
224,1,
225,1,0.0
226,0,1.0
227,0,
228,1,
229,0,
230,1,0.0
231,0,
232,1,0.0
233,0,1.0
234,0,
235,1,0.0
236,1,0.0
237,0,1.0
238,0,1.0
239,1,0.0
240,1,
241,1,0.0
242,1,
243,0,1.0
244,1,0.0
245,0,
246,0,1.0
247,0,
248,1,0.0
250,1,0.0
251,0,
252,0,1.0
253,0,
254,1,
255,0,
256,1,0.0
257,1,0.0
258,0,
259,0,1.0
260,1,
261,0,
262,0,
263,0,1.0
264,1,
265,0,
266,0,
267,1,
268,0,
269,0,1.0
270,1,
271,0,1.0
272,0,1.0
273,1,
274,1,
275,0,1.0
276,1,
277,0,
278,0,
279,1,
280,1,
281,1,0.0
282,1,
283,1,0.0
284,0,
285,0,
286,1,0.0
288,0,
289,0,
290,0,
291,1,
292,1,
293,1,
294,0,
295,1,
296,1,
297,0,
298,0,1.0
299,1,0.0
300,0,
301,0,1.0
302,1,0.0
303,1,0.0
304,0,1.0
305,0,1.0
306,0,
307,0,
309,0,
310,1,
311,1,0.0
312,0,1.0
314,0,
315,1,0.0
316,0,
317,0,
318,0,1.0
319,0,1.0
320,1,
321,1,0.0
322,0,1.0
323,1,
324,1,0.0
325,0,
327,1,0.0
329,1,
330,0,
331,1,0.0
332,1,0.0
333,0,
334,1,0.0
335,1,0.0
336,1,
337,1,
339,1,
340,1,0.0
341,0,
342,0,1.0
343,1,0.0
344,1,
345,0,
346,0,
347,0,1.0
348,1,0.0
349,1,0.0
350,1,
351,1,
352,1,
353,1,0.0
354,1,0.0
355,1,
357,1,
358,1,0.0
359,1,
360,1,0.0
361,1,0.0
362,1,0.0
363,1,0.0
364,1,
365,1,
366,1,
367,1,0.0
368,1,
369,1,
370,1,
371,0,1.0
372,0,1.0
373,0,
374,1,0.0
375,0,1.0
376,0,
377,0,
378,0,
379,1,
380,0,1.0
381,1,
382,0,1.0
383,1,0.0
384,1,0.0
385,1,0.0
386,0,
387,0,1.0
388,0,1.0
389,1,
390,0,1.0
391,0,1.0
392,1,0.0
393,1,0.0
394,0,
395,1,
396,1,0.0
397,0,
398,0,1.0
399,1,
400,1,
401,0,
402,1,
403,0,
404,1,
405,0,
406,0,
407,1,0.0
408,1,
409,0,1.0
410,1,
411,0,
412,1,0.0
413,1,
415,0,1.0
416,1,0.0
417,1,0.0
418,1,0.0
419,1,0.0
420,0,1.0
421,0,
422,1,0.0
423,1,
426,1,
427,0,
428,0,
430,0,1.0
431,1,0.0
432,0,
433,1,
434,1,
435,0,1.0
436,0,1.0
437,0,
438,1,
439,0,1.0
441,1,
442,1,0.0
444,0,1.0
447,1,0.0
448,1,0.0
449,1,
450,1,
