,0,1,2,3
1,Write-In cells: 0,,,
2,Overvote cells: 205,,,
3,HUBER TRENADO: 0,,,
4,MIKE HUTCHINSON: 1,,,
5,ROSIE TORRES: 2,,,
6,MIKE HASSID: 3,,,
7,0,,,
8,1,,,
9,1,2.0,0.0,
10,2,0.0,3.0,
13,0,2.0,3.0,
14,1,,,
15,3,0.0,1.0,
16,0,2.0,3.0,
17,0,3.0,2.0,
18,3,0.0,,
19,2,3.0,0.0,
20,0,3.0,2.0,
21,0,1.0,2.0,
22,3,0.0,2.0,
23,2,0.0,3.0,
24,3,0.0,,
25,1,2.0,,
26,3,0.0,2.0,
27,2,1.0,,
28,2,1.0,0.0,
29,0,,,
30,2,0.0,,
31,0,3.0,,
32,3,0.0,1.0,
33,2,,,
34,0,,,
35,0,,,
36,2,0.0,3.0,
37,1,2.0,3.0,
39,2,,,
40,0,3.0,2.0,
41,2,0.0,3.0,
42,1,0.0,2.0,
43,0,3.0,,
44,1,2.0,0.0,
45,0,2.0,,
46,0,3.0,1.0,
47,2,,,
48,3,0.0,1.0,
49,3,0.0,1.0,
50,3,2.0,0.0,
52,2,3.0,,
53,1,2.0,3.0,
54,0,,,
55,3,,,
58,2,1.0,,
59,0,,,
60,1,2.0,0.0,
61,2,,,
62,1,3.0,2.0,
63,3,0.0,1.0,
64,1,0.0,2.0,
65,3,0.0,2.0,
66,0,2.0,1.0,
68,2,0.0,3.0,
69,2,1.0,3.0,
70,2,,,
71,0,,,
72,2,,,
73,0,,,
74,2,,,
76,1,2.0,0.0,
77,2,,,
78,0,2.0,3.0,
79,0,,,
80,0,2.0,3.0,
81,1,2.0,0.0,
82,0,1.0,2.0,
83,2,3.0,0.0,
84,0,2.0,,
85,2,0.0,3.0,
86,0,2.0,3.0,
87,2,3.0,0.0,
88,0,1.0,2.0,
89,3,0.0,1.0,
92,2,0.0,1.0,
93,2,3.0,0.0,
94,3,,,
95,2,3.0,,
96,3,0.0,2.0,
97,0,2.0,3.0,
99,3,2.0,0.0,
100,0,2.0,1.0,
101,2,0.0,3.0,
102,2,0.0,,
105,2,1.0,3.0,
106,0,2.0,3.0,
107,1,3.0,0.0,
108,2,,,
109,2,0.0,1.0,
110,2,1.0,0.0,
111,1,3.0,2.0,
112,1,0.0,,
113,3,2.0,1.0,
114,0,3.0,,
115,1,2.0,0.0,
116,0,1.0,,
118,2,0.0,1.0,
120,1,,,
121,2,,,
122,2,1.0,0.0,
124,0,2.0,3.0,
125,2,,,
126,0,2.0,1.0,
127,2,0.0,3.0,
128,0,2.0,3.0,
129,2,3.0,0.0,
130,2,3.0,1.0,
131,0,,,
132,0,2.0,1.0,
133,2,0.0,3.0,
134,3,0.0,2.0,
135,1,3.0,2.0,
136,3,2.0,0.0,
137,2,0.0,3.0,
138,0,,,
139,2,,,
140,0,3.0,2.0,
141,2,,,
142,2,,,
143,0,2.0,1.0,
144,0,3.0,,
145,3,0.0,2.0,
147,2,0.0,,
148,2,3.0,1.0,
149,2,3.0,1.0,
150,2,3.0,1.0,
151,2,,,
152,3,2.0,0.0,
153,0,,,
154,2,3.0,,
155,2,0.0,3.0,
156,1,0.0,2.0,
157,0,3.0,2.0,
159,0,3.0,,
160,0,1.0,2.0,
162,1,3.0,0.0,
163,1,3.0,0.0,
164,3,1.0,2.0,
165,1,2.0,,
167,2,,,
168,0,2.0,1.0,
170,2,0.0,3.0,
171,1,,,
172,0,,,
173,1,2.0,,
174,1,,,
175,1,,,
176,3,0.0,,
177,2,,,
178,3,0.0,2.0,
179,2,3.0,0.0,
180,2,3.0,,
181,3,2.0,,
182,2,,,
183,2,0.0,1.0,
184,1,2.0,0.0,
185,0,,,
186,1,2.0,0.0,
187,1,,,
188,0,,,
189,0,2.0,3.0,
190,1,,,
191,1,2.0,3.0,
192,0,,,
193,2,0.0,1.0,
194,0,3.0,2.0,
196,0,2.0,1.0,
197,2,,,
198,1,2.0,,
199,3,2.0,0.0,
200,0,2.0,3.0,
201,2,3.0,0.0,
202,0,,,
203,0,2.0,3.0,
205,2,1.0,,
206,2,,,
207,0,2.0,3.0,
208,1,2.0,0.0,
209,0,1.0,2.0,
210,1,2.0,,
211,2,0.0,3.0,
213,2,0.0,3.0,
215,1,2.0,3.0,
216,2,3.0,0.0,
217,2,0.0,,
218,2,,,
219,2,,,
220,0,,,
221,2,,,
222,0,,,
223,2,,,
224,3,0.0,2.0,
227,3,0.0,2.0,
228,2,0.0,,
229,0,2.0,3.0,
231,0,2.0,3.0,
233,1,2.0,0.0,
234,2,0.0,1.0,
235,2,0.0,3.0,
236,0,2.0,3.0,
237,0,2.0,3.0,
238,0,3.0,,
239,1,2.0,,
240,1,,,
