ballotID,precinctPortion,ballot_type,countingGroup,votingLocation,district,districtType,precinct,rank1,rank2,rank3,rank4,rank5
01003_00001_000653,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,MIKE HUTCHINSON,LEROY ROCHES GAINES,SHEILA POPE-LAWRENCE,JORGE C. LERMA,skipped
01003_00001_000647,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,skipped,skipped,skipped,skipped,skipped
01003_00001_000641,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,LEROY ROCHES GAINES,MIKE HUTCHINSON,JORGE C. LERMA,SHEILA POPE-LAWRENCE,skipped
01003_00001_000557,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,MIKE HUTCHINSON,JORGE C. LERMA,LEROY ROCHES GAINES,SHEILA POPE-LAWRENCE,skipped
01003_00001_000551,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,SHEILA POPE-LAWRENCE,JORGE C. LERMA,MIKE HUTCHINSON,skipped,skipped
01003_00001_000455,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,LEROY ROCHES GAINES,SHEILA POPE-LAWRENCE,skipped,skipped,skipped
01003_00001_000240,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,LEROY ROCHES GAINES,skipped,skipped,skipped,skipped
01003_00001_000182,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,skipped,skipped,skipped,skipped,skipped
01003_00001_000081,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,SHEILA POPE-LAWRENCE,LEROY ROCHES GAINES,skipped,skipped,skipped
01003_00001_000713,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,MIKE HUTCHINSON,skipped,skipped,skipped,skipped
01003_00001_000707,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,LEROY ROCHES GAINES,MIKE HUTCHINSON,SHEILA POPE-LAWRENCE,JORGE C. LERMA,skipped
01003_00001_000509,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,LEROY ROCHES GAINES,MIKE HUTCHINSON,SHEILA POPE-LAWRENCE,JORGE C. LERMA,skipped
01003_00001_000503,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,LEROY ROCHES GAINES,MIKE HUTCHINSON,SHEILA POPE-LAWRENCE,JORGE C. LERMA,skipped
01003_00001_000362,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,MIKE HUTCHINSON,skipped,skipped,skipped,skipped
01003_00001_000270,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,LEROY ROCHES GAINES,skipped,skipped,skipped,skipped
01003_00001_000264,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,LEROY ROCHES GAINES,MIKE HUTCHINSON,SHEILA POPE-LAWRENCE,JORGE C. LERMA,skipped
01003_00001_000204,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,MIKE HUTCHINSON,skipped,skipped,skipped,skipped
01003_00001_000170,224200,BT28,Vote by Mail,Election Office,"AC Transit District, Ward #2",TRANSIT DISTRICTS 2,224200,MIKE HUTCHINSON,skipped,skipped,skipped,skipped
