precincts,tally_type,ballotID,rank1,rank2,rank3
362110,Vote by Mail - 400C,000029071,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029072,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029073,SHANTHI GONZALES,skipped,skipped
362110,Vote by Mail - 400C,000029074,skipped,skipped,skipped
362110,Vote by Mail - 400C,000029075,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029076,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029077,SHANTHI GONZALES,skipped,skipped
362110,Vote by Mail - 400C,000029078,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029079,SHANTHI GONZALES,skipped,skipped
362110,Vote by Mail - 400C,000029080,skipped,skipped,skipped
362110,Vote by Mail - 400C,000029081,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029082,SHANTHI GONZALES,skipped,skipped
362110,Vote by Mail - 400C,000029083,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029084,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029085,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029086,SHANTHI GONZALES,SHANTHI GONZALES,skipped
362110,Vote by Mail - 400C,000029087,skipped,skipped,skipped
362110,Vote by Mail - 400C,000029088,SHANTHI GONZALES,skipped,skipped
362110,Vote by Mail - 400C,000029089,SHANTHI GONZALES,skipped,skipped
362110,Vote by Mail - 400C,000029090,SHANTHI GONZALES,skipped,skipped
362110,Vote by Mail - 400C,000029091,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029092,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029093,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029094,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029095,SHANTHI GONZALES,skipped,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029096,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029097,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029098,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029099,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
362110,Vote by Mail - 400C,000029100,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029101,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029102,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029103,skipped,skipped,skipped
363100,Vote by Mail - 400C,000029104,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029105,skipped,skipped,skipped
363100,Vote by Mail - 400C,000029106,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029107,SHANTHI GONZALES,skipped,skipped
363100,Vote by Mail - 400C,000029108,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029109,skipped,skipped,skipped
363100,Vote by Mail - 400C,000029110,skipped,skipped,skipped
363100,Vote by Mail - 400C,000029111,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029112,SHANTHI GONZALES,skipped,skipped
363100,Vote by Mail - 400C,000029113,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029114,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029115,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029116,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029117,SHANTHI GONZALES,skipped,skipped
363100,Vote by Mail - 400C,000029118,skipped,skipped,skipped
363100,Vote by Mail - 400C,000029119,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
363100,Vote by Mail - 400C,000029120,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES
