,0,1,2
1,Write-In cells: 541,,
2,Overvote cells: 157,,
3,SAM DAVIS: 0,,
4,STACY THOMAS: 1,,
5,AUSTIN DANNHAUS: 2,,
6,0,1.0,2.0
7,0,2.0,1.0
8,0,,
9,2,1.0,0.0
10,2,0.0,1.0
11,2,0.0,1.0
12,2,0.0,1.0
13,0,1.0,2.0
14,0,2.0,1.0
15,0,2.0,1.0
16,1,0.0,
17,1,0.0,
18,1,0.0,
19,2,0.0,
20,0,1.0,2.0
21,0,,
23,0,2.0,1.0
24,2,0.0,1.0
26,2,0.0,1.0
27,0,2.0,1.0
28,0,2.0,1.0
29,2,0.0,
30,1,0.0,2.0
31,1,0.0,
32,0,,
33,0,,
34,2,0.0,1.0
35,0,2.0,1.0
36,0,2.0,
37,0,1.0,2.0
38,0,1.0,2.0
41,2,1.0,0.0
42,1,,
43,2,1.0,0.0
44,1,0.0,
46,2,,
47,0,2.0,
48,0,,
49,1,0.0,
50,0,1.0,2.0
51,1,,
52,1,0.0,2.0
53,0,2.0,1.0
54,2,0.0,1.0
55,0,2.0,
56,0,,
57,0,2.0,
58,0,1.0,
59,1,,
60,0,1.0,2.0
62,0,,
63,2,0.0,1.0
64,2,1.0,0.0
65,2,,
66,0,2.0,1.0
67,0,2.0,1.0
68,2,0.0,1.0
69,2,0.0,1.0
70,2,0.0,
71,1,0.0,
72,0,2.0,1.0
73,0,1.0,2.0
74,2,0.0,1.0
76,0,2.0,1.0
77,0,,
78,2,0.0,1.0
79,2,,
80,2,0.0,1.0
82,1,0.0,
84,1,2.0,0.0
85,2,0.0,1.0
86,1,0.0,
87,2,0.0,1.0
89,0,2.0,1.0
90,0,,
91,2,1.0,0.0
92,0,2.0,1.0
93,0,,
94,2,0.0,
95,1,0.0,2.0
96,2,0.0,1.0
97,2,0.0,1.0
98,0,1.0,2.0
100,0,2.0,1.0
101,0,2.0,1.0
102,0,2.0,1.0
103,0,2.0,1.0
104,0,1.0,2.0
105,0,2.0,
106,1,0.0,2.0
108,0,1.0,
109,0,1.0,
110,2,1.0,0.0
113,2,0.0,1.0
115,2,0.0,
116,0,2.0,1.0
117,1,,
118,0,,
119,0,1.0,
120,2,,
121,0,1.0,
122,1,2.0,0.0
123,0,,
125,0,2.0,1.0
126,2,1.0,0.0
127,2,0.0,1.0
128,2,,
129,2,1.0,
131,1,0.0,2.0
132,0,1.0,
133,0,1.0,2.0
134,2,0.0,1.0
135,0,1.0,2.0
137,0,2.0,1.0
138,2,0.0,1.0
139,1,0.0,
140,0,,
141,0,2.0,
142,2,0.0,1.0
143,0,1.0,2.0
144,0,2.0,
145,0,,
147,0,2.0,1.0
148,0,2.0,1.0
149,2,1.0,0.0
150,1,0.0,2.0
151,2,0.0,1.0
152,2,0.0,1.0
153,2,,
154,0,2.0,1.0
155,0,1.0,2.0
156,1,0.0,
157,0,1.0,2.0
158,0,,
159,0,1.0,2.0
161,2,0.0,1.0
162,0,,
164,0,2.0,1.0
165,2,0.0,1.0
166,2,0.0,1.0
168,0,,
169,0,1.0,2.0
171,0,,
172,2,,
173,2,,
174,0,2.0,1.0
175,0,1.0,2.0
176,0,2.0,1.0
177,0,2.0,1.0
179,2,,
180,0,2.0,
182,0,2.0,1.0
184,0,1.0,2.0
