,0,1,2,3,4
1,Write-In cells: 579,,,,
2,Overvote cells: 643,,,,
3,VANCEDRIC WILLIAMS: 0,,,,
4,CHERISSE GASH: 1,,,,
5,MAIYA EDGERLY: 2,,,,
6,MAXIMO SANTANA: 3,,,,
7,MARK HURTY: 4,,,,
8,0,1.0,2.0,3.0,4.0
9,4,,,,
10,4,2.0,3.0,0.0,1.0
11,2,1.0,3.0,0.0,4.0
12,4,2.0,0.0,1.0,3.0
13,2,4.0,0.0,,
14,2,0.0,4.0,1.0,3.0
15,4,2.0,,,
16,0,2.0,,,
17,0,1.0,3.0,2.0,4.0
18,2,4.0,1.0,3.0,0.0
19,1,0.0,,,
20,1,3.0,2.0,0.0,4.0
21,0,1.0,,,
22,1,0.0,2.0,4.0,3.0
23,0,4.0,,,
24,1,0.0,3.0,2.0,4.0
25,4,0.0,3.0,,
26,1,0.0,,,
27,1,0.0,,,
28,2,1.0,3.0,4.0,0.0
29,1,0.0,,,
30,0,,,,
31,4,2.0,0.0,3.0,
32,0,,,,
33,1,0.0,,,
34,0,,,,
35,0,1.0,3.0,2.0,4.0
36,3,2.0,0.0,4.0,1.0
38,2,0.0,,,
39,0,4.0,,,
40,3,,,,
41,0,,,,
42,4,3.0,0.0,2.0,1.0
43,0,,,,
44,3,1.0,0.0,2.0,4.0
45,0,2.0,3.0,1.0,4.0
47,0,,,,
48,1,3.0,2.0,0.0,4.0
49,0,3.0,2.0,1.0,4.0
50,3,0.0,4.0,2.0,1.0
51,0,,,,
52,3,,,,
53,1,,,,
54,0,2.0,4.0,3.0,1.0
55,4,,,,
56,1,,,,
57,3,,,,
58,0,,,,
59,2,,,,
60,1,0.0,,,
61,0,4.0,,,
62,1,0.0,,,
63,2,0.0,3.0,4.0,1.0
64,0,,,,
65,2,0.0,3.0,,
66,1,0.0,3.0,2.0,
67,0,2.0,4.0,3.0,
69,0,,,,
70,4,2.0,,,
71,3,0.0,1.0,,
72,0,4.0,1.0,3.0,2.0
