,0,1,2,3
1,Write-In cells: 0,,,
2,Overvote cells: 80,,,
3,SALEEM SHAKIR-GILMORE: 0,,,
4,CHERI SPIGNER: 1,,,
5,NINA SENN: 2,,,
6,KARL DEBRO: 3,,,
7,0,1.0,2.0,
8,2,3.0,,
9,0,1.0,2.0,
10,2,1.0,,
11,2,0.0,3.0,
12,2,,,
13,3,0.0,1.0,
14,2,3.0,1.0,
15,1,3.0,0.0,
17,3,2.0,1.0,
18,2,,,
20,0,3.0,1.0,
21,2,3.0,1.0,
22,2,0.0,,
23,2,1.0,3.0,
24,3,0.0,1.0,
26,3,1.0,2.0,
27,1,2.0,0.0,
28,0,1.0,,
30,0,2.0,3.0,
33,2,3.0,0.0,
34,2,0.0,,
36,2,,,
37,0,2.0,3.0,
38,3,2.0,,
39,1,3.0,0.0,
41,2,0.0,1.0,
42,2,3.0,0.0,
43,3,1.0,2.0,
44,0,2.0,,
46,0,3.0,2.0,
47,3,1.0,2.0,
49,2,,,
50,1,,,
51,3,,,
52,2,0.0,,
53,0,2.0,3.0,
55,3,0.0,2.0,
56,2,3.0,1.0,
57,0,1.0,,
58,3,,,
59,1,,,
60,1,3.0,2.0,
61,2,1.0,0.0,
63,2,0.0,,
65,3,2.0,,
66,0,2.0,1.0,
67,2,0.0,3.0,
68,2,0.0,3.0,
69,3,2.0,1.0,
70,2,0.0,,
71,2,,,
74,3,0.0,2.0,
76,3,,,
77,3,2.0,0.0,
78,2,1.0,3.0,
79,2,0.0,3.0,
80,2,3.0,,
81,1,0.0,3.0,
82,2,0.0,,
83,2,3.0,0.0,
84,1,2.0,0.0,
85,0,3.0,1.0,
86,1,2.0,,
87,2,3.0,1.0,
88,3,,,
89,0,,,
93,2,3.0,,
94,3,2.0,,
95,3,0.0,2.0,
96,2,3.0,,
97,0,3.0,1.0,
98,0,3.0,2.0,
99,2,0.0,1.0,
100,2,,,
101,0,2.0,3.0,
102,2,1.0,0.0,
103,3,0.0,2.0,
105,2,0.0,3.0,
106,1,3.0,,
107,0,3.0,2.0,
108,3,,,
109,2,3.0,,
110,3,0.0,2.0,
111,1,2.0,0.0,
113,0,,,
114,2,0.0,,
115,0,,,
116,2,3.0,0.0,
117,3,2.0,,
118,3,,,
119,2,0.0,,
120,0,2.0,,
122,0,3.0,2.0,
123,2,0.0,3.0,
124,0,,,
125,1,,,
126,3,1.0,2.0,
128,1,3.0,,
129,3,2.0,,
130,3,2.0,,
132,1,3.0,2.0,
133,3,0.0,2.0,
134,2,1.0,0.0,
135,2,0.0,3.0,
136,2,3.0,1.0,
137,2,,,
139,2,3.0,1.0,
140,3,2.0,,
141,2,3.0,1.0,
143,2,0.0,3.0,
144,3,0.0,2.0,
147,3,,,
148,2,3.0,0.0,
149,3,1.0,2.0,
150,1,,,
151,1,,,
155,2,,,
156,2,3.0,,
157,1,3.0,,
158,1,,,
159,3,0.0,2.0,
160,3,2.0,0.0,
161,2,0.0,1.0,
162,0,3.0,2.0,
163,1,2.0,3.0,
164,0,,,
166,0,2.0,1.0,
167,0,2.0,3.0,
168,2,1.0,3.0,
169,2,0.0,3.0,
170,3,,,
172,2,0.0,3.0,
174,0,2.0,,
176,0,,,
177,0,3.0,,
178,3,,,
179,2,1.0,3.0,
180,2,1.0,3.0,
181,2,3.0,1.0,
182,2,,,
183,0,,,
184,2,,,
185,0,2.0,1.0,
186,2,,,
188,3,,,
189,0,1.0,2.0,
190,3,,,
192,3,2.0,,
193,3,,,
194,2,,,
195,0,,,
196,0,2.0,1.0,
197,0,2.0,1.0,
198,2,3.0,,
199,0,2.0,3.0,
200,3,1.0,0.0,
203,3,2.0,,
204,3,2.0,0.0,
205,2,1.0,,
206,1,3.0,0.0,
207,0,2.0,1.0,
209,3,,,
210,3,,,
211,0,2.0,,
214,2,3.0,,
215,1,3.0,0.0,
216,0,2.0,3.0,
217,3,,,
218,0,2.0,,
220,2,0.0,,
221,0,1.0,3.0,
222,2,3.0,0.0,
225,1,,,
226,3,,,
227,2,3.0,0.0,
230,2,,,
231,2,3.0,1.0,
232,2,3.0,1.0,
233,3,,,
234,2,,,
235,0,3.0,2.0,
236,2,,,
241,3,,,
242,2,3.0,,
243,2,3.0,,
244,2,3.0,,
245,2,,,
247,1,2.0,3.0,
248,1,3.0,2.0,
249,0,1.0,2.0,
250,1,2.0,3.0,
252,2,3.0,,
253,3,,,
254,2,3.0,,
256,3,0.0,,
257,0,3.0,2.0,
258,2,,,
259,2,3.0,0.0,
260,2,,,
261,3,,,
262,0,3.0,,
263,0,3.0,1.0,
264,2,3.0,0.0,
265,3,,,
267,3,2.0,1.0,
269,3,0.0,2.0,
270,3,1.0,2.0,
271,3,1.0,2.0,
272,1,3.0,0.0,
273,1,3.0,0.0,
275,2,3.0,0.0,
276,1,0.0,2.0,
277,0,2.0,1.0,
278,3,2.0,,
279,2,0.0,1.0,
280,3,2.0,1.0,
284,2,3.0,,
285,3,0.0,2.0,
286,2,,,
287,2,3.0,,
288,2,0.0,,
289,3,2.0,,
290,3,,,
292,2,0.0,1.0,
293,3,0.0,2.0,
300,0,3.0,2.0,
301,3,2.0,0.0,
302,3,2.0,1.0,
303,3,,,
304,3,,,
306,3,2.0,0.0,
307,2,3.0,1.0,
308,3,2.0,1.0,
309,0,2.0,,
310,2,1.0,3.0,
311,3,2.0,0.0,
312,1,2.0,3.0,
313,2,0.0,,
314,3,,,
315,3,0.0,,
316,3,,,
317,3,2.0,0.0,
318,2,,,
319,2,,,
322,3,0.0,2.0,
323,3,0.0,2.0,
324,3,0.0,2.0,
325,3,1.0,2.0,
326,1,2.0,3.0,
327,3,2.0,,
328,2,3.0,1.0,
329,2,,,
330,3,1.0,2.0,
331,2,,,
332,3,,,
333,3,0.0,,
334,2,,,
337,3,2.0,,
338,2,0.0,,
339,3,1.0,,
340,3,1.0,2.0,
341,3,1.0,2.0,
343,0,,,
344,3,0.0,2.0,
345,3,0.0,2.0,
346,3,0.0,2.0,
347,3,2.0,1.0,
348,3,2.0,0.0,
349,0,3.0,2.0,
350,3,1.0,2.0,
351,3,2.0,0.0,
352,3,,,
354,3,2.0,,
356,2,3.0,0.0,
357,3,0.0,2.0,
358,0,2.0,,
359,3,0.0,1.0,
361,2,,,
362,3,0.0,,
363,2,1.0,3.0,
364,0,3.0,2.0,
365,2,3.0,1.0,
366,2,3.0,0.0,
367,1,,,
368,2,3.0,0.0,
369,2,,,
371,3,0.0,2.0,
372,3,1.0,2.0,
373,3,,,
374,3,,,
375,3,0.0,,
376,0,,,
377,2,1.0,,
378,3,2.0,0.0,
379,1,3.0,2.0,
380,3,,,
381,3,,,
382,3,2.0,1.0,
384,1,2.0,,
385,0,2.0,,
386,0,,,
387,1,,,
388,3,,,
389,3,,,
390,2,3.0,0.0,
394,3,2.0,,
395,0,3.0,1.0,
396,2,3.0,,
397,3,,,
398,3,1.0,2.0,
399,1,3.0,2.0,
400,3,,,
401,3,,,
403,3,1.0,,
404,3,2.0,1.0,
405,0,3.0,1.0,
406,2,,,
408,3,2.0,,
409,3,,,
410,2,3.0,0.0,
411,3,2.0,0.0,
413,2,3.0,1.0,
414,0,2.0,,
418,3,2.0,1.0,
419,0,3.0,2.0,
423,2,,,
425,0,1.0,,
427,2,3.0,,
428,3,2.0,0.0,
429,2,,,
430,0,3.0,,
433,2,3.0,0.0,
434,2,,,
435,3,2.0,0.0,
436,2,,,
437,3,2.0,0.0,
438,3,2.0,0.0,
441,0,3.0,2.0,
442,3,,,
443,2,3.0,,
444,2,3.0,,
445,2,,,
448,2,0.0,1.0,
450,0,3.0,1.0,
452,2,,,
453,2,3.0,0.0,
454,2,3.0,,
455,3,,,
456,3,1.0,2.0,
457,2,3.0,0.0,
460,2,1.0,3.0,
461,2,3.0,0.0,
462,1,,,
464,1,2.0,,
465,3,2.0,,
466,2,0.0,3.0,
467,1,,,
468,2,0.0,,
469,2,,,
470,3,0.0,1.0,
471,3,2.0,,
472,2,3.0,0.0,
474,0,3.0,,
477,2,0.0,3.0,
478,2,,,
479,2,,,
480,2,,,
481,3,2.0,0.0,
482,2,0.0,,
483,1,2.0,3.0,
484,3,0.0,2.0,
485,2,0.0,1.0,
486,2,,,
487,3,2.0,,
488,3,1.0,2.0,
489,2,0.0,1.0,
491,2,,,
492,2,0.0,1.0,
493,1,,,
494,1,,,
495,1,,,
496,3,,,
498,3,2.0,0.0,
500,2,0.0,3.0,
501,2,,,
502,0,3.0,1.0,
503,2,3.0,,
505,3,2.0,0.0,
506,2,,,
507,0,3.0,1.0,
508,0,3.0,2.0,
509,3,,,
510,3,2.0,1.0,
511,3,,,
512,0,1.0,,
513,2,3.0,,
514,3,,,
516,3,2.0,,
517,1,,,
518,1,0.0,,
520,3,,,
521,3,,,
522,3,2.0,0.0,
523,3,,,
524,3,2.0,0.0,
525,2,0.0,1.0,
526,3,0.0,2.0,
527,0,,,
528,2,3.0,1.0,
529,2,,,
530,3,2.0,,
531,3,2.0,0.0,
532,3,,,
535,0,1.0,3.0,
536,3,2.0,,
537,2,3.0,,
538,3,0.0,,
539,3,,,
540,3,,,
541,3,0.0,1.0,
542,0,1.0,2.0,
543,0,1.0,3.0,
544,0,2.0,3.0,
545,2,,,
546,2,,,
547,0,1.0,2.0,
548,0,2.0,3.0,
549,2,,,
550,2,3.0,0.0,
551,2,,,
552,3,2.0,0.0,
553,2,3.0,,
554,3,0.0,,
557,2,3.0,,
558,1,0.0,3.0,
559,0,2.0,,
560,3,2.0,0.0,
561,3,,,
562,2,0.0,3.0,
564,0,2.0,3.0,
565,2,3.0,0.0,
566,3,,,
567,0,,,
571,2,3.0,0.0,
573,3,0.0,1.0,
574,3,2.0,,
575,0,3.0,,
576,2,,,
577,2,3.0,,
578,2,0.0,,
579,3,,,
580,2,3.0,0.0,
581,2,,,
582,3,2.0,0.0,
583,2,3.0,,
584,0,3.0,,
585,2,,,
586,1,2.0,,
587,2,3.0,,
588,2,0.0,3.0,
591,3,,,
592,3,0.0,,
593,3,0.0,,
594,3,2.0,0.0,
595,2,,,
598,2,,,
