,0,1,2
1,Write-In cells: 971,,
2,Overvote cells: 115,,
3,RICHARD FUENTES: 0,,
4,BENJAMIN LANG: 1,,
5,JUMOKE HINTON HODGE: 2,,
6,0,1.0,2.0
7,1,,
8,0,1.0,2.0
9,1,0.0,2.0
10,0,1.0,2.0
11,0,2.0,1.0
12,1,,
14,1,0.0,2.0
16,1,2.0,0.0
17,2,,
18,2,0.0,1.0
19,2,0.0,1.0
20,1,2.0,0.0
22,2,1.0,0.0
23,1,2.0,
24,2,0.0,1.0
25,1,2.0,0.0
26,0,1.0,2.0
27,0,2.0,1.0
28,2,1.0,0.0
29,2,0.0,
30,2,,
32,0,1.0,2.0
33,0,,
34,0,,
35,2,1.0,0.0
36,2,0.0,
37,0,2.0,1.0
38,1,2.0,0.0
39,1,0.0,2.0
40,1,2.0,0.0
41,1,,
43,0,2.0,
44,0,2.0,1.0
45,0,,
46,0,1.0,2.0
47,1,,
48,0,,
50,2,,
51,2,,
52,1,2.0,0.0
53,2,,
54,2,1.0,0.0
56,0,1.0,2.0
57,2,0.0,1.0
58,1,0.0,2.0
60,1,2.0,0.0
61,1,2.0,
63,1,,
64,1,,
65,1,2.0,0.0
66,1,,
67,0,,
68,0,1.0,
69,2,1.0,0.0
70,0,2.0,1.0
71,2,,
72,2,,
74,1,2.0,
75,1,2.0,
76,2,0.0,1.0
79,2,1.0,0.0
80,1,,
81,2,0.0,1.0
82,2,,
83,2,,
85,0,1.0,
86,2,0.0,
87,2,1.0,0.0
88,2,0.0,1.0
89,2,1.0,0.0
90,2,0.0,
91,1,2.0,
93,2,,
94,2,,
95,1,,
96,2,0.0,
97,1,,
101,0,1.0,
102,1,2.0,
103,2,1.0,0.0
104,2,,
105,2,1.0,0.0
106,0,,
107,1,0.0,2.0
108,0,2.0,1.0
109,2,1.0,
110,2,1.0,0.0
111,0,,
112,2,,
114,0,,
115,2,0.0,1.0
116,0,,
117,1,0.0,
118,0,,
119,2,,
120,2,,
123,1,2.0,
125,1,,
126,1,2.0,0.0
127,1,2.0,0.0
128,0,1.0,2.0
129,2,,
130,1,0.0,
131,0,,
132,1,,
133,1,,
134,0,2.0,1.0
135,1,2.0,0.0
136,2,1.0,0.0
138,0,1.0,
139,1,2.0,0.0
140,1,0.0,2.0
141,2,1.0,
142,1,0.0,
143,0,2.0,1.0
144,1,0.0,
145,2,,
146,2,,
147,1,0.0,2.0
148,0,1.0,
149,0,,
150,1,0.0,
151,1,0.0,
152,1,0.0,2.0
153,1,2.0,0.0
155,1,,
156,0,1.0,2.0
157,1,0.0,2.0
158,2,0.0,1.0
159,1,0.0,
160,0,,
161,2,,
162,1,0.0,2.0
163,1,0.0,2.0
164,2,0.0,1.0
165,1,,
166,2,0.0,1.0
167,1,,
168,2,0.0,1.0
169,1,0.0,2.0
170,0,,
171,2,,
172,1,,
173,1,,
174,2,,
175,2,1.0,0.0
176,0,2.0,1.0
177,1,0.0,2.0
178,0,2.0,1.0
180,0,2.0,1.0
181,0,1.0,
182,2,1.0,
183,0,2.0,1.0
184,1,,
185,0,1.0,2.0
186,0,,
187,2,,
188,0,2.0,1.0
190,2,,
191,2,1.0,0.0
192,2,1.0,0.0
193,2,0.0,1.0
194,1,0.0,2.0
195,0,2.0,1.0
196,2,1.0,0.0
197,2,1.0,0.0
198,2,0.0,1.0
199,1,2.0,0.0
200,2,0.0,1.0
201,2,,
202,0,1.0,2.0
203,2,1.0,0.0
204,0,,
205,2,,
207,2,0.0,1.0
208,2,,
209,2,1.0,0.0
210,2,0.0,1.0
211,1,0.0,
212,0,1.0,
213,0,,
215,0,1.0,
216,2,,
217,1,0.0,2.0
218,1,2.0,
219,0,2.0,
220,1,2.0,
222,1,2.0,0.0
223,1,2.0,0.0
224,1,2.0,
225,1,0.0,2.0
226,1,,
228,2,0.0,1.0
229,2,,
230,2,0.0,
231,0,,
232,1,0.0,
233,2,1.0,0.0
235,2,1.0,0.0
236,1,0.0,2.0
238,2,0.0,
239,2,1.0,
240,1,,
241,1,,
242,2,1.0,0.0
243,1,2.0,0.0
244,1,2.0,0.0
245,2,0.0,1.0
247,2,,
248,0,,
249,0,,
250,1,0.0,2.0
251,1,0.0,2.0
252,2,,
253,1,0.0,
255,1,,
256,1,2.0,0.0
258,2,,
259,1,0.0,2.0
260,2,0.0,1.0
261,0,1.0,2.0
262,2,,
263,2,,
264,1,2.0,
265,1,0.0,2.0
266,1,0.0,2.0
267,1,0.0,2.0
268,0,2.0,1.0
269,0,2.0,1.0
271,0,,
272,2,0.0,1.0
273,2,,
276,2,,
277,2,0.0,1.0
278,1,,
279,0,,
280,2,0.0,1.0
281,0,1.0,
282,0,2.0,
283,0,,
284,2,1.0,0.0
285,2,0.0,1.0
286,1,,
287,1,,
288,2,1.0,0.0
289,1,,
290,1,0.0,2.0
291,0,,
293,0,1.0,2.0
