,0,1
1,Write-In cells: 0,
2,Overvote cells: 97,
3,GARY D. YEE: 0,
4,CLARISSA DOUTHERD: 1,
5,0,
6,0,
7,1,
8,1,
9,0,
10,0,1.0
11,0,1.0
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,1.0
18,0,
19,0,
20,1,0.0
21,0,
22,0,
23,0,
24,0,
28,1,
29,0,
30,0,1.0
31,0,
32,0,
33,0,
34,0,
35,1,0.0
36,0,
37,0,
38,0,1.0
39,0,1.0
40,0,
41,1,
42,0,
43,0,
44,0,
45,0,
46,0,1.0
47,0,
48,0,1.0
49,1,
50,0,
51,0,1.0
52,0,1.0
53,0,
54,0,
55,0,1.0
56,0,
57,1,0.0
58,1,0.0
59,0,
60,0,
61,0,
63,0,
64,1,
65,0,
66,1,
67,0,
68,0,
69,0,
70,0,1.0
71,1,
72,1,
73,0,
74,0,1.0
75,1,0.0
76,1,
77,1,
78,0,
79,1,0.0
80,0,1.0
81,1,0.0
82,0,
83,1,
84,1,
85,1,
86,0,
87,1,
88,0,1.0
89,0,1.0
90,0,1.0
92,0,1.0
93,0,
94,1,
95,0,
96,1,
97,1,
98,0,
99,0,
100,0,
101,0,
102,1,
104,0,
105,1,0.0
106,0,
107,1,0.0
108,0,
109,0,
110,0,1.0
111,0,
112,1,
113,0,1.0
114,1,
115,0,1.0
116,0,1.0
117,1,0.0
120,0,1.0
121,1,0.0
122,0,
123,0,1.0
124,1,
125,0,
126,0,1.0
127,0,
128,1,0.0
129,1,0.0
130,1,
131,1,
132,0,
133,1,
134,0,1.0
136,1,
138,1,
139,0,
140,1,
141,0,
142,1,0.0
143,0,
144,1,0.0
145,1,
146,0,
147,0,
148,0,
149,0,
151,0,1.0
152,0,
153,1,
154,0,
155,0,1.0
156,0,
157,0,
158,1,
159,1,
160,1,
161,1,0.0
162,0,
163,0,
165,0,1.0
166,1,
167,0,1.0
168,0,1.0
169,0,1.0
170,0,
171,0,1.0
172,1,
173,0,1.0
174,0,
175,1,
176,1,0.0
177,1,
178,0,1.0
179,1,0.0
180,0,
181,0,1.0
183,0,
184,0,
185,1,
186,1,
187,1,0.0
188,0,1.0
189,0,1.0
190,0,
191,0,
192,1,0.0
193,1,0.0
194,1,
195,1,
196,1,
197,0,1.0
198,1,
199,1,
200,0,
201,1,
202,0,
203,0,
204,0,1.0
205,1,
206,0,1.0
207,0,
208,1,0.0
209,0,
210,0,
211,0,1.0
212,0,
213,0,1.0
214,1,0.0
215,0,1.0
216,0,
217,1,
218,0,1.0
219,1,0.0
220,0,1.0
221,0,1.0
222,0,1.0
223,0,1.0
224,1,
226,0,1.0
228,0,1.0
229,0,1.0
231,1,0.0
232,0,
233,0,1.0
234,0,
235,0,
236,1,
237,0,1.0
238,1,
240,1,0.0
241,0,
242,0,
243,0,1.0
244,1,
245,0,
246,0,1.0
247,0,1.0
248,0,
249,0,
250,0,
251,0,1.0
252,0,
253,0,1.0
254,0,1.0
255,1,
256,1,
257,0,1.0
258,0,1.0
259,0,1.0
260,1,0.0
262,0,1.0
263,0,1.0
265,1,
266,0,
267,0,1.0
268,1,0.0
269,1,
270,1,
271,0,1.0
272,0,1.0
273,0,1.0
274,1,0.0
275,0,
276,1,
277,1,
279,0,1.0
280,1,
281,0,
282,1,
283,1,0.0
284,0,
285,0,
286,0,
287,0,1.0
288,0,1.0
289,0,
290,0,1.0
291,1,
292,0,1.0
293,0,
294,0,1.0
296,0,1.0
297,0,
298,0,1.0
299,1,
301,0,
302,0,1.0
303,0,
304,1,
305,0,
306,0,
307,0,1.0
309,1,0.0
310,0,
311,0,1.0
312,0,
314,0,
315,0,1.0
316,0,
317,0,1.0
318,1,
320,0,1.0
321,1,
322,0,
323,0,
325,0,1.0
327,0,1.0
328,0,
329,0,
330,0,1.0
331,0,1.0
332,0,
333,0,
334,1,0.0
335,0,1.0
337,0,
338,1,
340,0,
341,0,
342,0,
343,0,1.0
344,0,
345,0,
346,0,1.0
347,0,
348,0,1.0
349,0,
350,0,
351,1,0.0
353,1,0.0
354,1,
355,0,
356,0,
359,0,1.0
360,0,1.0
361,1,
362,0,
363,0,
364,0,
366,0,1.0
367,0,
368,1,
369,0,
370,1,
371,0,
372,1,
373,0,
374,1,
375,0,1.0
376,1,0.0
379,0,
380,0,
381,1,
382,0,
383,1,
384,1,
385,0,
386,0,
387,0,
388,0,
389,0,1.0
390,0,1.0
392,0,1.0
393,1,0.0
395,1,
396,1,
397,0,1.0
398,0,
399,1,
400,0,
401,0,
402,1,0.0
403,0,1.0
404,1,
405,0,1.0
406,0,
407,1,0.0
408,0,1.0
409,0,
410,0,
411,0,1.0
412,1,0.0
413,0,1.0
414,0,
415,1,
416,0,
417,1,0.0
418,1,0.0
419,1,0.0
420,1,
421,0,1.0
422,0,1.0
423,0,
424,1,0.0
425,0,1.0
426,1,0.0
427,1,
428,0,1.0
429,0,1.0
430,0,
431,0,
432,0,
433,0,1.0
434,1,
435,0,
436,1,0.0
437,0,
438,0,
439,0,
440,0,
441,0,
442,0,1.0
445,0,1.0
446,0,
448,0,
449,1,
450,1,0.0
451,0,1.0
452,0,
453,0,
454,0,1.0
455,0,1.0
456,0,1.0
457,0,
458,1,0.0
459,0,1.0
461,0,
462,0,1.0
463,0,
464,0,1.0
466,0,
467,0,
468,0,1.0
469,1,
470,0,
471,0,
472,1,0.0
473,0,
474,1,
475,1,
476,0,1.0
477,0,1.0
478,0,1.0
479,0,
