,0,1,2,3,4
1,Write-In cells: 0,,,,
2,Overvote cells: 264,,,,
3,JUMOKE HINTON HODGE: 0,,,,
4,LUCKY NARAIN: 1,,,,
5,BENJAMIN LANG: 2,,,,
6,KHARYSHI ''MS. K'' WIGINTON: 3,,,,
7,MISTY CROSS: 4,,,,
8,0,,,,
9,1,2.0,3.0,,
10,0,2.0,3.0,,
11,0,2.0,3.0,,
12,0,3.0,2.0,,
13,3,2.0,,,
14,2,3.0,0.0,,
15,0,2.0,3.0,,
17,0,2.0,3.0,,
18,2,0.0,1.0,,
19,1,2.0,0.0,,
20,1,2.0,,,
21,3,2.0,,,
22,1,0.0,,,
23,0,2.0,1.0,,
24,3,2.0,,,
25,3,2.0,,,
26,3,2.0,1.0,,
27,0,2.0,3.0,,
29,2,,,,
30,2,1.0,,,
31,2,3.0,0.0,,
32,3,0.0,2.0,,
33,2,3.0,,,
34,0,1.0,3.0,,
35,2,3.0,0.0,,
36,2,0.0,3.0,,
37,2,,,,
38,0,3.0,2.0,,
39,3,2.0,,,
40,3,0.0,2.0,,
41,0,2.0,3.0,,
42,2,0.0,3.0,,
43,2,0.0,1.0,,
44,2,0.0,3.0,,
46,0,,,,
47,0,1.0,2.0,,
48,2,0.0,,,
50,3,2.0,0.0,,
51,0,2.0,3.0,,
52,0,3.0,1.0,,
53,2,3.0,1.0,,
54,0,,,,
55,2,,,,
56,3,2.0,,,
57,0,,,,
59,0,2.0,3.0,,
60,3,2.0,0.0,,
61,2,3.0,0.0,,
64,0,1.0,2.0,,
66,0,,,,
67,0,,,,
68,1,2.0,,,
69,2,0.0,,,
70,2,0.0,3.0,,
72,0,2.0,3.0,,
73,0,2.0,1.0,,
74,3,2.0,0.0,,
75,0,2.0,3.0,,
76,3,0.0,2.0,,
78,2,1.0,0.0,,
79,0,2.0,3.0,,
80,3,1.0,,,
81,2,1.0,,,
82,0,,,,
83,3,0.0,2.0,,
84,3,0.0,2.0,,
85,3,0.0,2.0,,
86,0,2.0,,,
89,0,,,,
90,2,0.0,3.0,,
91,0,2.0,3.0,,
92,2,3.0,0.0,,
93,3,,,,
95,0,3.0,2.0,,
96,0,1.0,3.0,,
97,1,3.0,0.0,,
98,3,0.0,,,
100,3,2.0,,,
101,0,,,,
102,2,,,,
103,3,,,,
104,0,2.0,3.0,,
105,2,3.0,0.0,,
107,0,3.0,2.0,,
108,3,,,,
109,3,2.0,0.0,,
110,2,1.0,0.0,,
111,0,2.0,,,
112,2,,,,
113,0,3.0,2.0,,
114,0,2.0,3.0,,
115,3,2.0,,,
116,2,3.0,,,
117,0,2.0,3.0,,
118,3,,,,
119,1,0.0,2.0,,
120,3,2.0,0.0,,
121,2,,,,
122,3,2.0,0.0,,
123,2,3.0,,,
124,2,,,,
126,0,3.0,,,
127,0,,,,
128,0,,,,
132,0,,,,
133,0,,,,
134,1,3.0,2.0,,
135,2,0.0,,,
136,0,2.0,3.0,,
137,2,3.0,,,
140,0,,,,
141,0,2.0,1.0,,
142,0,1.0,2.0,,
143,3,0.0,,,
144,2,3.0,,,
145,3,,,,
146,0,2.0,3.0,,
147,0,3.0,2.0,,
148,1,2.0,0.0,,
149,2,3.0,0.0,,
151,0,,,,
152,0,2.0,3.0,,
153,0,,,,
154,0,3.0,1.0,,
155,2,0.0,3.0,,
156,2,3.0,0.0,,
158,0,2.0,3.0,,
159,2,3.0,0.0,,
160,2,3.0,1.0,,
161,2,3.0,1.0,,
162,2,0.0,,,
163,0,,,,
164,0,2.0,3.0,,
165,1,,,,
167,0,3.0,1.0,,
168,0,2.0,3.0,,
169,2,,,,
170,2,0.0,3.0,,
171,2,,,,
173,2,0.0,,,
174,2,,,,
175,0,3.0,2.0,,
176,2,0.0,,,
177,1,,,,
178,0,1.0,3.0,,
179,3,2.0,,,
180,3,2.0,,,
182,2,,,,
183,0,3.0,2.0,,
184,2,3.0,0.0,,
186,0,2.0,3.0,,
187,1,2.0,,,
188,3,2.0,0.0,,
192,0,2.0,1.0,,
193,0,2.0,3.0,,
195,3,,,,
196,1,0.0,2.0,,
197,0,2.0,1.0,,
198,0,2.0,3.0,,
199,0,1.0,3.0,,
200,0,2.0,3.0,,
201,0,2.0,3.0,,
202,0,,,,
203,0,2.0,,,
204,0,,,,
206,2,,,,
207,2,1.0,,,
208,0,,,,
209,1,0.0,2.0,,
210,2,,,,
211,3,0.0,2.0,,
212,0,2.0,3.0,,
214,0,2.0,3.0,,
215,0,3.0,2.0,,
217,3,2.0,,,
218,0,2.0,3.0,,
219,2,1.0,,,
220,3,0.0,2.0,,
221,2,0.0,,,
222,2,,,,
224,3,0.0,2.0,,
225,0,2.0,3.0,,
226,0,,,,
227,0,,,,
228,3,2.0,0.0,,
229,0,,,,
230,0,2.0,3.0,,
231,2,1.0,3.0,,
234,0,3.0,2.0,,
235,0,1.0,,,
237,2,0.0,3.0,,
238,0,2.0,,,
239,0,1.0,2.0,,
240,3,2.0,0.0,,
241,3,2.0,0.0,,
242,2,,,,
244,3,0.0,,,
245,3,2.0,0.0,,
246,0,,,,
248,2,3.0,,,
249,3,2.0,1.0,,
250,0,,,,
251,1,2.0,0.0,,
252,3,,,,
253,0,2.0,1.0,,
254,0,1.0,2.0,,
255,2,3.0,0.0,,
256,3,2.0,0.0,,
257,0,3.0,2.0,,
258,1,2.0,0.0,,
259,2,,,,
260,0,,,,
263,0,2.0,3.0,,
264,1,0.0,2.0,,
265,1,2.0,3.0,,
266,0,3.0,2.0,,
267,0,,,,
268,0,1.0,2.0,,
269,0,1.0,,,
271,3,2.0,,,
272,3,2.0,0.0,,
274,0,3.0,2.0,,
275,0,,,,
276,1,3.0,0.0,,
277,3,0.0,,,
278,0,2.0,3.0,,
279,0,2.0,3.0,,
280,0,3.0,1.0,,
281,0,,,,
282,3,2.0,,,
283,2,,,,
284,2,0.0,1.0,,
285,0,2.0,,,
286,2,,,,
287,0,2.0,3.0,,
288,3,2.0,,,
289,3,0.0,,,
290,3,2.0,0.0,,
291,0,,,,
292,0,3.0,2.0,,
293,3,0.0,2.0,,
