precincts,tally_type,ballotID,rank1,rank2,rank3
334600,Vote by Mail - 400C,000032272,MIKE HUTCHINSON,ROSIE TORRES,ROSIE TORRES
334600,Vote by Mail - 400C,000032273,ROSIE TORRES,skipped,skipped
334600,Vote by Mail - 400C,000032274,MIKE HUTCHINSON,skipped,skipped
334600,Vote by Mail - 400C,000032275,MIKE HUTCHINSON,skipped,skipped
334600,Vote by Mail - 400C,000032276,MIKE HUTCHINSON,ROSIE TORRES,skipped
334600,Vote by Mail - 400C,000032277,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
334600,Vote by Mail - 400C,000032278,ROSIE TORRES,skipped,skipped
334600,Vote by Mail - 400C,000032279,ROSIE TORRES,MIKE HUTCHINSON,skipped
334600,Vote by Mail - 400C,000032280,MIKE HUTCHINSON,ROSIE TORRES,skipped
334600,Vote by Mail - 400C,000032281,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
334600,Vote by Mail - 400C,000032282,MIKE HUTCHINSON,ROSIE TORRES,skipped
334600,Vote by Mail - 400C,000032283,MIKE HUTCHINSON,ROSIE TORRES,ROSIE TORRES
334600,Vote by Mail - 400C,000032284,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
334600,Vote by Mail - 400C,000032285,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
334600,Vote by Mail - 400C,000032286,ROSIE TORRES,skipped,skipped
334600,Vote by Mail - 400C,000032287,MIKE HUTCHINSON,skipped,skipped
334600,Vote by Mail - 400C,000032288,skipped,skipped,skipped
334600,Vote by Mail - 400C,000032289,ROSIE TORRES,MIKE HUTCHINSON,skipped
334600,Vote by Mail - 400C,000032290,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
334600,Vote by Mail - 400C,000032291,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
334600,Vote by Mail - 400C,000032292,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
334600,Vote by Mail - 400C,000032293,skipped,skipped,skipped
334600,Vote by Mail - 400C,000032294,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
334600,Vote by Mail - 400C,000032295,ROSIE TORRES,MIKE HUTCHINSON,skipped
334600,Vote by Mail - 400C,000032296,MIKE HUTCHINSON,ROSIE TORRES,skipped
