,0,1
1,Write-In cells: 2051,
2,Overvote cells: 113,
3,CORINA N. LOPEZ: 0,
4,PAULINE RUSSO CUTTER: 1,
5,0,1.0
6,0,1.0
7,1,0.0
8,1,0.0
9,0,1.0
11,0,
12,1,0.0
13,1,
14,1,0.0
15,0,1.0
16,1,
17,0,
18,0,1.0
20,1,0.0
21,1,0.0
22,1,0.0
23,1,
24,1,0.0
25,0,1.0
26,1,
27,1,
28,1,0.0
29,1,0.0
30,1,
31,1,
32,1,0.0
33,0,
34,0,
35,1,
36,1,0.0
37,1,0.0
38,1,
39,0,1.0
40,1,0.0
41,1,
42,1,
44,0,
45,0,1.0
46,0,1.0
47,0,
48,0,
49,0,1.0
50,1,
51,0,
52,1,0.0
53,1,
55,1,
56,0,
57,1,0.0
58,1,
60,0,1.0
61,1,0.0
62,0,
63,1,
65,0,1.0
66,1,0.0
67,1,0.0
69,1,
70,0,1.0
71,0,1.0
72,0,
73,0,
74,1,0.0
75,1,
76,1,0.0
77,1,0.0
78,0,1.0
79,1,0.0
80,1,
81,0,
83,0,1.0
84,1,
85,0,
86,1,0.0
87,0,1.0
88,1,
89,0,
90,1,
91,1,0.0
92,1,0.0
93,1,
94,1,
95,1,0.0
97,0,1.0
98,1,
99,0,1.0
100,0,1.0
101,0,1.0
102,1,0.0
103,0,
105,1,0.0
106,0,
108,0,
109,1,
110,0,1.0
111,0,1.0
112,1,
113,0,1.0
114,0,
115,1,
116,1,
117,1,0.0
119,0,1.0
120,0,
121,0,
122,1,
123,0,
124,0,1.0
127,1,0.0
128,1,0.0
129,1,
130,1,
131,1,0.0
133,0,
134,0,
135,0,
136,0,1.0
137,1,0.0
138,0,1.0
139,1,0.0
140,1,
141,1,0.0
142,1,0.0
143,1,
144,0,1.0
145,1,0.0
146,1,
147,1,0.0
148,1,0.0
149,1,0.0
150,1,0.0
151,1,
152,1,0.0
153,1,0.0
156,1,0.0
157,0,
158,0,1.0
159,1,
161,1,
162,0,
163,1,
164,0,
165,1,0.0
167,1,0.0
168,0,
169,0,
171,1,
173,0,
174,1,0.0
175,0,
177,1,0.0
178,0,
179,1,
180,0,1.0
181,1,0.0
183,1,0.0
184,1,
185,0,
186,1,0.0
187,1,
188,1,
189,0,1.0
190,1,0.0
191,1,
192,1,
193,1,0.0
194,1,0.0
195,1,
196,1,
197,0,1.0
198,0,1.0
199,1,0.0
200,0,
201,1,
202,1,0.0
203,0,
204,1,0.0
205,0,1.0
206,1,
207,0,
208,1,0.0
209,1,
210,1,0.0
211,0,
212,1,
214,1,0.0
217,0,1.0
218,1,0.0
219,1,0.0
220,1,
221,1,
222,0,1.0
223,1,
224,1,0.0
226,1,
227,1,0.0
228,0,1.0
229,1,0.0
230,0,1.0
231,1,
232,1,0.0
233,0,1.0
234,1,0.0
235,1,0.0
236,0,1.0
237,0,
238,0,
239,1,
240,0,1.0
241,0,
242,0,1.0
243,0,1.0
244,1,
245,1,0.0
246,0,1.0
247,1,0.0
248,0,1.0
249,1,
251,1,0.0
252,0,
253,0,
254,1,0.0
256,1,
257,0,1.0
258,0,1.0
259,0,
260,0,1.0
262,1,0.0
263,0,
264,1,0.0
265,0,1.0
266,0,
268,1,0.0
269,1,
270,1,0.0
271,1,0.0
272,1,0.0
273,0,
274,1,
275,0,1.0
276,0,1.0
277,1,0.0
278,0,
280,1,
281,0,1.0
282,0,1.0
284,1,
285,1,
286,0,1.0
287,0,1.0
288,1,0.0
289,1,
290,1,
291,1,0.0
292,1,0.0
293,1,0.0
294,1,0.0
