,0,1,2
1,Write-In cells: 0,,
2,Overvote cells: 252,,
3,EVA ARCE: 0,,
4,DEBORAH COX: 1,,
5,KENNETH PON: 2,,
6,0,,
7,1,,
8,1,2.0,0.0
9,1,2.0,0.0
10,1,,
12,1,,
13,2,1.0,0.0
14,1,0.0,2.0
15,1,0.0,2.0
16,1,,
18,1,2.0,0.0
19,1,2.0,
20,1,0.0,2.0
21,1,0.0,2.0
22,0,,
23,2,,
24,1,,
25,1,2.0,0.0
26,2,,
27,2,,
28,1,2.0,0.0
29,1,0.0,2.0
30,1,,
31,1,2.0,0.0
32,2,,
33,1,2.0,0.0
34,1,0.0,2.0
35,1,0.0,
36,1,,
37,2,0.0,1.0
38,1,2.0,0.0
39,1,0.0,2.0
40,1,2.0,0.0
41,2,,
42,2,1.0,
43,1,2.0,
44,1,0.0,2.0
45,1,,
46,1,,
47,2,0.0,1.0
48,2,,
49,1,2.0,0.0
50,0,,
51,1,2.0,0.0
52,2,0.0,1.0
53,1,,
54,1,,
55,1,2.0,0.0
56,1,,
57,0,,
58,1,2.0,0.0
59,2,0.0,1.0
60,1,0.0,2.0
61,1,2.0,0.0
62,1,2.0,0.0
63,1,2.0,0.0
64,1,,
65,1,,
66,1,2.0,0.0
67,1,2.0,0.0
68,1,,
69,0,2.0,1.0
70,1,2.0,0.0
71,0,1.0,2.0
72,1,,
73,1,2.0,0.0
74,2,0.0,
75,1,,
76,2,1.0,
77,1,,
78,2,1.0,0.0
79,1,2.0,0.0
80,1,2.0,0.0
81,2,,
82,1,2.0,0.0
83,2,,
84,2,0.0,1.0
85,1,2.0,0.0
86,1,,
87,1,2.0,0.0
88,1,,
89,1,0.0,
90,1,,
91,0,1.0,2.0
92,1,2.0,0.0
93,1,2.0,0.0
94,0,2.0,1.0
95,1,2.0,0.0
96,0,2.0,1.0
97,0,2.0,1.0
98,2,1.0,0.0
99,2,1.0,0.0
100,1,,
101,1,0.0,2.0
102,1,2.0,
103,0,,
104,1,2.0,0.0
105,1,,
106,0,,
107,2,0.0,1.0
108,1,0.0,2.0
109,1,,
110,0,1.0,2.0
111,1,2.0,0.0
112,1,0.0,
113,2,,
114,0,1.0,2.0
115,1,2.0,0.0
116,1,0.0,2.0
117,1,,
118,1,0.0,2.0
119,2,0.0,1.0
120,1,2.0,0.0
121,1,0.0,2.0
122,1,0.0,2.0
123,2,,
124,2,0.0,1.0
125,1,,
126,1,2.0,0.0
127,1,,
128,1,0.0,2.0
129,0,,
130,1,2.0,0.0
131,1,2.0,0.0
132,1,2.0,0.0
133,2,1.0,0.0
134,1,,
135,0,,
136,1,,
137,1,0.0,2.0
138,0,2.0,1.0
139,1,0.0,2.0
140,1,2.0,0.0
141,1,2.0,0.0
