precincts,tally_type,ballotID,rank1,rank2,rank3
450610,Vote by Mail - 400C,000050084,URSULA REED,MORGAN MACK-ROSE,DAN DILLMAN
454500,Vote by Mail - 400C,000050085,DAN DILLMAN,MORGAN MACK-ROSE,URSULA REED
455900,Vote by Mail - 400C,000050086,DAN DILLMAN,MORGAN MACK-ROSE,URSULA REED
456200,Vote by Mail - 400C,000050087,MORGAN MACK-ROSE,MORGAN MACK-ROSE,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050504,MORGAN MACK-ROSE,URSULA REED,DAN DILLMAN
450300,Vote by Mail - 400C,000050505,URSULA REED,MORGAN MACK-ROSE,DAN DILLMAN
450300,Vote by Mail - 400C,000050506,URSULA REED,MORGAN MACK-ROSE,DAN DILLMAN
450300,Vote by Mail - 400C,000050507,MORGAN MACK-ROSE,MORGAN MACK-ROSE,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050508,MORGAN MACK-ROSE,URSULA REED,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050509,URSULA REED,MORGAN MACK-ROSE,DAN DILLMAN
450300,Vote by Mail - 400C,000050510,URSULA REED,MORGAN MACK-ROSE,DAN DILLMAN
450300,Vote by Mail - 400C,000050511,writein,URSULA REED,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050512,MORGAN MACK-ROSE,URSULA REED,DAN DILLMAN
450300,Vote by Mail - 400C,000050513,DAN DILLMAN,MORGAN MACK-ROSE,URSULA REED
450300,Vote by Mail - 400C,000050514,MORGAN MACK-ROSE,DAN DILLMAN,URSULA REED
450300,Vote by Mail - 400C,000050515,URSULA REED,DAN DILLMAN,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050516,MORGAN MACK-ROSE,URSULA REED,DAN DILLMAN
450300,Vote by Mail - 400C,000050517,MORGAN MACK-ROSE,MORGAN MACK-ROSE,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050518,DAN DILLMAN,skipped,skipped
450300,Vote by Mail - 400C,000050519,MORGAN MACK-ROSE,skipped,skipped
450300,Vote by Mail - 400C,000050520,MORGAN MACK-ROSE,skipped,skipped
450300,Vote by Mail - 400C,000050521,MORGAN MACK-ROSE,URSULA REED,DAN DILLMAN
450300,Vote by Mail - 400C,000050522,MORGAN MACK-ROSE,DAN DILLMAN,URSULA REED
450300,Vote by Mail - 400C,000050523,URSULA REED,MORGAN MACK-ROSE,DAN DILLMAN
450300,Vote by Mail - 400C,000050524,MORGAN MACK-ROSE,DAN DILLMAN,URSULA REED
450300,Vote by Mail - 400C,000050525,URSULA REED,DAN DILLMAN,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050526,URSULA REED,skipped,skipped
450300,Vote by Mail - 400C,000050527,writein,writein,writein
450300,Vote by Mail - 400C,000050528,URSULA REED,DAN DILLMAN,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050529,DAN DILLMAN,URSULA REED,skipped
450300,Vote by Mail - 400C,000050530,skipped,skipped,skipped
450300,Vote by Mail - 400C,000050531,skipped,skipped,skipped
450300,Vote by Mail - 400C,000050532,DAN DILLMAN,URSULA REED,skipped
450300,Vote by Mail - 400C,000050533,DAN DILLMAN,DAN DILLMAN,DAN DILLMAN
450300,Vote by Mail - 400C,000050534,MORGAN MACK-ROSE,DAN DILLMAN,URSULA REED
450300,Vote by Mail - 400C,000050535,MORGAN MACK-ROSE,MORGAN MACK-ROSE,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050536,DAN DILLMAN,URSULA REED,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050537,MORGAN MACK-ROSE,URSULA REED,skipped
450300,Vote by Mail - 400C,000050538,MORGAN MACK-ROSE,URSULA REED,DAN DILLMAN
450300,Vote by Mail - 400C,000050539,MORGAN MACK-ROSE,MORGAN MACK-ROSE,MORGAN MACK-ROSE
450300,Vote by Mail - 400C,000050540,skipped,skipped,skipped
450300,Vote by Mail - 400C,000050541,MORGAN MACK-ROSE,URSULA REED,DAN DILLMAN
450300,Vote by Mail - 400C,000050542,MORGAN MACK-ROSE,URSULA REED,DAN DILLMAN
