,0,1,2,3
1,Write-In cells: 915,,,
2,Overvote cells: 225,,,
3,BENNY LEE: 0,,,
4,CHRIS CROW: 1,,,
5,DARLENE DAEVU: 2,,,
6,JUSTIN HUTCHISON: 3,,,
7,0,1.0,2.0,
8,1,2.0,0.0,
9,2,1.0,0.0,
10,1,,,
11,2,1.0,0.0,
12,0,2.0,3.0,
13,0,1.0,3.0,
14,1,,,
15,1,2.0,0.0,
16,3,2.0,1.0,
17,0,2.0,3.0,
18,0,,,
19,3,1.0,0.0,
20,0,2.0,1.0,
21,0,2.0,1.0,
22,1,3.0,0.0,
23,1,0.0,2.0,
25,1,,,
26,1,0.0,,
27,1,0.0,,
28,1,2.0,0.0,
29,3,2.0,1.0,
30,0,1.0,2.0,
31,1,3.0,2.0,
32,1,2.0,3.0,
33,2,0.0,,
35,0,,,
36,1,0.0,,
37,1,3.0,,
38,0,1.0,3.0,
39,0,,,
40,1,0.0,,
41,1,3.0,2.0,
42,2,,,
43,3,0.0,1.0,
44,3,1.0,,
45,1,3.0,2.0,
46,0,,,
47,0,3.0,2.0,
48,0,3.0,1.0,
50,3,,,
51,0,3.0,1.0,
52,0,,,
53,1,,,
54,0,2.0,1.0,
55,0,2.0,1.0,
56,0,1.0,,
58,0,3.0,1.0,
59,0,1.0,3.0,
60,0,,,
61,0,1.0,3.0,
62,0,2.0,1.0,
63,0,,,
64,2,3.0,,
65,1,,,
66,3,1.0,0.0,
67,1,3.0,,
68,3,0.0,2.0,
69,0,,,
70,3,,,
71,2,0.0,1.0,
72,0,1.0,3.0,
73,0,,,
74,3,,,
75,3,,,
76,3,,,
77,0,3.0,1.0,
78,3,,,
79,3,0.0,1.0,
80,1,,,
81,0,3.0,,
82,0,3.0,,
83,2,,,
84,2,,,
85,1,2.0,0.0,
86,3,,,
87,2,1.0,3.0,
88,1,,,
89,0,,,
90,2,1.0,3.0,
91,3,1.0,,
92,0,1.0,,
93,1,2.0,0.0,
94,0,3.0,1.0,
95,0,2.0,1.0,
96,1,2.0,,
