,0,1
1,Write-In cells: 0,
2,Overvote cells: 237,
3,ED HERNANDEZ: 0,
4,BRYAN AZEVEDO: 1,
5,0,1.0
6,0,1.0
7,0,1.0
8,0,
9,1,
10,1,0.0
11,0,1.0
12,1,0.0
13,1,0.0
14,0,1.0
15,1,
16,1,
17,0,
18,1,
19,0,1.0
20,1,
21,0,1.0
22,1,
23,1,0.0
24,0,1.0
25,1,
26,1,
27,0,
28,1,
29,1,
30,0,1.0
32,1,
33,1,
34,0,1.0
35,1,
36,0,1.0
37,1,0.0
38,0,
39,1,
40,0,
41,0,
42,0,1.0
44,0,1.0
45,0,1.0
46,0,
47,1,0.0
48,0,1.0
49,0,1.0
50,1,0.0
51,1,
52,0,
53,1,0.0
54,0,1.0
55,0,
56,0,1.0
57,1,0.0
59,0,
60,0,1.0
61,1,
62,1,
63,0,
64,0,
65,0,
66,0,1.0
67,1,
68,0,1.0
69,0,1.0
70,0,1.0
71,0,1.0
72,1,0.0
73,0,
74,1,
75,0,
76,1,0.0
77,0,1.0
78,1,
80,0,1.0
81,1,0.0
82,1,
83,0,1.0
84,0,1.0
85,1,
86,1,
87,0,
88,0,1.0
89,1,0.0
90,0,
91,0,
92,1,0.0
93,1,0.0
94,1,0.0
95,0,1.0
96,0,
97,0,
98,1,0.0
99,0,
100,1,
101,1,0.0
102,0,1.0
103,0,1.0
104,1,
105,0,1.0
106,0,1.0
107,0,
108,1,
109,1,0.0
110,0,
111,0,
112,0,
113,0,
114,0,
115,1,
116,1,
117,1,
118,0,1.0
119,1,
120,1,
121,1,
122,0,
123,0,1.0
124,1,
125,0,1.0
126,1,
127,1,
128,0,
129,0,
130,0,
131,0,
133,0,
134,0,
135,1,
136,0,1.0
137,0,
138,0,
139,0,
140,1,0.0
141,0,1.0
142,1,
143,1,
144,1,
145,0,
146,0,
147,1,
148,1,
149,1,
150,1,0.0
151,0,
152,0,1.0
153,1,
154,1,
155,0,
156,1,0.0
157,1,
158,1,
159,1,
160,0,1.0
161,1,
162,0,
163,1,
165,0,
166,1,
167,0,
168,1,
169,0,1.0
170,1,
171,0,
173,0,1.0
174,1,0.0
175,0,1.0
176,1,0.0
177,1,0.0
179,1,0.0
180,0,1.0
181,0,1.0
182,0,
183,1,
184,1,0.0
185,0,
186,0,1.0
187,1,
188,0,1.0
189,0,1.0
190,0,1.0
191,0,1.0
192,1,
193,0,1.0
195,0,
196,1,
197,0,1.0
198,1,
199,1,
201,1,
202,0,
203,0,1.0
204,0,1.0
205,0,
206,1,0.0
207,0,
208,1,
209,0,
210,1,0.0
211,0,1.0
212,1,
213,1,
214,1,
215,0,
216,0,
217,0,1.0
218,0,
219,1,0.0
220,0,1.0
221,1,
222,0,
223,0,1.0
224,0,1.0
225,0,1.0
226,0,
227,1,0.0
228,0,1.0
229,1,0.0
230,0,1.0
231,0,1.0
232,1,0.0
233,0,1.0
234,0,1.0
235,1,0.0
236,1,0.0
237,0,1.0
238,0,1.0
239,0,1.0
240,0,1.0
241,0,
242,0,
244,1,0.0
245,1,
246,1,0.0
247,1,0.0
249,0,
250,0,1.0
251,0,
252,0,1.0
253,0,1.0
254,0,1.0
255,0,
256,0,1.0
257,0,
258,0,
259,1,
260,1,0.0
261,1,0.0
262,0,1.0
263,0,1.0
264,0,
265,1,0.0
266,0,
267,0,1.0
268,1,
269,1,0.0
270,0,
271,1,
272,1,0.0
273,0,1.0
274,0,1.0
275,1,0.0
276,0,1.0
277,0,
278,0,1.0
279,1,
280,1,
281,1,0.0
282,1,
