precincts,tally_type,ballotID,rank1,rank2,rank3
450610,Vote by Mail - 400C,000050084,JIM PROLA,HERMY B. ALMONTE,skipped
454500,Vote by Mail - 400C,000050085,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
455900,Vote by Mail - 400C,000050086,JIM PROLA,HERMY B. ALMONTE,skipped
456200,Vote by Mail - 400C,000050087,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050504,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050505,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050506,JIM PROLA,HERMY B. ALMONTE,JIM PROLA
450300,Vote by Mail - 400C,000050507,JIM PROLA,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050508,JIM PROLA,writein,writein
450300,Vote by Mail - 400C,000050509,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050510,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050511,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050512,JIM PROLA,skipped,skipped
450300,Vote by Mail - 400C,000050513,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050514,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050515,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050516,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050517,JIM PROLA,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050518,HERMY B. ALMONTE,skipped,skipped
450300,Vote by Mail - 400C,000050519,JIM PROLA,skipped,skipped
450300,Vote by Mail - 400C,000050520,JIM PROLA,skipped,skipped
450300,Vote by Mail - 400C,000050521,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050522,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050523,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050524,HERMY B. ALMONTE,skipped,skipped
450300,Vote by Mail - 400C,000050525,JIM PROLA,HERMY B. ALMONTE,JIM PROLA
450300,Vote by Mail - 400C,000050526,JIM PROLA,skipped,skipped
450300,Vote by Mail - 400C,000050527,writein,writein,writein
450300,Vote by Mail - 400C,000050528,JIM PROLA,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050529,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050530,skipped,skipped,skipped
450300,Vote by Mail - 400C,000050531,skipped,skipped,skipped
450300,Vote by Mail - 400C,000050532,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050533,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050534,HERMY B. ALMONTE,skipped,skipped
450300,Vote by Mail - 400C,000050535,JIM PROLA,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050536,HERMY B. ALMONTE,JIM PROLA,writein
450300,Vote by Mail - 400C,000050537,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050538,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050539,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050540,HERMY B. ALMONTE,HERMY B. ALMONTE,JIM PROLA
450300,Vote by Mail - 400C,000050541,HERMY B. ALMONTE,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050542,skipped,skipped,skipped
450300,Vote by Mail - 400C,000050543,HERMY B. ALMONTE,skipped,skipped
450300,Vote by Mail - 400C,000050544,HERMY B. ALMONTE,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050545,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050546,skipped,skipped,skipped
450300,Vote by Mail - 400C,000050547,JIM PROLA,HERMY B. ALMONTE,JIM PROLA
450300,Vote by Mail - 400C,000050548,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050549,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050550,skipped,skipped,skipped
450300,Vote by Mail - 400C,000050551,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050552,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050553,HERMY B. ALMONTE,skipped,skipped
450300,Vote by Mail - 400C,000050554,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050555,JIM PROLA,HERMY B. ALMONTE,JIM PROLA
450300,Vote by Mail - 400C,000050556,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050557,HERMY B. ALMONTE,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050558,skipped,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050559,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050560,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050561,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050562,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050563,JIM PROLA,skipped,skipped
450300,Vote by Mail - 400C,000050564,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050565,HERMY B. ALMONTE,JIM PROLA,skipped
450300,Vote by Mail - 400C,000050566,JIM PROLA,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050567,JIM PROLA,skipped,skipped
450300,Vote by Mail - 400C,000050568,JIM PROLA,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050569,skipped,skipped,skipped
450300,Vote by Mail - 400C,000050570,JIM PROLA,skipped,skipped
450300,Vote by Mail - 400C,000050571,JIM PROLA,JIM PROLA,JIM PROLA
450300,Vote by Mail - 400C,000050572,JIM PROLA,HERMY B. ALMONTE,skipped
450300,Vote by Mail - 400C,000050573,HERMY B. ALMONTE,skipped,skipped
450300,Vote by Mail - 400C,000050574,JIM PROLA,skipped,skipped
450300,Vote by Mail - 400C,000050575,JIM PROLA,skipped,skipped
450300,Vote by Mail - 400C,000050576,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050577,HERMY B. ALMONTE,HERMY B. ALMONTE,HERMY B. ALMONTE
450300,Vote by Mail - 400C,000050578,writein,writein,writein
