,1,2,3,4,5
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
0,3.0,4.0,2.0,5.0,1.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
1,3.0,2.0,4.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
2,3.0,4.0,2.0,1.0,5.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
3,4.0,2.0,3.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
4,4.0,3.0,2.0,5.0,1.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
5,2.0,4.0,3.0,1.0,5.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
6,2.0,4.0,3.0,5.0,1.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
7,2.0,3.0,4.0,1.0,5.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
8,2.0,3.0,4.0,5.0,1.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
9,4.0,2.0,3.0,1.0,5.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
10,3.0,2.0,4.0,5.0,1.0
11,3.0,4.0,2.0,1.0,5.0
11,3.0,4.0,2.0,1.0,5.0
11,3.0,4.0,2.0,1.0,5.0
11,3.0,4.0,2.0,1.0,5.0
