,1,2,3,4,5,6,7,8
0,8.0,5.0,3.0,7.0,2.0,1.0,4.0,6.0
0,8.0,4.0,3.0,5.0,7.0,1.0,6.0,2.0
0,8.0,4.0,3.0,5.0,7.0,1.0,6.0,2.0
0,8.0,5.0,3.0,7.0,2.0,1.0,4.0,6.0
0,8.0,1.0,7.0,3.0,4.0,2.0,5.0,6.0
0,8.0,5.0,3.0,7.0,1.0,4.0,2.0,6.0
1,4.0,3.0,5.0,1.0,7.0,8.0,2.0,6.0
1,4.0,3.0,5.0,1.0,7.0,8.0,2.0,6.0
1,4.0,3.0,5.0,1.0,7.0,8.0,2.0,6.0
1,4.0,3.0,5.0,1.0,7.0,8.0,2.0,6.0
2,1.0,5.0,3.0,4.0,7.0,2.0,8.0,6.0
2,1.0,5.0,3.0,4.0,7.0,2.0,8.0,6.0
2,1.0,5.0,3.0,4.0,7.0,2.0,8.0,6.0
2,1.0,5.0,3.0,4.0,7.0,2.0,8.0,6.0
3,4.0,3.0,1.0,5.0,7.0,8.0,2.0,6.0
3,4.0,3.0,1.0,5.0,7.0,8.0,2.0,6.0
3,4.0,3.0,1.0,5.0,7.0,8.0,2.0,6.0
3,4.0,3.0,1.0,5.0,7.0,8.0,2.0,6.0
4,4.0,3.0,7.0,8.0,1.0,2.0,5.0,6.0
4,4.0,8.0,1.0,3.0,5.0,2.0,7.0,6.0
4,4.0,3.0,1.0,5.0,7.0,2.0,8.0,6.0
4,4.0,3.0,1.0,5.0,7.0,2.0,8.0,6.0
5,4.0,3.0,1.0,5.0,7.0,2.0,8.0,6.0
5,4.0,3.0,1.0,5.0,7.0,2.0,8.0,6.0
5,4.0,3.0,1.0,5.0,7.0,2.0,8.0,6.0
6,3.0,4.0,1.0,5.0,7.0,8.0,2.0,6.0
6,3.0,4.0,1.0,5.0,7.0,8.0,2.0,6.0
6,3.0,4.0,1.0,5.0,7.0,8.0,2.0,6.0
7,5.0,3.0,1.0,4.0,7.0,8.0,2.0,6.0
7,5.0,3.0,1.0,4.0,7.0,8.0,2.0,6.0
7,5.0,3.0,1.0,4.0,7.0,8.0,2.0,6.0
8,1.0,3.0,7.0,4.0,5.0,8.0,2.0,6.0
8,1.0,3.0,7.0,4.0,5.0,8.0,2.0,6.0
8,1.0,3.0,7.0,4.0,5.0,8.0,2.0,6.0
9,1.0,4.0,3.0,5.0,7.0,2.0,8.0,6.0
9,1.0,4.0,3.0,5.0,7.0,2.0,8.0,6.0
9,1.0,4.0,3.0,5.0,7.0,2.0,8.0,6.0
10,4.0,1.0,3.0,5.0,7.0,8.0,2.0,6.0
10,4.0,1.0,3.0,5.0,7.0,8.0,2.0,6.0
10,4.0,1.0,3.0,5.0,7.0,8.0,2.0,6.0
11,3.0,4.0,5.0,1.0,7.0,2.0,8.0,6.0
11,3.0,4.0,1.0,5.0,7.0,2.0,8.0,6.0
11,3.0,4.0,7.0,1.0,5.0,2.0,8.0,6.0
12,3.0,7.0,4.0,1.0,5.0,8.0,2.0,6.0
12,3.0,7.0,4.0,1.0,5.0,8.0,2.0,6.0
13,1.0,3.0,5.0,7.0,4.0,8.0,2.0,6.0
13,1.0,3.0,5.0,7.0,4.0,8.0,2.0,6.0
14,3.0,7.0,1.0,8.0,2.0,5.0,4.0,6.0
14,3.0,7.0,1.0,8.0,2.0,5.0,4.0,6.0
15,3.0,4.0,5.0,1.0,7.0,6.0,2.0,8.0
15,3.0,4.0,5.0,1.0,7.0,6.0,2.0,8.0
16,7.0,3.0,4.0,1.0,5.0,8.0,2.0,6.0
16,7.0,3.0,4.0,1.0,5.0,8.0,2.0,6.0
17,4.0,1.0,3.0,5.0,7.0,2.0,8.0,6.0
17,4.0,1.0,3.0,5.0,7.0,2.0,8.0,6.0
18,4.0,3.0,5.0,1.0,7.0,8.0,6.0,2.0
18,4.0,3.0,5.0,1.0,7.0,8.0,6.0,2.0
19,1.0,3.0,4.0,5.0,7.0,2.0,6.0,8.0
19,1.0,3.0,4.0,5.0,7.0,2.0,6.0,8.0
20,1.0,4.0,3.0,5.0,2.0,7.0,8.0,6.0
20,1.0,4.0,3.0,5.0,2.0,7.0,8.0,6.0
21,3.0,4.0,7.0,1.0,5.0,2.0,8.0,6.0
21,3.0,4.0,7.0,1.0,5.0,2.0,8.0,6.0
