,1,2,3,4,5
0,4.0,5.0,2.0,3.0,1.0
0,4.0,2.0,5.0,3.0,1.0
0,4.0,3.0,5.0,2.0,1.0
0,4.0,5.0,2.0,3.0,1.0
0,4.0,5.0,2.0,3.0,1.0
0,4.0,3.0,2.0,5.0,1.0
0,4.0,2.0,5.0,3.0,1.0
0,4.0,5.0,2.0,3.0,1.0
0,4.0,5.0,3.0,2.0,1.0
0,4.0,2.0,5.0,3.0,1.0
0,4.0,5.0,2.0,3.0,1.0
0,4.0,5.0,3.0,2.0,1.0
0,4.0,5.0,2.0,3.0,1.0
0,4.0,5.0,3.0,2.0,1.0
0,4.0,5.0,2.0,3.0,1.0
0,4.0,2.0,5.0,3.0,1.0
0,4.0,3.0,5.0,1.0,2.0
0,4.0,5.0,2.0,3.0,1.0
0,4.0,5.0,2.0,1.0,3.0
0,4.0,5.0,3.0,2.0,1.0
0,4.0,5.0,2.0,3.0,1.0
0,4.0,3.0,2.0,5.0,1.0
0,4.0,3.0,5.0,2.0,1.0
0,4.0,5.0,3.0,2.0,1.0
0,4.0,5.0,2.0,3.0,1.0
0,4.0,5.0,3.0,2.0,1.0
0,4.0,5.0,3.0,2.0,1.0
0,4.0,5.0,2.0,1.0,3.0
0,4.0,3.0,5.0,2.0,1.0
0,4.0,2.0,5.0,3.0,1.0
0,4.0,5.0,3.0,2.0,1.0
0,4.0,2.0,3.0,5.0,1.0
0,4.0,3.0,5.0,2.0,1.0
0,4.0,3.0,5.0,1.0,2.0
1,5.0,3.0,2.0,1.0,4.0
1,5.0,4.0,3.0,2.0,1.0
1,5.0,4.0,2.0,3.0,1.0
1,5.0,2.0,4.0,3.0,1.0
1,5.0,4.0,2.0,3.0,1.0
1,5.0,2.0,4.0,3.0,1.0
1,5.0,2.0,4.0,3.0,1.0
1,5.0,4.0,2.0,3.0,1.0
1,5.0,4.0,2.0,3.0,1.0
1,5.0,4.0,2.0,3.0,1.0
1,5.0,2.0,4.0,3.0,1.0
1,5.0,2.0,3.0,4.0,1.0
1,5.0,2.0,3.0,4.0,1.0
1,5.0,3.0,4.0,2.0,1.0
1,5.0,2.0,3.0,4.0,1.0
1,5.0,3.0,2.0,1.0,4.0
1,5.0,4.0,2.0,3.0,1.0
1,5.0,4.0,3.0,2.0,1.0
1,5.0,3.0,4.0,2.0,1.0
1,5.0,2.0,3.0,4.0,1.0
1,5.0,4.0,2.0,1.0,3.0
1,5.0,4.0,2.0,3.0,1.0
1,5.0,4.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
2,4.0,5.0,2.0,3.0,1.0
3,4.0,5.0,2.0,3.0,1.0
3,4.0,5.0,2.0,3.0,1.0
3,4.0,5.0,2.0,3.0,1.0
3,4.0,5.0,2.0,3.0,1.0
3,4.0,5.0,3.0,2.0,1.0
3,4.0,5.0,2.0,1.0,3.0
3,4.0,5.0,2.0,1.0,3.0
3,4.0,5.0,2.0,3.0,1.0
3,4.0,5.0,2.0,1.0,3.0
3,4.0,5.0,3.0,2.0,1.0
3,4.0,5.0,3.0,2.0,1.0
4,5.0,4.0,2.0,3.0,1.0
4,5.0,4.0,2.0,3.0,1.0
4,5.0,4.0,2.0,3.0,1.0
4,5.0,4.0,2.0,3.0,1.0
4,5.0,4.0,2.0,3.0,1.0
4,5.0,4.0,2.0,3.0,1.0
4,5.0,4.0,2.0,3.0,1.0
4,5.0,4.0,2.0,3.0,1.0
4,5.0,4.0,2.0,3.0,1.0
5,5.0,2.0,4.0,3.0,1.0
5,5.0,2.0,3.0,4.0,1.0
5,5.0,2.0,4.0,3.0,1.0
5,5.0,2.0,4.0,3.0,1.0
5,5.0,2.0,4.0,3.0,1.0
5,5.0,2.0,3.0,4.0,1.0
5,5.0,2.0,3.0,4.0,1.0
5,5.0,2.0,4.0,3.0,1.0
5,5.0,2.0,4.0,3.0,1.0
6,4.0,2.0,5.0,3.0,1.0
6,4.0,2.0,5.0,3.0,1.0
6,4.0,2.0,5.0,3.0,1.0
6,4.0,2.0,5.0,3.0,1.0
6,4.0,2.0,5.0,3.0,1.0
6,4.0,2.0,5.0,3.0,1.0
6,4.0,2.0,5.0,3.0,1.0
6,4.0,2.0,5.0,3.0,1.0
7,5.0,4.0,3.0,2.0,1.0
7,5.0,4.0,2.0,3.0,1.0
7,5.0,4.0,2.0,1.0,3.0
7,5.0,4.0,3.0,2.0,1.0
7,5.0,4.0,3.0,2.0,1.0
7,5.0,4.0,2.0,3.0,1.0
7,5.0,4.0,2.0,3.0,1.0
7,5.0,4.0,3.0,2.0,1.0
8,4.0,5.0,3.0,2.0,1.0
8,4.0,5.0,3.0,2.0,1.0
8,4.0,5.0,3.0,2.0,1.0
8,4.0,5.0,3.0,2.0,1.0
8,4.0,5.0,3.0,2.0,1.0
8,4.0,5.0,3.0,2.0,1.0
8,4.0,5.0,3.0,2.0,1.0
9,2.0,4.0,5.0,3.0,1.0
9,2.0,4.0,5.0,3.0,1.0
9,2.0,4.0,5.0,3.0,1.0
9,2.0,4.0,5.0,3.0,1.0
9,2.0,4.0,5.0,3.0,1.0
9,2.0,4.0,5.0,3.0,1.0
10,2.0,5.0,4.0,3.0,1.0
10,2.0,5.0,4.0,3.0,1.0
10,2.0,5.0,4.0,3.0,1.0
10,2.0,5.0,4.0,3.0,1.0
10,2.0,5.0,4.0,3.0,1.0
10,2.0,5.0,4.0,3.0,1.0
11,4.0,3.0,1.0,5.0,2.0
11,4.0,3.0,5.0,2.0,1.0
11,4.0,3.0,5.0,2.0,1.0
11,4.0,3.0,5.0,2.0,1.0
11,4.0,3.0,5.0,2.0,1.0
11,4.0,3.0,5.0,2.0,1.0
12,5.0,2.0,4.0,3.0,1.0
12,5.0,2.0,4.0,3.0,1.0
12,5.0,2.0,4.0,3.0,1.0
12,5.0,2.0,4.0,3.0,1.0
12,5.0,2.0,4.0,3.0,1.0
13,2.0,5.0,4.0,3.0,1.0
13,2.0,5.0,4.0,3.0,1.0
13,2.0,5.0,4.0,3.0,1.0
13,2.0,5.0,4.0,3.0,1.0
13,2.0,5.0,4.0,3.0,1.0
14,5.0,4.0,3.0,2.0,1.0
14,5.0,4.0,3.0,2.0,1.0
14,5.0,4.0,3.0,2.0,1.0
14,5.0,4.0,3.0,2.0,1.0
15,2.0,5.0,3.0,4.0,1.0
15,2.0,5.0,3.0,4.0,1.0
15,2.0,5.0,3.0,4.0,1.0
15,2.0,5.0,3.0,4.0,1.0
16,2.0,4.0,5.0,3.0,1.0
16,2.0,4.0,5.0,3.0,1.0
16,2.0,4.0,5.0,3.0,1.0
16,2.0,4.0,5.0,3.0,1.0
17,5.0,3.0,4.0,2.0,1.0
17,5.0,3.0,4.0,2.0,1.0
17,5.0,3.0,4.0,2.0,1.0
17,5.0,3.0,2.0,1.0,4.0
18,3.0,5.0,4.0,2.0,1.0
18,3.0,5.0,4.0,2.0,1.0
18,3.0,5.0,4.0,2.0,1.0
18,3.0,5.0,4.0,2.0,1.0
19,2.0,4.0,5.0,3.0,1.0
19,2.0,4.0,5.0,3.0,1.0
19,2.0,4.0,5.0,3.0,1.0
19,2.0,4.0,5.0,3.0,1.0
20,2.0,5.0,4.0,3.0,1.0
20,2.0,5.0,4.0,3.0,1.0
20,2.0,5.0,4.0,3.0,1.0
20,2.0,5.0,4.0,3.0,1.0
21,4.0,2.0,5.0,3.0,1.0
21,4.0,2.0,3.0,5.0,1.0
21,4.0,2.0,3.0,5.0,1.0
21,4.0,2.0,5.0,3.0,1.0
22,4.0,2.0,3.0,5.0,1.0
22,4.0,2.0,3.0,5.0,1.0
22,4.0,2.0,3.0,5.0,1.0
23,3.0,4.0,5.0,2.0,1.0
23,3.0,4.0,5.0,2.0,1.0
23,3.0,4.0,5.0,2.0,1.0
24,4.0,3.0,5.0,2.0,1.0
24,4.0,3.0,5.0,2.0,1.0
24,4.0,3.0,5.0,2.0,1.0
25,3.0,5.0,4.0,2.0,1.0
25,3.0,5.0,4.0,2.0,1.0
25,3.0,5.0,4.0,2.0,1.0
26,5.0,4.0,3.0,2.0,1.0
26,5.0,4.0,3.0,2.0,1.0
26,5.0,4.0,3.0,2.0,1.0
27,3.0,4.0,5.0,2.0,1.0
27,3.0,4.0,5.0,2.0,1.0
27,3.0,4.0,5.0,2.0,1.0
28,4.0,5.0,3.0,2.0,1.0
28,4.0,5.0,3.0,2.0,1.0
28,4.0,5.0,3.0,2.0,1.0
29,3.0,4.0,5.0,2.0,1.0
29,3.0,4.0,2.0,5.0,1.0
29,3.0,4.0,2.0,5.0,1.0
30,3.0,4.0,2.0,5.0,1.0
