0,1,2,3,4
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
0,1,3,4,2
0,1,3,4,2
4,2,1,3,0
4,3,1,0,2
4,3,1,0,2
0,1,3,4,2
0,1,3,4,2
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,2,1,3,0
4,3,1,0,2
4,3,1,0,2
0,1,3,4,2
4,3,1,0,2
4,2,1,3,0
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,2,1,3,0
4,3,1,0,2
0,1,3,4,2
4,0,1,2,3
4,3,1,0,2
0,1,3,4,2
4,3,1,0,2
4,3,1,0,2
0,1,3,4,2
4,3,1,0,2
4,2,1,3,0
0,1,3,4,2
4,3,1,0,2
0,1,3,4,2
4,3,1,0,2
4,2,1,3,0
0,1,3,4,2
4,3,1,0,2
0,1,3,4,2
4,2,1,3,0
0,1,3,4,2
4,3,1,0,2
0,1,3,4,2
4,3,1,0,2
4,3,1,0,2
4,2,1,3,0
4,3,1,0,2
4,3,1,0,2
4,2,1,3,0
4,2,1,3,0
4,2,1,3,0
4,3,1,0,2
4,3,2,1,0
4,2,1,3,0
4,3,1,0,2
4,3,1,0,2
0,1,3,4,2
4,3,1,0,2
4,2,1,3,0
0,1,3,4,2
4,2,1,3,0
0,1,3,4,2
4,2,1,3,0
0,1,3,4,2
4,3,1,0,2
4,2,1,3,0
4,3,1,0,2
0,1,3,4,2
4,3,1,0,2
4,2,1,3,0
0,1,3,4,2
4,3,1,0,2
4,2,1,3,0
0,1,3,4,2
4,3,1,0,2
4,3,1,0,2
4,2,1,3,0
4,2,1,3,0
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,3,1,0,2
4,2,1,3,0
0,1,3,4,2
4,3,1,0,2
4,2,1,3,0
0,1,3,4,2
4,3,1,0,2
4,3,1,0,2
4,2,1,3,0
4,3,1,0,2
