Berkley Election
Number of Alternatives: 4
Number of Voters: 4173

ic: 3.00287083632878
m1: 1.9607428708363286
m2: 1.7164773544212797
m3: 1.580867481428229
m4: 1.510083872513779
m5: 1.4773400431344357
m6: 1.686149053438773
m7: 2.075442127965492
m8: 2.4350059908938415
m9: 2.7657991852384374
m10: 3.0054445243230288
walsh: 1.9281044811885935
sc: 1.76764917325665
u1: 2.7253582554517135
u2: 2.608516654684879
u3: 2.3344356578001437
u4: 2.2013946800862687
u5: 2.0846633117661155
u6: 2.0052671938653246
5d_sphere: 2.0087610831536065
csp: 2.3452192667145937
3d_cube: 2.044212796549245
10d_cube: 2.047289719626168

top 3:
m5: 1.4773400431344357
m4: 1.510083872513779
m3: 1.580867481428229
